binary_sha256,boundary,byte_value_literal_tokens,codegen_units,count,distinct_payloads,expanded_text_proxy_bytes,final_binary_bytes,identity,logical_payload_bytes,lto,macho_data_const_bytes,macho_text_const_bytes,name,object_bytes,payload_occurrences_max,payload_occurrences_min,peak_rss_bytes,profile,repetition,representation,rlib_bytes,rmeta_bytes,size,source_bytes,target_tree_bytes,wall_seconds
9a38e72b93e7ded15af9f82fab7fb1cfa4b53d9bc78159287c4aa896ba42eac2,same,1,16,1,1,40963,447936,unique,10240,off,7112,21876,repr-byte-string-10240,0,1,1,149536768,release,1,byte-string,0,0,10240,2366,2273674,0.24
9a38e72b93e7ded15af9f82fab7fb1cfa4b53d9bc78159287c4aa896ba42eac2,same,1,16,1,1,40963,447936,unique,10240,off,7112,21876,repr-byte-string-10240,0,1,1,148029440,release,2,byte-string,0,0,10240,2366,2273674,0.24
9a38e72b93e7ded15af9f82fab7fb1cfa4b53d9bc78159287c4aa896ba42eac2,same,1,16,1,1,40963,447936,unique,10240,off,7112,21876,repr-byte-string-10240,0,1,1,146980864,release,3,byte-string,0,0,10240,2366,2273674,0.25
9a38e72b93e7ded15af9f82fab7fb1cfa4b53d9bc78159287c4aa896ba42eac2,same,10240,16,1,1,71682,447936,unique,10240,off,7112,21876,repr-per-byte-10240,0,1,1,149356544,release,1,per-byte,0,0,10240,2363,2273641,0.26
9a38e72b93e7ded15af9f82fab7fb1cfa4b53d9bc78159287c4aa896ba42eac2,same,10240,16,1,1,71682,447936,unique,10240,off,7112,21876,repr-per-byte-10240,0,1,1,146751488,release,2,per-byte,0,0,10240,2363,2273641,0.26
9a38e72b93e7ded15af9f82fab7fb1cfa4b53d9bc78159287c4aa896ba42eac2,same,10240,16,1,1,71682,447936,unique,10240,off,7112,21876,repr-per-byte-10240,0,1,1,145604608,release,3,per-byte,0,0,10240,2363,2273641,0.27
8edfbdfbf8b9665b96ec67c232cc302fc00bf9519553661a40670e6c3c0841cc,same,1,16,1,1,40963,495448,unique,10240,off,7232,22532,debug-byte-string-10240,1822520,1,1,139657216,dev,1,byte-string,0,3348,10240,2366,9077842,0.27
f30406523a9db2fb8b4bd83ffcf386551119b4d5b11ef9cee7708618adcc3382,same,1,16,1,1,40963,495448,unique,10240,off,7232,22532,debug-byte-string-10240,1822520,1,1,138379264,dev,2,byte-string,0,3348,10240,2366,9077840,0.33
01a07dc1fd0d37a5ec79f462f4ce59a7a71c54a8fc95558d9928ac4f5100473e,same,1,16,1,1,40963,495448,unique,10240,off,7232,22532,debug-byte-string-10240,1822520,1,1,139526144,dev,3,byte-string,0,3348,10240,2366,9077838,0.28
700dd7c714ad66b7904d1a58e09739a36e04bd146b409743663f61dc73fb8ad8,same,1,16,1,1,409603,530496,unique,102400,off,7112,114036,repr-byte-string-102400,0,1,1,147341312,release,1,byte-string,0,0,102400,2367,2438805,0.26
700dd7c714ad66b7904d1a58e09739a36e04bd146b409743663f61dc73fb8ad8,same,1,16,1,1,409603,530496,unique,102400,off,7112,114036,repr-byte-string-102400,0,1,1,146407424,release,2,byte-string,0,0,102400,2367,2438805,0.27
700dd7c714ad66b7904d1a58e09739a36e04bd146b409743663f61dc73fb8ad8,same,1,16,1,1,409603,530496,unique,102400,off,7112,114036,repr-byte-string-102400,0,1,1,144179200,release,3,byte-string,0,0,102400,2367,2438805,0.26
700dd7c714ad66b7904d1a58e09739a36e04bd146b409743663f61dc73fb8ad8,same,102400,16,1,1,716802,530496,unique,102400,off,7112,114036,repr-per-byte-102400,0,1,1,147488768,release,1,per-byte,0,0,102400,2364,2438772,0.39
700dd7c714ad66b7904d1a58e09739a36e04bd146b409743663f61dc73fb8ad8,same,102400,16,1,1,716802,530496,unique,102400,off,7112,114036,repr-per-byte-102400,0,1,1,150274048,release,2,per-byte,0,0,102400,2364,2438772,0.35
700dd7c714ad66b7904d1a58e09739a36e04bd146b409743663f61dc73fb8ad8,same,102400,16,1,1,716802,530496,unique,102400,off,7112,114036,repr-per-byte-102400,0,1,1,144736256,release,3,per-byte,0,0,102400,2364,2438772,0.35
167fe3cff7749bf38d1649791d1f9962e82f186761200398408082ea40c3d7c0,same,1,16,1,1,409603,594552,unique,102400,off,7232,114692,debug-byte-string-102400,2006952,1,1,138379264,dev,1,byte-string,0,3352,102400,2367,9552720,0.27
706048d7cf2e915d2c56e91aa52936d1cf3d2e072e883db0f7acff1ba9ffe4e2,same,1,16,1,1,409603,594552,unique,102400,off,7232,114692,debug-byte-string-102400,2006952,1,1,140197888,dev,2,byte-string,0,3352,102400,2367,9552722,0.28
