schema	tiler.apple-numerical-behaviour/v2
probe.repository_base_revision	ffbfce1f44d5d23c592131a773083c9d8d5e7f58
probe.harness_sha256	cf056d17d0b3ce65cb28d39aab08ca461f0a0f429c5a19f18608a0b5bc68092a
probe.host_source_sha256	6ddaca0e8cecf355c9921a3a1061bc060f61397770d107aee7ef31d6429e7006
probe.target	air64-apple-macos13.0
probe.fixed_flags	-std=metal3.1 -fmetal-math-fp32-functions=precise
probe.entry_point	tiler_probe
probe.operands	00000001 00400000 007fffff 00800000 80400000 80000000 3eb97ef9 3f800000
probe.runtime_fixed_options	fpfun=precise lang=3.1
probe.runtime_paired_optimization	-O2
probe.guard_layers.offline	emitted-arithmetic execution-witness
probe.guard_layers.runtime	execution-witness
probe.offline_flag_without_runtime_counterpart.0	-target: MTLCompileOptions has no target property; the runtime compiler targets the device and OS it is running on
probe.offline_flag_without_runtime_counterpart.1	-ffp-contract: MTLCompileOptions has no contraction property; the source-level `#pragma METAL fp contract(...)` is accepted by this front end but changing the source would break the byte-identical pairing the comparison depends on
probe.offline_flag_without_runtime_counterpart.2	-O0: MTLLibraryOptimizationLevel offers Default and Size only
environment.date_utc	2026-07-24T19:32:31Z
environment.os_version	27.0
environment.os_build	26A5388g
environment.machine	arm64
environment.xcode	Xcode 26.6 Build version 17F113
environment.sdk_version	26.5
environment.sdk_build	25F70
environment.metal_version	Apple metal version 32023.883 (metalfe-32023.883)
environment.metallib_version	AIR-LLD 32023.883 (metalfe-32023.883) (compatible with legacy metallib linker)
environment.runtime_compiler	Apple metal version 32023.921 (metalfe-32023.921)
environment.device	Apple M4 Max
case.contraction_pair.runtime.safe.opt-default.applied_options	math=safe,fpfun=precise,lang=3.1,opt=default
case.contraction_pair.runtime.safe.opt-default.archived_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.contraction_pair.runtime.safe.opt-default.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fc58f9e 40200000
case.contraction_pair.runtime.safe.opt-size.applied_options	math=safe,fpfun=precise,lang=3.1,opt=size
case.contraction_pair.runtime.safe.opt-size.archived_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.contraction_pair.runtime.safe.opt-size.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fc58f9e 40200000
case.contraction_pair.safe.O2.contract-fast.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.contraction_pair.safe.O2.contract-fast.float_operations	fmul+contract fadd+contract
case.contraction_pair.safe.O2.contract-fast.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fc58f9d 40200000
case.contraction_pair.safe.O2.contract-off.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.contraction_pair.safe.O2.contract-off.float_operations	fmul fadd
case.contraction_pair.safe.O2.contract-off.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fc58f9e 40200000
case.contraction_pair.safe.O2.contract-on.compile_options	air.compile.denorms_disable air.compile.fast_math_disable air.compile.framebuffer_fetch_enable
case.contraction_pair.safe.O2.contract-on.float_operations	fmul fadd
case.contraction_pair.safe.O2.contract-on.results	3f800000 3f800000 3f800000 3f800000 3f800000 3f800000 3fc58f9e 40200000
