schema	tiler.apple-numerical-behaviour/v4
probe.repository_base_revision	38b276b4b15ac92abffa92bfaa5b79d067892c84
probe.harness_sha256	4df75f4345f5b29d95fbabed78bb19c34605552f04c3d436fd31c4fc3cef394d
probe.host_source_sha256	2018fb0ed7029d19bcd2188bf070b00da32c5dbdf328cf68c905390b40f14758
probe.matrix	exhaustive
probe.fixed_flags	-std=metal3.1
probe.default_fp32_functions	precise
probe.entry_point	tiler_probe
probe.operands	00000001 00400000 007fffff 00800000 80400000 80000000 3eb97ef9 3f800000
probe.runtime_fixed_options	lang=3.1
probe.runtime_paired_optimization	-O2
probe.guard_layers.offline_with_device	emitted-arithmetic execution-witness
probe.guard_layers.offline_without_device	emitted-arithmetic
probe.guard_layers.runtime	execution-witness
probe.offline_flag_without_runtime_counterpart.0	-target: MTLCompileOptions has no target property; the runtime compiler targets the device and OS it is running on, which is why a runtime case is attributed to the family whose execution environment compiled it
probe.offline_flag_without_runtime_counterpart.1	-ffp-contract: MTLCompileOptions has no contraction property; the source-level `#pragma METAL fp contract(...)` is accepted by this front end but changing the source would break the byte-identical pairing the comparison depends on
probe.offline_flag_without_runtime_counterpart.2	-O0/-O1/-O3/-Os: MTLLibraryOptimizationLevel offers Default and Size only, so four of the five offline optimization levels have no runtime counterpart
environment.date_utc	2026-07-25T15:57:23Z
environment.os_version	27.0
environment.os_build	26A5388g
environment.machine	arm64
environment.xcode	Xcode 26.6 Build version 17F113
environment.family.macos.metal_platform	MetalPlatform::MacOs
environment.family.macos.sdk	macosx
environment.family.macos.sdk_version	26.5
environment.family.macos.sdk_build	25F70
environment.family.macos.requested_target	air64-apple-macos13.0
environment.family.macos.metal_version	Apple metal version 32023.883 (metalfe-32023.883)
environment.family.macos.metallib_version	AIR-LLD 32023.883 (metalfe-32023.883) (compatible with legacy metallib linker)
environment.family.macos.execution	macos-host-gpu
environment.family.macos.emitted_triple	air64_v26-apple-macosx14.0.0
environment.family.macos.device	Apple M4 Max
environment.family.macos.device_registry_id	4294968621
environment.family.macos.runtime_compiler	Apple metal version 32023.921 (metalfe-32023.921)
environment.family.macos.runtime_compiler_images	/System/Library/PrivateFrameworks/GPUCompiler.framework/Versions/32023/Libraries/libGPUCompilerUtils.dylib /System/Library/PrivateFrameworks/GPUCompiler.framework/Versions/32023/Libraries/libllvm-flatbuffers.dylib
environment.family.macos.runtime_compiler_build	metalfe-32023.921
environment.family.ios-device.metal_platform	MetalPlatform::IOsDevice
environment.family.ios-device.sdk	iphoneos
environment.family.ios-device.sdk_version	26.5
environment.family.ios-device.sdk_build	23F81a
environment.family.ios-device.requested_target	air64-apple-ios16.0
environment.family.ios-device.metal_version	Apple metal version 32023.883 (metalfe-32023.883)
environment.family.ios-device.metallib_version	AIR-LLD 32023.883 (metalfe-32023.883) (compatible with legacy metallib linker)
environment.family.ios-device.execution	unavailable:no iOS device is attached to this host; closing it needs a physical iPhone or iPad and a dispatch run on that device's own GPU
environment.family.ios-device.emitted_triple	air64_v26-apple-ios17.0.0
environment.family.ios-device.device	unavailable:no iOS device is attached to this host; closing it needs a physical iPhone or iPad and a dispatch run on that device's own GPU
environment.family.ios-device.device_registry_id	unavailable:no iOS device is attached to this host; closing it needs a physical iPhone or iPad and a dispatch run on that device's own GPU
environment.family.ios-device.runtime_compiler	unavailable:no iOS device is attached to this host; closing it needs a physical iPhone or iPad and a dispatch run on that device's own GPU
environment.family.ios-device.runtime_compiler_images	unavailable:no iOS device is attached to this host; closing it needs a physical iPhone or iPad and a dispatch run on that device's own GPU
environment.family.ios-device.runtime_compiler_build	unavailable:no iOS device is attached to this host; closing it needs a physical iPhone or iPad and a dispatch run on that device's own GPU
environment.family.ios-simulator.metal_platform	MetalPlatform::IOsSimulator
environment.family.ios-simulator.sdk	iphonesimulator
environment.family.ios-simulator.sdk_version	26.5
