object_bytes	arena_chain	envelope_bytes	phase	peak_bytes	peak_over_envelope	retained_bytes	requested_bytes	calls	largest_blocks	verdict
0	0	114083	encode	340479	2.98	0	600744	191	114083 111020 56320 55510	encoded
0	0	114083	decode	283005	2.48	62474	473266	261	111020 56320 56117 55510	decoded
0	0	114083	identity	62136	0.54	56320	114336	30	56320 28160 10000 5000	derived
0	0	114083	re-encode	281588	2.47	114083	450928	52	114083 111020 56320 55510	re-encoded
0	0	114083	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 114083, actual: 57041 }
0	0	114083	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	0	114083	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 114083 }
0	0	114083	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 114014 }
0	0	114083	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	0	114083	forged/identity	177732	1.56	24	246298	225	56320 56117 28160 22903	artifact.integrity: ArtifactIdentityMismatch
1048576	0	1162659	encode	5308322	4.57	0	6892200	196	1162659 1048576 1048576 1048576	encoded
1048576	0	1162659	decode	1331581	1.15	1111050	1521842	262	1048576 111020 56320 56117	decoded
1048576	0	1162659	identity	62136	0.05	56320	114336	30	56320 28160 10000 5000	derived
1048576	0	1162659	re-encode	1330164	1.14	1162659	1499504	52	1162659 111020 56320 55510	re-encoded
1048576	0	1162659	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 1162659, actual: 581329 }
1048576	0	1162659	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
1048576	0	1162659	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 1162659 }
1048576	0	1162659	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 1162590 }
1048576	0	1162659	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
1048576	0	1162659	forged/object-byte	1164172	1.00	42	1168798	119	1048576 56117 22903 21520	artifact.integrity: SectionDigestMismatch { section: 2 }
1048576	0	1162659	forged/identity	1226308	1.05	24	1294874	226	1048576 56320 56117 28160	artifact.integrity: ArtifactIdentityMismatch
16777216	0	16891299	encode	83951522	4.97	0	101264040	196	16891299 16777216 16777216 16777216	encoded
16777216	0	16891299	decode	17060221	1.01	16839690	17250482	262	16777216 111020 56320 56117	decoded
16777216	0	16891299	identity	62136	0.00	56320	114336	30	56320 28160 10000 5000	derived
16777216	0	16891299	re-encode	17058804	1.01	16891299	17228144	52	16891299 111020 56320 55510	re-encoded
16777216	0	16891299	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 16891299, actual: 8445649 }
16777216	0	16891299	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
16777216	0	16891299	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 16891299 }
16777216	0	16891299	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 16891230 }
16777216	0	16891299	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
16777216	0	16891299	forged/object-byte	16892812	1.00	42	16897438	119	16777216 56117 22903 21520	artifact.integrity: SectionDigestMismatch { section: 2 }
16777216	0	16891299	forged/identity	16954948	1.00	24	17023514	226	16777216 56320 56117 28160	artifact.integrity: ArtifactIdentityMismatch
67108864	0	67222947	encode	335609762	4.99	0	403253928	196	67222947 67108864 67108864 67108864	encoded
67108864	0	67222947	decode	67391869	1.00	67171338	67582130	262	67108864 111020 56320 56117	decoded
67108864	0	67222947	identity	62136	0.00	56320	114336	30	56320 28160 10000 5000	derived
67108864	0	67222947	re-encode	67390452	1.00	67222947	67559792	52	67222947 111020 56320 55510	re-encoded
67108864	0	67222947	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 67222947, actual: 33611473 }
67108864	0	67222947	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
67108864	0	67222947	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 67222947 }
67108864	0	67222947	forged/manifest-length	22	0.00	22	22	1	-	artifact.integrity: ManifestDigestMismatch
67108864	0	67222947	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
67108864	0	67222947	forged/object-byte	67224460	1.00	42	67229086	119	67108864 56117 22903 21520	artifact.integrity: SectionDigestMismatch { section: 2 }
67108864	0	67222947	forged/identity	67286596	1.00	24	67355162	226	67108864 56320 56117 28160	artifact.integrity: ArtifactIdentityMismatch
0	128	117798	encode	1748170	14.84	0	3126754	1118	117798 116464 61004 58232	encoded
0	128	117798	decode	1770867	15.03	66737	5484112	1839	116464 61004 58467 58232	decoded
0	128	117798	identity	69444	0.59	61004	132634	38	61004 30502 10000 5000	derived
0	128	117798	re-encode	295431	2.51	117798	483164	61	117798 116464 61004 58232	re-encoded
0	128	117798	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 117798, actual: 58899 }
0	128	117798	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	128	117798	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 117798 }
0	128	117798	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 117729 }
0	128	117798	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	128	117798	forged/identity	1770867	15.03	24	5246921	1802	61004 58467 30502 25268	artifact.integrity: ArtifactIdentityMismatch
0	512	128550	encode	25962442	201.96	0	39560906	3811	55256 55060 54864 54668 (+480 unrecorded)	encoded
0	512	128550	decode	25997811	202.24	79025	78271160	6452	55844 55648 55452 55256 (+1445 unrecorded)	decoded
0	512	128550	identity	96120	0.75	80000	214920	41	80000 40000 20000 16384	derived
0	512	128550	re-encode	311273	2.42	128550	537924	64	128550 102558 80000 41984	re-encoded
0	512	128550	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 128550, actual: 64275 }
0	512	128550	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	512	128550	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 128550 }
0	512	128550	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 128481 }
0	512	128550	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	512	128550	forged/identity	25997811	202.24	24	78072247	6415	55844 55648 55452 55256 (+1439 unrecorded)	artifact.integrity: ArtifactIdentityMismatch
0	1024	142886	encode	103205834	722.29	0	155738021	7398	54864 54668 54472 54276 (+1512 unrecorded)	encoded
0	1024	142886	decode	103258099	722.66	95409	310355347	12599	55844 55648 55452 55256 (+3501 unrecorded)	decoded
0	1024	142886	identity	121204	0.85	94844	285953	42	94844 47422 32768 23711	derived
0	1024	142886	re-encode	405831	2.84	142886	772639	66	167936 142886 94844 83968	re-encoded
0	1024	142886	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 142886, actual: 71443 }
0	1024	142886	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	1024	142886	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 142886 }
0	1024	142886	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 142817 }
0	1024	142886	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	1024	142886	forged/identity	103258099	722.66	24	310007088	12561	55844 55648 55452 55256 (+3494 unrecorded)	artifact.integrity: ArtifactIdentityMismatch
0	2048	171558	encode	411833290	2400.55	0	619081637	14568	65856 54864 54668 54472 (+3562 unrecorded)	encoded
0	2048	171558	decode	411919347	2401.05	128177	1236724115	24889	65856 55844 55648 55452 (+7599 unrecorded)	decoded
0	2048	171558	identity	215412	1.26	168572	505089	43	168572 84286 65536 42143	derived
0	2048	171558	re-encode	508231	2.96	171558	1020447	67	171558 168572 167936 84286	re-encoded
0	2048	171558	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 171558, actual: 85779 }
0	2048	171558	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	2048	171558	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 171558 }
0	2048	171558	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 171489 }
0	2048	171558	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
