object_bytes	arena_chain	envelope_bytes	phase	peak_bytes	peak_over_envelope	retained_bytes	requested_bytes	calls	largest_blocks	verdict
0	0	114083	encode	402647	3.53	0	751072	191	176320 111020 88160 56320	encoded
0	0	114083	decode	459256	4.03	62474	759209	263	176320 111020 88160 56320	decoded
0	0	114083	identity	62136	0.54	56320	114336	30	56320 28160 10000 5000	derived
0	0	114083	re-encode	343756	3.01	176320	601256	52	176320 111020 88160 56320	re-encoded
0	0	114083	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 114083, actual: 57041 }
0	0	114083	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	0	114083	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 114083 }
0	0	114083	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 114014 }
0	0	114083	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	0	114083	forged/identity	177732	1.56	24	267842	227	56320 56117 28160 22903	artifact.integrity: ArtifactIdentityMismatch
1048576	0	1162659	encode	5308322	4.57	0	7156611	197	1162659 1048576 1048576 1048576	encoded
1048576	0	1162659	decode	2494171	2.15	1111050	2970444	265	1162659 1048576 176320 111020	decoded
1048576	0	1162659	identity	62136	0.05	56320	114336	30	56320 28160 10000 5000	derived
1048576	0	1162659	re-encode	1330095	1.14	1162659	1763915	53	1162659 176320 111020 88160	re-encoded
1048576	0	1162659	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 1162659, actual: 581329 }
1048576	0	1162659	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
1048576	0	1162659	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 1162659 }
1048576	0	1162659	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 1162590 }
1048576	0	1162659	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
1048576	0	1162659	forged/object-byte	1164172	1.00	42	1168798	119	1048576 56117 22903 21520	artifact.integrity: SectionDigestMismatch { section: 2 }
