object_bytes	arena_chain	envelope_bytes	phase	peak_bytes	peak_over_envelope	retained_bytes	requested_bytes	calls	largest_blocks	verdict
0	0	49448	build	204599	4.14	41963	319791	353	47786 39699 23893 18636	built
0	0	49448	encode	194708	3.94	0	329546	211	49448 47786 46960 23893	encoded
0	0	49448	decode	150075	3.04	53932	269095	272	47786 46960 23893 23480	decoded
0	0	49448	identity	53602	1.08	47786	101535	30	47786 23893 10000 5000	derived
0	0	49448	re-encode	144359	2.92	49448	249647	51	49448 47786 46960 23893	re-encoded
0	0	49448	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 49448, actual: 24724 }
0	0	49448	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
0	0	49448	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 49448 }
0	0	49448	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 49379 }
0	0	49448	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
0	0	49448	forged/identity	104539	2.11	24	165972	237	47786 23893 18636 17245	artifact.integrity: ArtifactIdentityMismatch
1048576	0	1098024	build	2301751	2.10	41963	2416943	355	1048576 1048576 47786 39699	built
1048576	0	1098024	encode	2291860	2.09	0	2426698	212	1098024 1048576 47786 46960	encoded
1048576	0	1098024	decode	1198651	1.09	1102508	1317671	273	1048576 47786 46960 23893	decoded
1048576	0	1098024	identity	53602	0.05	47786	101535	30	47786 23893 10000 5000	derived
1048576	0	1098024	re-encode	1192935	1.09	1098024	1298223	51	1098024 47786 46960 23893	re-encoded
1048576	0	1098024	forged/truncated	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 1098024, actual: 549012 }
1048576	0	1098024	forged/magic	8	0.00	8	8	1	-	artifact.malformed: BadMagic
1048576	0	1098024	forged/total-length	76	0.00	76	133	3	-	artifact.malformed: TotalLengthMismatch { declared: 18446744073709551615, actual: 1098024 }
1048576	0	1098024	forged/manifest-length	72	0.00	72	135	4	-	artifact.malformed: Truncated { needed: 66060288, available: 1097955 }
1048576	0	1098024	forged/section-count	64	0.00	64	120	4	-	artifact.limit: Limit { resource: Sections, actual: 4294967295, limit: 64 }
1048576	0	1098024	forged/object-byte	1099513	1.00	42	1103016	150	1048576 18636 17245	artifact.integrity: SectionDigestMismatch { section: 2 }
1048576	0	1098024	forged/identity	1153115	1.05	24	1214548	238	1048576 47786 23893 18636	artifact.integrity: ArtifactIdentityMismatch
16777216	0	16826664	build	33759031	2.01	41963	33874223	355	16777216 16777216 47786 39699	built
16777216	0	16826664	encode	33749140	2.01	0	33883978	212	16826664 16777216 47786 46960	encoded
16777216	0	16826664	decode	16927291	1.01	16831148	17046311	273	16777216 47786 46960 23893	decoded
16777216	0	16826664	identity	53602	0.00	47786	101535	30	47786 23893 10000 5000	derived
16777216	0	16826664	re-encode	16921575	1.01	16826664	17026863	51	16826664 47786 46960 23893	re-encoded
