# mode	shipped
# envelope-bytes	118225
# solver-target	118225
section	id	region	bytes	shipped	shipped_detail	neutered	neutered_detail	attribution
control	bundle-frame-restatement	-	-	observed	envelope span 349..118574 holds the published envelope	-	-	-
control	envelope-frame-restatement	-	-	observed	manifest 69..88169 digests to the header value; 3 framed sections close the run; the carried identity is 56120 bytes at 32049..88169	-	-	-
control	substitutes-are-different-artifacts	-	-	observed	the equal-length and longer substitutes decode, and both carry a canonical artifact identity that differs from the published one (56120 bytes each)	-	-	-
control	observed-mode	-	-	observed	one flipped envelope content byte is refused by `cache bundle section `artifact-envelope` does not match its declared digest`, so the bundle envelope-section digest is live	-	-	-
class	header-magic	framing header	0..8	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: BadMagic	both
class	header-envelope-format-major	framing header	8..10	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.unsupported: UnsupportedEnvelopeFormat { major: 0, minor: 0 }	both
class	header-envelope-format-minor	framing header	10..12	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.unsupported: UnsupportedEnvelopeFormat { major: 1, minor: 1 }	both
class	header-canonical-encoding-major	framing header	12..14	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.unsupported: UnsupportedCanonicalEncoding { major: 0, minor: 0 }	both
class	header-canonical-encoding-minor	framing header	14..16	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.unsupported: UnsupportedCanonicalEncoding { major: 1, minor: 1 }	both
class	header-digest-algorithm-tag	framing header	16	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.unsupported: UnsupportedDigestAlgorithm { tag: 0 }	both
class	header-total-length	framing header	17..25	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 118224, actual: 118225 }	both
class	header-manifest-length	framing header	25..33	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	header-section-count	framing header	33..37	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: SectionCountMismatch { header: 2, manifest: 3 }	both
class	header-manifest-digest	framing header	37..69	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-domain-tag	manifest	69..105	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-schema-version	manifest	105..109	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-component-schema-versions	manifest	109..125	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-interior-byte	manifest	44119	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-section-descriptor	manifest	31891..31941	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-carried-identity	manifest	32049..88169	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	section-0-framing-id	section stream	88169..88173	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 0, declared: 1 }	both
class	section-0-framed-length	section stream	88173..88181	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 0, declared: 22894, framed: 22895 }	both
class	section-0-content	section stream	88181..111075	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	both
class	section-1-framing-id	section stream	111075..111079	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 1, declared: 0 }	both
class	section-1-framed-length	section stream	111079..111087	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 1, declared: 2990, framed: 2991 }	both
class	section-1-content	section stream	111087..114077	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 1 }	both
class	section-2-framing-id	section stream	114077..114081	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 2, declared: 3 }	both
class	section-2-framed-length	section stream	114081..114089	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 2, declared: 4136, framed: 4137 }	both
class	section-2-content	section stream	114089..118225	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 2 }	both
class	resealed-manifest-carried-identity	manifest, re-sealed	32049, with the header manifest digest recomputed	bundle-envelope-section-digest	cache bundle section `artifact-envelope` does not match its declared digest	artifact-codec	artifact.integrity: ArtifactIdentityMismatch	both
