# mode	neutered
# envelope-bytes	113303
# solver-target	113303
section	id	region	bytes	shipped	shipped_detail	neutered	neutered_detail	attribution
control	bundle-frame-restatement	-	-	observed	envelope span 349..113652 holds the published envelope	-	-	-
control	envelope-frame-restatement	-	-	observed	manifest 69..83247 digests to the header value; 3 framed sections close the run; the carried identity is 53659 bytes at 29588..83247	-	-	-
control	substitutes-are-different-artifacts	-	-	observed	the equal-length and longer substitutes decode, and both carry a canonical artifact identity that differs from the published one (53659 bytes each)	-	-	-
control	observed-mode	-	-	observed	one flipped envelope content byte is refused by `artifact.integrity: ManifestDigestMismatch`, so the bundle envelope-section digest is not live	-	-	-
class	header-magic	framing header	0..8	artifact-codec	artifact.malformed: BadMagic	artifact-codec	artifact.malformed: BadMagic	both
class	header-envelope-format-major	framing header	8..10	artifact-codec	artifact.unsupported: UnsupportedEnvelopeFormat { major: 0, minor: 0 }	artifact-codec	artifact.unsupported: UnsupportedEnvelopeFormat { major: 0, minor: 0 }	both
class	header-envelope-format-minor	framing header	10..12	artifact-codec	artifact.unsupported: UnsupportedEnvelopeFormat { major: 1, minor: 1 }	artifact-codec	artifact.unsupported: UnsupportedEnvelopeFormat { major: 1, minor: 1 }	both
class	header-canonical-encoding-major	framing header	12..14	artifact-codec	artifact.unsupported: UnsupportedCanonicalEncoding { major: 0, minor: 0 }	artifact-codec	artifact.unsupported: UnsupportedCanonicalEncoding { major: 0, minor: 0 }	both
class	header-canonical-encoding-minor	framing header	14..16	artifact-codec	artifact.unsupported: UnsupportedCanonicalEncoding { major: 1, minor: 1 }	artifact-codec	artifact.unsupported: UnsupportedCanonicalEncoding { major: 1, minor: 1 }	both
class	header-digest-algorithm-tag	framing header	16	artifact-codec	artifact.unsupported: UnsupportedDigestAlgorithm { tag: 0 }	artifact-codec	artifact.unsupported: UnsupportedDigestAlgorithm { tag: 0 }	both
class	header-total-length	framing header	17..25	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 113302, actual: 113303 }	artifact-codec	artifact.malformed: TotalLengthMismatch { declared: 113302, actual: 113303 }	both
class	header-manifest-length	framing header	25..33	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	header-section-count	framing header	33..37	artifact-codec	artifact.malformed: SectionCountMismatch { header: 2, manifest: 3 }	artifact-codec	artifact.malformed: SectionCountMismatch { header: 2, manifest: 3 }	both
class	header-manifest-digest	framing header	37..69	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-domain-tag	manifest	69..105	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-schema-version	manifest	105..109	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-component-schema-versions	manifest	109..125	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-interior-byte	manifest	41658	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-section-descriptor	manifest	29430..29480	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	manifest-carried-identity	manifest	29588..83247	artifact-codec	artifact.integrity: ManifestDigestMismatch	artifact-codec	artifact.integrity: ManifestDigestMismatch	both
class	section-0-framing-id	section stream	83247..83251	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 0, declared: 1 }	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 0, declared: 1 }	both
class	section-0-framed-length	section stream	83251..83259	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 0, declared: 22894, framed: 22895 }	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 0, declared: 22894, framed: 22895 }	both
class	section-0-content	section stream	83259..106153	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 0 }	both
class	section-1-framing-id	section stream	106153..106157	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 1, declared: 0 }	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 1, declared: 0 }	both
class	section-1-framed-length	section stream	106157..106165	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 1, declared: 2990, framed: 2991 }	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 1, declared: 2990, framed: 2991 }	both
class	section-1-content	section stream	106165..109155	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 1 }	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 1 }	both
class	section-2-framing-id	section stream	109155..109159	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 2, declared: 3 }	artifact-codec	artifact.invalid: NonCanonicalSectionId { position: 2, declared: 3 }	both
class	section-2-framed-length	section stream	109159..109167	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 2, declared: 4136, framed: 4137 }	artifact-codec	artifact.malformed: SectionLengthMismatch { section: 2, declared: 4136, framed: 4137 }	both
class	section-2-content	section stream	109167..113303	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 2 }	artifact-codec	artifact.integrity: SectionDigestMismatch { section: 2 }	both
