# cache-hot-path-efficiency; host=Darwin 27.0.0; cpus=14; rustc=rustc 1.99.0-nightly (eff8269f7 2026-07-18)
# cpu=Apple M4 Max
# scratch root=/var/folders/7k/00gbj8p92d938w7bqf3k78040000gn/T/tiler-cache-hot-path-efficiency-37973-1785876204365466000
# load average at start={ 3.99 10.15 14.42 }
# repeats=8000 warmup=64 cold-children=48 publish-rounds=128 scan-repeats=15 populations=[10, 100, 1000, 10000]
# envelope fixed overhead=28527 bytes; compiled in 5.432541ms
# load average at end={ 4.37 9.72 14.14 }
# total wall clock=23.166255s
kind	section	size_bytes	population	variant	samples	min_ns	p50_ns	p90_ns	max_ns	note
fact	oracle	32136	1	returned-bytes-equal-published	-	-	-	-	-	publication and hit both returned the exact published bytes
fact	oracle	32136	1	one-flipped-byte-refused	-	-	-	-	-	cache bundle refused: cache bundle section `artifact-envelope` does not match its declared digest
fact	oracle	32136	1	restored-byte-restores-hit	-	-	-	-	-	the same byte restored returns the exact published bytes
fact	oracle	47803	1	returned-bytes-equal-published	-	-	-	-	-	publication and hit both returned the exact published bytes
fact	oracle	47803	1	one-flipped-byte-refused	-	-	-	-	-	cache bundle refused: cache bundle section `artifact-envelope` does not match its declared digest
fact	oracle	47803	1	restored-byte-restores-hit	-	-	-	-	-	the same byte restored returns the exact published bytes
timing	publish	32136	1	process-crash	128	542833	579834	665417	735375	-
timing	publish	32136	1	fsync	128	8172750	9228541	10860459	16772250	-
timing	publish	32136	1	bare-rename	128	91917	119375	152333	272167	-
timing	publish	47803	1	process-crash	128	571584	610500	741791	1159834	-
timing	publish	47803	1	fsync	128	8356667	10557750	11471042	13362375	-
timing	publish	47803	1	bare-rename	128	92792	114875	158500	197458	-
timing	hit-warm	32136	10	lookup	8000	55458	62417	69875	256166	-
timing	hit-cold	32136	10	lookup	48	105791	117750	122333	128750	-
timing	scan	32136	10	account	15	150084	158500	167500	232875	-
timing	scan	32136	10	collect-unbounded	15	158458	167792	179500	186750	-
timing	scan	32136	10	collect-age-retaining-all	15	161125	167041	169041	172125	-
timing	hit-warm	32136	100	lookup	8000	55458	62292	66000	198958	-
timing	hit-cold	32136	100	lookup	48	104042	119917	134792	158917	-
timing	scan	32136	100	account	15	1503042	1528084	1597083	1715708	-
timing	scan	32136	100	collect-unbounded	15	1507750	1513833	1572333	1642167	-
timing	scan	32136	100	collect-age-retaining-all	15	1504500	1530208	1552333	1573292	-
timing	hit-warm	32136	1000	lookup	8000	55500	62209	66292	153834	-
timing	hit-cold	32136	1000	lookup	48	122708	140041	160375	186666	-
timing	scan	32136	1000	account	15	7061917	7880667	8340958	8391166	-
timing	scan	32136	1000	collect-unbounded	15	7030417	7756625	8023292	8822250	-
timing	scan	32136	1000	collect-age-retaining-all	15	6417917	7400708	8298375	8436084	-
timing	hit-warm	32136	10000	lookup	8000	55792	65625	70458	232417	-
