flag_set	kernel	opcode_signature
governed	exp_product	air.exp.f32=2;fmul=1
governed	exp_of_sum	air.exp.f32=1;fadd=1
governed	exp_telescope	air.exp.f32=2;fmul=1;fsub=2
governed	exp_telescoped	air.exp.f32=1;fsub=1
governed	exp_quotient	air.exp.f32=2;fdiv=1
governed	exp_reciprocal	air.exp.f32=1;fdiv=1
governed	log_sum	air.log.f32=2;fadd=1
governed	log_of_product	air.log.f32=1;fmul=1
governed	log_difference	air.log.f32=2;fsub=1
governed	sqrt_product	air.sqrt.f32=2;fmul=1
governed	sqrt_of_product	air.sqrt.f32=1;fmul=1
governed	pow_square	air.pow.f32=1
governed	pow_half	air.pow.f32=1
governed	ctl_double	fadd=1
governed	ctl_muladd	fadd=1;fmul=1
governed	ctl_exp_of_zero	air.exp.f32=1;fadd=1
governed-contracting	exp_product	air.exp.f32=2;fmul=1
governed-contracting	exp_of_sum	air.exp.f32=1;fadd=1
governed-contracting	exp_telescope	air.exp.f32=2;fmul=1;fsub=2
governed-contracting	exp_telescoped	air.exp.f32=1;fsub=1
governed-contracting	exp_quotient	air.exp.f32=2;fdiv=1
governed-contracting	exp_reciprocal	air.exp.f32=1;fdiv=1
governed-contracting	log_sum	air.log.f32=2;fadd=1
governed-contracting	log_of_product	air.log.f32=1;fmul=1
governed-contracting	log_difference	air.log.f32=2;fsub=1
governed-contracting	sqrt_product	air.sqrt.f32=2;fmul=1
governed-contracting	sqrt_of_product	air.sqrt.f32=1;fmul=1
governed-contracting	pow_square	air.pow.f32=1
governed-contracting	pow_half	air.pow.f32=1
governed-contracting	ctl_double	fadd=1
governed-contracting	ctl_muladd	llvm.fmuladd.f32=1
governed-contracting	ctl_exp_of_zero	air.exp.f32=1;fadd=1
compiler-default	exp_product	air.fast_exp.f32=2;fmul=1
compiler-default	exp_of_sum	air.fast_exp.f32=1;fadd=1
compiler-default	exp_telescope	air.fast_exp.f32=2;fmul=1;fsub=2
compiler-default	exp_telescoped	air.fast_exp.f32=1;fsub=1
compiler-default	exp_quotient	air.fast_exp.f32=2;fdiv=1
compiler-default	exp_reciprocal	air.fast_exp.f32=1;fdiv=1
compiler-default	log_sum	air.fast_log.f32=2;fadd=1
compiler-default	log_of_product	air.fast_log.f32=1;fmul=1
compiler-default	log_difference	air.fast_log.f32=2;fsub=1
compiler-default	sqrt_product	air.fast_sqrt.f32=2;fmul=1
compiler-default	sqrt_of_product	air.fast_sqrt.f32=1;fmul=1
compiler-default	pow_square	air.fast_pow.f32=1
compiler-default	pow_half	air.fast_pow.f32=1
compiler-default	ctl_double	fmul=1
compiler-default	ctl_muladd	fadd=1;fmul=1
