flag_set	kernel	air_callee	call_fast_math_flags
governed	exp_default	air.exp.f32	none
governed	exp_precise	air.exp.f32	none
governed	exp_fast	air.fast_exp.f32	none
governed	exp2_default	air.exp2.f32	none
governed	rsqrt_default	air.rsqrt.f32	none
governed	rsqrt_precise	air.rsqrt.f32	none
governed	rsqrt_fast	air.fast_rsqrt.f32	none
governed	sqrt_precise	air.sqrt.f32	none
governed	silu_div	air.exp.f32	none
governed	silu_div	llvm.fdiv	none
governed	silu_mul_recip	air.exp.f32	none
governed	silu_mul_recip	llvm.fdiv	none
governed	divide_operator	llvm.fdiv	none
governed	divide_precise	llvm.fdiv	none
governed	fmax_default	air.fmax.f32	none
governed	simd_sum_f32	air.simd_sum.f32	none
governed	simd_max_f32	air.simd_max.f32	none
compiler-default	exp_default	air.fast_exp.f32	fast
compiler-default	exp_precise	air.exp.f32	fast
compiler-default	exp_fast	air.fast_exp.f32	fast
compiler-default	exp2_default	air.fast_exp2.f32	fast
compiler-default	rsqrt_default	air.fast_rsqrt.f32	fast
compiler-default	rsqrt_precise	air.rsqrt.f32	fast
compiler-default	rsqrt_fast	air.fast_rsqrt.f32	fast
compiler-default	sqrt_precise	air.sqrt.f32	fast
compiler-default	silu_div	air.exp.f32	fast
compiler-default	silu_div	llvm.fdiv	fast
compiler-default	silu_mul_recip	air.exp.f32	fast
compiler-default	silu_mul_recip	llvm.fdiv	fast
compiler-default	divide_operator	llvm.fdiv	fast
compiler-default	divide_precise	llvm.fdiv	none
compiler-default	fmax_default	air.fast_fmax.f32	fast
compiler-default	simd_sum_f32	air.simd_sum.f32	fast
compiler-default	simd_max_f32	air.simd_max.f32	fast
fp32-functions-fast	exp_default	air.fast_exp.f32	fast
fp32-functions-fast	exp_precise	air.exp.f32	fast
fp32-functions-fast	exp_fast	air.fast_exp.f32	fast
fp32-functions-fast	exp2_default	air.fast_exp2.f32	fast
fp32-functions-fast	rsqrt_default	air.fast_rsqrt.f32	fast
fp32-functions-fast	rsqrt_precise	air.rsqrt.f32	fast
fp32-functions-fast	rsqrt_fast	air.fast_rsqrt.f32	fast
fp32-functions-fast	sqrt_precise	air.sqrt.f32	fast
fp32-functions-fast	silu_div	air.exp.f32	fast
fp32-functions-fast	silu_div	llvm.fdiv	fast
fp32-functions-fast	silu_mul_recip	air.exp.f32	fast
fp32-functions-fast	silu_mul_recip	llvm.fdiv	fast
fp32-functions-fast	divide_operator	llvm.fdiv	fast
fp32-functions-fast	divide_precise	llvm.fdiv	none
fp32-functions-fast	fmax_default	air.fast_fmax.f32	fast
fp32-functions-fast	simd_sum_f32	air.simd_sum.f32	fast
fp32-functions-fast	simd_max_f32	air.simd_max.f32	fast
math-mode-fast	exp_default	air.fast_exp.f32	fast
math-mode-fast	exp_precise	air.exp.f32	fast
math-mode-fast	exp_fast	air.fast_exp.f32	fast
math-mode-fast	exp2_default	air.fast_exp2.f32	fast
math-mode-fast	rsqrt_default	air.fast_rsqrt.f32	fast
math-mode-fast	rsqrt_precise	air.rsqrt.f32	fast
math-mode-fast	rsqrt_fast	air.fast_rsqrt.f32	fast
math-mode-fast	sqrt_precise	air.sqrt.f32	fast
math-mode-fast	silu_div	air.exp.f32	fast
math-mode-fast	silu_div	llvm.fdiv	fast
math-mode-fast	silu_mul_recip	air.exp.f32	fast
math-mode-fast	silu_mul_recip	llvm.fdiv	fast
math-mode-fast	divide_operator	llvm.fdiv	fast
math-mode-fast	divide_precise	llvm.fdiv	none
math-mode-fast	fmax_default	air.fast_fmax.f32	fast
math-mode-fast	simd_sum_f32	air.simd_sum.f32	fast
math-mode-fast	simd_max_f32	air.simd_max.f32	fast
math-mode-relaxed	exp_default	air.fast_exp.f32	none
math-mode-relaxed	exp_precise	air.exp.f32	none
math-mode-relaxed	exp_fast	air.fast_exp.f32	none
math-mode-relaxed	exp2_default	air.fast_exp2.f32	none
math-mode-relaxed	rsqrt_default	air.fast_rsqrt.f32	none
math-mode-relaxed	rsqrt_precise	air.rsqrt.f32	none
math-mode-relaxed	rsqrt_fast	air.fast_rsqrt.f32	none
math-mode-relaxed	sqrt_precise	air.sqrt.f32	none
math-mode-relaxed	silu_div	air.exp.f32	none
math-mode-relaxed	silu_div	llvm.fdiv	none
math-mode-relaxed	silu_mul_recip	air.exp.f32	none
math-mode-relaxed	silu_mul_recip	llvm.fdiv	none
math-mode-relaxed	divide_operator	llvm.fdiv	none
math-mode-relaxed	divide_precise	llvm.fdiv	none
math-mode-relaxed	fmax_default	air.fast_fmax.f32	none
math-mode-relaxed	simd_sum_f32	air.simd_sum.f32	none
math-mode-relaxed	simd_max_f32	air.simd_max.f32	none
