variant	profile	tensors_replaced	elements_replaced	replaced_bytes	model_weight_bytes	model_weight_bytes_vs_f32	sequence_matches_baseline	greedy_agreement	max_logit_deviation	max_top32_logit_deviation	median_logit_deviation	min_runner_up_gap	sequence
projections-only	bf16-storage-control	196	440401920	880803840	1503395840	0.630566	1	18/18	0.000000e+00	0.000000e+00	0.000000e+00	2.660789e-01	785 3974 13876 38835 34208 916 279 15678 5562 13 576 3974 13876 38835 34208 916 279 15678
projections-only	per-tensor-u4	196	440401920	220201940	842793940	0.353491	0	0/18	3.262189e+01	3.229478e+01	5.038459e+00	8.362007e-02	785 3974 13876 38835 34208 916 279 15678 5562 13 1537 13416 127615 90885 4375 91916 10236 2525
projections-only	per-tensor-u8	196	440401920	440402900	1062994900	0.445850	0	9/18	1.644327e+01	1.644327e+01	7.669389e-01	4.649734e-02	785 3974 13876 38835 34208 916 279 15678 5562 13 3555 374 279 1790 3409 304 279 8500
projections-only	per-channel-u4	196	440401920	221749248	844341248	0.354140	1	15/18	2.002335e+01	2.002335e+01	1.250723e+00	3.084755e-02	785 3974 13876 38835 34208 916 279 15678 5562 13 576 3974 13876 38835 34208 916 279 15678
projections-only	per-channel-u8	196	440401920	442122240	1064714240	0.446571	1	17/18	1.041484e+01	3.001510e+00	1.080346e-01	1.322174e-01	785 3974 13876 38835 34208 916 279 15678 5562 13 576 3974 13876 38835 34208 916 279 15678
projections-only	per-group32-u4	196	440401920	282132480	904724480	0.379467	0	7/18	1.777022e+01	1.428939e+01	1.312030e+00	1.248550e-02	785 3974 13876 38835 34208 916 279 15678 5562 13 1096 374 264 1661 3110 315 264 30743
projections-only	per-group128-u4	196	440401920	235683840	858275840	0.359985	0	7/18	1.573700e+01	1.525476e+01	1.379639e+00	1.047039e-02	785 3974 13876 38835 34208 916 279 15678 5562 13 3555 374 279 18927 429 279 38835 34208
projections-only	per-group128-u8	196	440401920	457605120	1080197120	0.453065	1	18/18	1.139491e+01	3.935420e+00	5.614185e-02	2.595615e-01	785 3974 13876 38835 34208 916 279 15678 5562 13 576 3974 13876 38835 34208 916 279 15678
projections+embedding	bf16-storage-control	197	595984384	1191968768	1192230912	0.500055	1	18/18	0.000000e+00	0.000000e+00	0.000000e+00	2.660789e-01	785 3974 13876 38835 34208 916 279 15678 5562 13 576 3974 13876 38835 34208 916 279 15678
projections+embedding	per-tensor-u4	197	595984384	297993177	298255321	0.125097	0	0/18	2.979010e+01	2.919189e+01	4.529633e+00	2.535820e-03	785 3974 13876 38835 34208 916 279 15678 5562 13 2027 9276 290 68976 75932 125799 107469 90998
projections+embedding	per-tensor-u8	197	595984384	595985369	596247513	0.250083	0	8/18	1.644905e+01	1.644905e+01	7.751547e-01	1.221466e-02	785 3974 13876 38835 34208 916 279 15678 5562 13 3555 374 279 7402 3409 304 279 11652
projections+embedding	per-channel-u4	197	595984384	300224192	300486336	0.126032	0	6/18	2.184744e+01	2.065940e+01	1.661152e+00	1.682281e-03	785 3974 13876 38835 34208 916 279 15678 5562 13 576 5562 374 264 2699 315 264 289
projections+embedding	per-channel-u8	197	595984384	598464384	598726528	0.251123	1	17/18	1.045850e+01	2.960222e+00	1.103832e-01	1.507645e-01	785 3974 13876 38835 34208 916 279 15678 5562 13 576 3974 13876 38835 34208 916 279 15678
projections+embedding	per-group32-u4	197	595984384	381802496	382064640	0.160249	0	7/18	1.840985e+01	1.423914e+01	1.345026e+00	4.884338e-02	785 3974 13876 38835 34208 916 279 15678 5562 13 1096 374 264 1661 3110 315 264 30743
projections+embedding	per-group128-u4	197	595984384	318944768	319206912	0.133884	0	8/18	1.935085e+01	1.539330e+01	1.548393e+00	5.103111e-03	785 3974 13876 38835 34208 916 279 15678 5562 13 220 3555 1558 419 17133 3076 5267 785
projections+embedding	per-group128-u8	197	595984384	619265024	619527168	0.259847	1	18/18	1.138270e+01	3.932757e+00	5.989388e-02	2.421894e-01	785 3974 13876 38835 34208 916 279 15678 5562 13 576 3974 13876 38835 34208 916 279 15678
