tensor	profile	calibration	relative_frobenius_error
model.embed_tokens.weight	per-tensor-u4	minmax	3.558958e-01
model.embed_tokens.weight	per-tensor-u4	clip99.9	1.334041e-01
model.embed_tokens.weight	per-tensor-u4	clip99	1.133852e-01
model.embed_tokens.weight	per-channel-u4	minmax	1.279038e-01
model.embed_tokens.weight	per-channel-u4	clip99.9	1.220762e-01
model.embed_tokens.weight	per-channel-u4	clip99	1.092979e-01
model.embed_tokens.weight	per-group128-u4	minmax	1.006248e-01
model.embed_tokens.weight	per-group128-u4	clip99.9	9.980424e-02
model.embed_tokens.weight	per-group128-u4	clip99	9.946205e-02
model.embed_tokens.weight	per-group32-u4	minmax	8.068958e-02
model.embed_tokens.weight	per-group32-u4	clip99.9	8.045366e-02
model.embed_tokens.weight	per-group32-u4	clip99	8.109094e-02
model.embed_tokens.weight	per-tensor-u8	minmax	2.110941e-02
model.embed_tokens.weight	per-tensor-u8	clip99.9	1.593450e-02
model.embed_tokens.weight	per-tensor-u8	clip99	4.910807e-02
model.embed_tokens.weight	per-channel-u8	minmax	7.522952e-03
model.embed_tokens.weight	per-channel-u8	clip99.9	1.196047e-02
model.embed_tokens.weight	per-channel-u8	clip99	4.715487e-02
model.embed_tokens.weight	per-group128-u8	minmax	5.919068e-03
model.embed_tokens.weight	per-group128-u8	clip99.9	7.002610e-03
model.embed_tokens.weight	per-group128-u8	clip99	3.865053e-02
model.embed_tokens.weight	per-group32-u8	minmax	4.745437e-03
model.embed_tokens.weight	per-group32-u8	clip99.9	5.215468e-03
model.embed_tokens.weight	per-group32-u8	clip99	2.246763e-02
model.layers.0.mlp.down_proj.weight	per-tensor-u4	minmax	5.885250e-01
model.layers.0.mlp.down_proj.weight	per-tensor-u4	clip99.9	1.442977e-01
model.layers.0.mlp.down_proj.weight	per-tensor-u4	clip99	1.247599e-01
model.layers.0.mlp.down_proj.weight	per-channel-u4	minmax	1.539857e-01
model.layers.0.mlp.down_proj.weight	per-channel-u4	clip99.9	1.357286e-01
model.layers.0.mlp.down_proj.weight	per-channel-u4	clip99	1.188321e-01
model.layers.0.mlp.down_proj.weight	per-group128-u4	minmax	1.047372e-01
model.layers.0.mlp.down_proj.weight	per-group128-u4	clip99.9	1.037708e-01
model.layers.0.mlp.down_proj.weight	per-group128-u4	clip99	1.052947e-01
model.layers.0.mlp.down_proj.weight	per-group32-u4	minmax	8.235369e-02
model.layers.0.mlp.down_proj.weight	per-group32-u4	clip99.9	8.209454e-02
model.layers.0.mlp.down_proj.weight	per-group32-u4	clip99	8.316300e-02
model.layers.0.mlp.down_proj.weight	per-tensor-u8	minmax	3.516175e-02
model.layers.0.mlp.down_proj.weight	per-tensor-u8	clip99.9	3.843300e-02
model.layers.0.mlp.down_proj.weight	per-tensor-u8	clip99	6.971589e-02
model.layers.0.mlp.down_proj.weight	per-channel-u8	minmax	9.060854e-03
model.layers.0.mlp.down_proj.weight	per-channel-u8	clip99.9	1.944680e-02
model.layers.0.mlp.down_proj.weight	per-channel-u8	clip99	6.094826e-02
model.layers.0.mlp.down_proj.weight	per-group128-u8	minmax	6.163064e-03
model.layers.0.mlp.down_proj.weight	per-group128-u8	clip99.9	7.697499e-03
model.layers.0.mlp.down_proj.weight	per-group128-u8	clip99	4.733382e-02
model.layers.0.mlp.down_proj.weight	per-group32-u8	minmax	4.845012e-03
model.layers.0.mlp.down_proj.weight	per-group32-u8	clip99.9	5.419377e-03
model.layers.0.mlp.down_proj.weight	per-group32-u8	clip99	2.507498e-02
model.layers.0.mlp.gate_proj.weight	per-tensor-u4	minmax	3.687690e-01
model.layers.0.mlp.gate_proj.weight	per-tensor-u4	clip99.9	1.609710e-01
model.layers.0.mlp.gate_proj.weight	per-tensor-u4	clip99	1.358670e-01
model.layers.0.mlp.gate_proj.weight	per-channel-u4	minmax	1.323575e-01
model.layers.0.mlp.gate_proj.weight	per-channel-u4	clip99.9	1.257300e-01
model.layers.0.mlp.gate_proj.weight	per-channel-u4	clip99	1.130474e-01
model.layers.0.mlp.gate_proj.weight	per-group128-u4	minmax	1.020118e-01
model.layers.0.mlp.gate_proj.weight	per-group128-u4	clip99.9	1.011497e-01
model.layers.0.mlp.gate_proj.weight	per-group128-u4	clip99	1.011338e-01
model.layers.0.mlp.gate_proj.weight	per-group32-u4	minmax	8.135541e-02
model.layers.0.mlp.gate_proj.weight	per-group32-u4	clip99.9	8.111215e-02
model.layers.0.mlp.gate_proj.weight	per-group32-u4	clip99	8.184717e-02
model.layers.0.mlp.gate_proj.weight	per-tensor-u8	minmax	2.177014e-02
model.layers.0.mlp.gate_proj.weight	per-tensor-u8	clip99.9	2.890305e-02
model.layers.0.mlp.gate_proj.weight	per-tensor-u8	clip99	7.954323e-02
model.layers.0.mlp.gate_proj.weight	per-channel-u8	minmax	7.795259e-03
model.layers.0.mlp.gate_proj.weight	per-channel-u8	clip99.9	1.360567e-02
model.layers.0.mlp.gate_proj.weight	per-channel-u8	clip99	5.319530e-02
model.layers.0.mlp.gate_proj.weight	per-group128-u8	minmax	6.008070e-03
