tensor	profile	shape	groups	relative_frobenius_error	max_abs_error	min_scale	max_scale	stored_bytes
model.embed_tokens.weight	per-tensor-u4	151936x1024	1	3.558958e-01	1.875000e-02	3.750000e-02	3.750000e-02	77791237
model.embed_tokens.weight	per-tensor-u8	151936x1024	1	2.110941e-02	1.102939e-03	2.205882e-03	2.205882e-03	155582469
model.embed_tokens.weight	per-channel-u4	151936x1024	151936	1.279038e-01	1.708984e-02	7.080078e-03	3.424479e-02	78474944
model.embed_tokens.weight	per-channel-u8	151936x1024	151936	7.522952e-03	1.007080e-03	4.164752e-04	2.014400e-03	156342144
model.embed_tokens.weight	per-group32-u4	151936x1024	4861952	8.068958e-02	1.627605e-02	8.626302e-04	3.424479e-02	99670016
model.embed_tokens.weight	per-group64-u4	151936x1024	2430976	9.097335e-02	1.702474e-02	1.180013e-03	3.424479e-02	88730624
model.embed_tokens.weight	per-group128-u4	151936x1024	1215488	1.006248e-01	1.708984e-02	1.542155e-03	3.424479e-02	83260928
model.embed_tokens.weight	per-group128-u8	151936x1024	1215488	5.919068e-03	9.842217e-04	9.071500e-05	2.014400e-03	161659904
model.layers.0.mlp.down_proj.weight	per-tensor-u4	1024x3072	1	5.885250e-01	2.746582e-02	5.494792e-02	5.494792e-02	1572869
model.layers.0.mlp.down_proj.weight	per-tensor-u8	1024x3072	1	3.516175e-02	1.614799e-03	3.232230e-03	3.232230e-03	3145733
model.layers.0.mlp.down_proj.weight	per-channel-u4	1024x3072	1024	1.539857e-01	2.746582e-02	9.570313e-03	5.494792e-02	1577472
model.layers.0.mlp.down_proj.weight	per-channel-u8	1024x3072	1024	9.060854e-03	1.614198e-03	5.629596e-04	3.232230e-03	3150848
model.layers.0.mlp.down_proj.weight	per-group32-u4	1024x3072	98304	8.235369e-02	1.920573e-02	1.615397e-03	3.873698e-02	2015232
model.layers.0.mlp.down_proj.weight	per-group64-u4	1024x3072	49152	9.375255e-02	1.932780e-02	2.368164e-03	3.873698e-02	1794048
model.layers.0.mlp.down_proj.weight	per-group128-u4	1024x3072	24576	1.047372e-01	2.172852e-02	3.019206e-03	4.361979e-02	1683456
model.layers.0.mlp.down_proj.weight	per-group128-u8	1024x3072	24576	6.163064e-03	1.273364e-03	1.776003e-04	2.565870e-03	3268608
model.layers.0.mlp.gate_proj.weight	per-tensor-u4	3072x1024	1	3.687690e-01	2.376302e-02	4.752604e-02	4.752604e-02	1572869
model.layers.0.mlp.gate_proj.weight	per-tensor-u8	3072x1024	1	2.177014e-02	1.397826e-03	2.795649e-03	2.795649e-03	3145733
model.layers.0.mlp.gate_proj.weight	per-channel-u4	3072x1024	3072	1.323575e-01	2.233887e-02	8.675130e-03	4.479166e-02	1586688
model.layers.0.mlp.gate_proj.weight	per-channel-u8	3072x1024	3072	7.795259e-03	1.314919e-03	5.103018e-04	2.634804e-03	3161088
model.layers.0.mlp.gate_proj.weight	per-group32-u4	3072x1024	98304	8.135541e-02	2.139486e-02	2.856445e-03	4.479166e-02	2015232
model.layers.0.mlp.gate_proj.weight	per-group64-u4	3072x1024	49152	9.202685e-02	2.172852e-02	4.370117e-03	4.479166e-02	1794048
model.layers.0.mlp.gate_proj.weight	per-group128-u4	3072x1024	24576	1.020118e-01	2.220052e-02	5.273438e-03	4.479166e-02	1683456
model.layers.0.mlp.gate_proj.weight	per-group128-u8	3072x1024	24576	6.008070e-03	1.314919e-03	3.102022e-04	2.634804e-03	3268608
model.layers.0.mlp.up_proj.weight	per-tensor-u4	3072x1024	1	5.302574e-01	2.427572e-02	4.856771e-02	4.856771e-02	1572869
model.layers.0.mlp.up_proj.weight	per-tensor-u8	3072x1024	1	3.152728e-02	1.427265e-03	2.856924e-03	2.856924e-03	3145733
model.layers.0.mlp.up_proj.weight	per-channel-u4	3072x1024	3072	1.333953e-01	2.427572e-02	8.235677e-03	4.856771e-02	1586688
model.layers.0.mlp.up_proj.weight	per-channel-u8	3072x1024	3072	7.859377e-03	1.427265e-03	4.844516e-04	2.856924e-03	3161088
model.layers.0.mlp.up_proj.weight	per-group32-u4	3072x1024	98304	8.162589e-02	2.380371e-02	2.360026e-03	4.856771e-02	2015232
model.layers.0.mlp.up_proj.weight	per-group64-u4	3072x1024	49152	9.262860e-02	2.380371e-02	3.857422e-03	4.856771e-02	1794048
model.layers.0.mlp.up_proj.weight	per-group128-u4	3072x1024	24576	1.029473e-01	2.380371e-02	4.492187e-03	4.856771e-02	1683456
model.layers.0.mlp.up_proj.weight	per-group128-u8	3072x1024	24576	6.059712e-03	1.427265e-03	2.642463e-04	2.856924e-03	3268608
model.layers.0.self_attn.k_proj.weight	per-tensor-u4	1024x1024	1	5.100613e-01	2.783203e-02	5.572917e-02	5.572917e-02	524293
model.layers.0.self_attn.k_proj.weight	per-tensor-u8	1024x1024	1	3.055685e-02	1.638136e-03	3.278186e-03	3.278186e-03	1048581
model.layers.0.self_attn.k_proj.weight	per-channel-u4	1024x1024	1024	1.321576e-01	2.783203e-02	2.604167e-03	5.572917e-02	528896
model.layers.0.self_attn.k_proj.weight	per-channel-u8	1024x1024	1024	7.777576e-03	1.638136e-03	1.531863e-04	3.278186e-03	1053696
model.layers.0.self_attn.k_proj.weight	per-group32-u4	1024x1024	32768	8.124781e-02	2.298178e-02	1.159668e-03	4.700521e-02	671744
model.layers.0.self_attn.k_proj.weight	per-group64-u4	1024x1024	16384	9.215892e-02	2.721354e-02	1.440430e-03	5.572917e-02	598016
model.layers.0.self_attn.k_proj.weight	per-group128-u4	1024x1024	8192	1.022538e-01	2.721354e-02	1.733398e-03	5.572917e-02	561152
model.layers.0.self_attn.k_proj.weight	per-group128-u8	1024x1024	8192	6.016438e-03	1.619950e-03	1.019646e-04	3.278186e-03	1089536
model.layers.0.self_attn.o_proj.weight	per-tensor-u4	1024x2048	1	5.022746e-01	2.329915e-02	4.661458e-02	4.661458e-02	1048581
model.layers.0.self_attn.o_proj.weight	per-tensor-u8	1024x2048	1	3.029082e-02	1.370059e-03	2.742034e-03	2.742034e-03	2097157
model.layers.0.self_attn.o_proj.weight	per-channel-u4	1024x2048	1024	1.659896e-01	2.051595e-02	8.886719e-03	4.114584e-02	1053184
model.layers.0.self_attn.o_proj.weight	per-channel-u8	1024x2048	1024	9.792548e-03	1.209095e-03	5.227482e-04	2.420343e-03	2102272
model.layers.0.self_attn.o_proj.weight	per-group32-u4	1024x2048	65536	8.104692e-02	1.586914e-02	1.379395e-03	3.411458e-02	1343488
model.layers.0.self_attn.o_proj.weight	per-group64-u4	1024x2048	32768	9.149223e-02	1.629232e-02	1.835124e-03	3.411458e-02	1196032
model.layers.0.self_attn.o_proj.weight	per-group128-u4	1024x2048	16384	1.011609e-01	1.684570e-02	1.981608e-03	3.417969e-02	1122304
model.layers.0.self_attn.o_proj.weight	per-group128-u8	1024x2048	16384	5.952057e-03	9.981040e-04	1.165652e-04	2.010570e-03	2179072
model.layers.0.self_attn.q_proj.weight	per-tensor-u4	2048x1024	1	7.002305e-01	4.218751e-02	8.437500e-02	8.437500e-02	1048581
model.layers.0.self_attn.q_proj.weight	per-tensor-u8	2048x1024	1	4.516635e-02	2.481610e-03	4.963235e-03	4.963235e-03	2097157
model.layers.0.self_attn.q_proj.weight	per-channel-u4	2048x1024	2048	1.445210e-01	4.213867e-02	2.087402e-03	8.437500e-02	1057792
