requested	operations	coverage_records	stages	alternatives	graph_bytes	program_bytes	widest_alternative_bytes	coverage_bytes	mean_record_bytes	bytes_per_op	compile_ms
2	2	2	1	1	417	7777	7777	5974	2987.0	3888.500	1
3	3	3	1	1	551	11302	11302	9270	3090.0	3767.333	2
4	4	4	1	1	685	14827	14827	12566	3141.5	3706.750	2
5	5	5	1	1	819	18352	18352	15862	3172.4	3670.400	2
6	6	6	1	1	953	21877	21877	19158	3193.0	3646.167	4
7	7	7	1	1	1087	25402	25402	22454	3207.7	3628.857	7
8	8	8	1	1	1221	28927	28927	25750	3218.8	3615.875	13
9	9	9	1	1	1355	32452	32452	29046	3227.3	3605.778	28
10	10	10	1	1	1489	35977	35977	32342	3234.2	3597.700	64

# measured points: 9
#
# structural decomposition (the mechanism, not just the exponent):
#   operations	graph_bytes	mean_record_bytes	coverage_step
#   2	417	2987.0	-
#   3	551	3090.0	3296
#   4	685	3141.5	3296
#   5	819	3172.4	3296
#   6	953	3193.0	3296
#   7	1087	3207.7	3296
#   8	1221	3218.8	3296
#   9	1355	3227.3	3296
#   10	1489	3234.2	3296
#
# consecutive growth (each step adds one operation):
#   ops_from -> ops_to	ops_ratio	program_bytes_ratio	local_exponent
#   2 -> 3	1.500	1.453	0.9219
#   3 -> 4	1.333	1.312	0.9436
#   4 -> 5	1.250	1.238	0.9558
#   5 -> 6	1.200	1.192	0.9637
#   6 -> 7	1.167	1.161	0.9691
#   7 -> 8	1.143	1.139	0.9732
#   8 -> 9	1.125	1.122	0.9763
#   9 -> 10	1.111	1.109	0.9787
#
# log-log least-squares exponent over all 9 points: 0.9538
# READ THAT WITH THE FIT BELOW, NOT INSTEAD OF IT. An exponent is a summary of where the domain is and not a statement of what the curve is: over the pre-ADR-0104 quadratic it read 1.09, because the linear term dominated everywhere a program could reach. Only the exact fit below distinguishes the two encodings, and it does so by reproducing every measured point to the byte.
#
# MAX_PROGRAM_IDENTITY_BYTES = 67108864 (64 MiB)
# widest measured point: 10 operations at 35977 bytes, 0.05361% of the bound
#
# EXACT FIT over every measured point: program_bytes(n) = 3525n + 727 — LINEAR, with a quadratic coefficient of exactly zero rather than a small one.
#   graph_bytes(n) = 0n^2 + 134n + 149
#   THE MECHANISM, stated as the relation a reader can check: the program curve's quadratic coefficient is 0 while the graph curve still grows at 134 bytes per operation. The per-record graph reference no longer scales with the graph, so the product that used to make the total quadratic — one whole graph identity per coverage record, one record per operation — is gone. That is ADR 0104's fold, read off the curve rather than off the encoder.
#
# EXTRAPOLATED refusal point: the fitted curve first exceeds the bound at n = 19038 operations (67109677 bytes at n = 19038, 67106152 bytes at n = 19037).
# THE FIT IS EXACT ON ITS DOMAIN AND THE DOMAIN IS 2..=10 OPERATIONS. Every coefficient above is a property of this one program family: graph identity per operation depends on operation-key length, arity, result rank, and attribute width, and the per-record remainder depends on the region, the reached definitions, and the admission provenance. A different family moves all three coefficients, so this number is the order of magnitude at which the bound becomes binding, not a refusal a caller can rely on.
# IT IS ALSO AN EXTRAPOLATION ACROSS THREE ORDERS OF MAGNITUDE, and the walls below say why no wider ladder is available: the ordinary compilation path refuses this family at 11 operations for reasons that are not program size, so the widest point any measurement can reach is 10 and the refusal point above is 1904x beyond it.
#
# THE WALLS ABOVE THE LADDER, each compiled and required to refuse with the class named:
#   11 operations: CONFIRMED InvalidCompilerOutput — the explain authority's detail ceiling, exhausted by cover-enumeration rejections; the compiler classes its own refusal as a defect [the compilation batch refused: CompileFailure { class: InvalidCompilerOutput, explain: "3478 records" }]
#   12 operations: CONFIRMED NoFeasiblePlan — region_expansions (10,000) stops growth before the whole-program candidate, leaving a portfolio whose every cover names an unimplemented region [the target slot refused: TargetCompileFailure { failure: CompileFailure { class: NoFeasiblePlan, explain: "198 records" }, refusal: None }]
#   62 operations: CONFIRMED NoFeasiblePlan — the governed semantic_operations maximum, which the same expansion bound refuses long before its own budget would [the target slot refused: TargetCompileFailure { failure: CompileFailure { class: NoFeasiblePlan, explain: "638 records" }, refusal: None }]
#   63 operations: CONFIRMED BudgetExhausted — semantic_operations = 62, the one wall here that is about program size [the compilation batch refused: CompileFailure { class: BudgetExhausted, explain: "absent (refused before a target-qualified trace)" }]
# so the ladder above is the entire domain the ordinary compilation path admits for this family, and the governed semantic_operations budget of 62 is measured to be unreachable rather than assumed to bound it.
