requested	operations	coverage_records	stages	alternatives	graph_bytes	program_bytes	widest_alternative_bytes	coverage_bytes	mean_record_bytes	bytes_per_op	compile_ms
2	2	2	1	1	417	7777	7777	5974	2987.0	3888.500	1
3	3	3	1	1	551	11302	11302	9270	3090.0	3767.333	1
4	4	4	1	1	685	14827	14827	12566	3141.5	3706.750	1
5	5	5	1	1	819	18352	18352	15862	3172.4	3670.400	2
6	6	6	1	1	953	21877	21877	19158	3193.0	3646.167	2
7	7	7	1	1	1087	25402	25402	22454	3207.7	3628.857	3
8	8	8	1	1	1221	28927	28927	25750	3218.8	3615.875	6
9	9	9	1	1	1355	32452	32452	29046	3227.3	3605.778	10
10	10	10	1	1	1489	35977	35977	32342	3234.2	3597.700	21
11	11	11	1	1	1623	39502	39502	35638	3239.8	3591.091	45
12	12	12	1	1	1757	43027	43027	38934	3244.5	3585.583	6
13	13	13	1	1	1891	46552	46552	42230	3248.5	3580.923	6
14	14	14	1	1	2025	50077	50077	45526	3251.9	3576.929	6
15	15	15	1	1	2159	53602	53602	48822	3254.8	3573.467	6
16	16	16	1	1	2293	57127	57127	52118	3257.4	3570.438	7
17	17	17	1	1	2427	60652	60652	55414	3259.6	3567.765	7
18	18	18	1	1	2561	64177	64177	58710	3261.7	3565.389	7
19	19	19	1	1	2695	67702	67702	62006	3263.5	3563.263	8
20	20	20	1	1	2829	71227	71227	65302	3265.1	3561.350	8
21	21	21	1	1	2963	74752	74752	68598	3266.6	3559.619	8
22	22	22	1	1	3097	78277	78277	71894	3267.9	3558.045	8
23	23	23	1	1	3231	81802	81802	75190	3269.1	3556.609	9
24	24	24	1	1	3365	85327	85327	78486	3270.2	3555.292	9
25	25	25	1	1	3499	88852	88852	81782	3271.3	3554.080	9
26	26	26	1	1	3633	92377	92377	85078	3272.2	3552.962	9
27	27	27	1	1	3767	95902	95902	88374	3273.1	3551.926	9
28	28	28	1	1	3901	99427	99427	91670	3273.9	3550.964	9
29	29	29	1	1	4035	102952	102952	94966	3274.7	3550.069	10
30	30	30	1	1	4169	106477	106477	98262	3275.4	3549.233	10
31	31	31	1	1	4303	110002	110002	101558	3276.1	3548.452	10
32	32	32	1	1	4437	113527	113527	104854	3276.7	3547.719	11

# measured points: 31
#
# structural decomposition (the mechanism, not just the exponent):
