requested	operations	coverage_records	stages	alternatives	graph_bytes	program_bytes	widest_alternative_bytes	coverage_bytes	mean_record_bytes	bytes_per_op	compile_ms
2	2	2	1	1	417	7783	7783	5980	2990.0	3891.500	1
3	3	3	1	1	551	11313	11313	9281	3093.7	3771.000	1
4	4	4	1	1	685	14843	14843	12582	3145.5	3710.750	1
5	5	5	1	1	819	18373	18373	15883	3176.6	3674.600	2
6	6	6	1	1	953	21903	21903	19184	3197.3	3650.500	2
7	7	7	1	1	1087	25433	25433	22485	3212.1	3633.286	3
8	8	8	1	1	1221	28963	28963	25786	3223.2	3620.375	6
9	9	9	1	1	1355	32493	32493	29087	3231.9	3610.333	11
10	10	10	1	1	1489	36023	36023	32388	3238.8	3602.300	21
11	11	11	1	1	1623	39553	39553	35689	3244.5	3595.727	46
12	12	12	1	1	1757	43083	43083	38990	3249.2	3590.250	6
13	13	13	1	1	1891	46613	46613	42291	3253.2	3585.615	6
14	14	14	1	1	2025	50143	50143	45592	3256.6	3581.643	6
15	15	15	1	1	2159	53673	53673	48893	3259.5	3578.200	7
16	16	16	1	1	2293	57203	57203	52194	3262.1	3575.188	7
17	17	17	1	1	2427	60733	60733	55495	3264.4	3572.529	7
18	18	18	1	1	2561	64263	64263	58796	3266.4	3570.167	7
19	19	19	1	1	2695	67793	67793	62097	3268.3	3568.053	8
20	20	20	1	1	2829	71323	71323	65398	3269.9	3566.150	8
21	21	21	1	1	2963	74853	74853	68699	3271.4	3564.429	8
22	22	22	1	1	3097	78383	78383	72000	3272.7	3562.864	8
23	23	23	1	1	3231	81913	81913	75301	3274.0	3561.435	8
24	24	24	1	1	3365	85443	85443	78602	3275.1	3560.125	9
25	25	25	1	1	3499	88973	88973	81903	3276.1	3558.920	9
26	26	26	1	1	3633	92503	92503	85204	3277.1	3557.808	9
27	27	27	1	1	3767	96033	96033	88505	3278.0	3556.778	10
28	28	28	1	1	3901	99563	99563	91806	3278.8	3555.821	10
29	29	29	1	1	4035	103093	103093	95107	3279.6	3554.931	10
30	30	30	1	1	4169	106623	106623	98408	3280.3	3554.100	10
31	31	31	1	1	4303	110153	110153	101709	3280.9	3553.323	11
32	32	32	1	1	4437	113683	113683	105010	3281.6	3552.594	11
33	33	33	1	1	4571	117213	117213	108311	3282.2	3551.909	11
34	34	34	1	1	4705	120743	120743	111612	3282.7	3551.265	12
35	35	35	1	1	4839	124273	124273	114913	3283.2	3550.657	12
36	36	36	1	1	4973	127803	127803	118214	3283.7	3550.083	12
37	37	37	1	1	5107	131333	131333	121515	3284.2	3549.541	12
38	38	38	1	1	5241	134863	134863	124816	3284.6	3549.026	13
39	39	39	1	1	5375	138393	138393	128117	3285.1	3548.538	13
40	40	40	1	1	5509	141923	141923	131418	3285.4	3548.075	14
41	41	41	1	1	5643	145453	145453	134719	3285.8	3547.634	14
42	42	42	1	1	5777	148983	148983	138020	3286.2	3547.214	14
43	43	43	1	1	5911	152513	152513	141321	3286.5	3546.814	14
44	44	44	1	1	6045	156043	156043	144622	3286.9	3546.432	14
45	45	45	1	1	6179	159573	159573	147923	3287.2	3546.067	15
46	46	46	1	1	6313	163103	163103	151224	3287.5	3545.717	15
47	47	47	1	1	6447	166633	166633	154525	3287.8	3545.383	16
48	48	48	1	1	6581	170163	170163	157826	3288.0	3545.062	16
49	49	49	1	1	6715	173693	173693	161127	3288.3	3544.755	16
50	50	50	1	1	6849	177223	177223	164428	3288.6	3544.460	17
51	51	51	1	1	6983	180753	180753	167729	3288.8	3544.176	17
52	52	52	1	1	7117	184283	184283	171030	3289.0	3543.904	17
53	53	53	1	1	7251	187813	187813	174331	3289.3	3543.642	17
54	54	54	1	1	7385	191343	191343	177632	3289.5	3543.389	17
55	55	55	1	1	7519	194873	194873	180933	3289.7	3543.145	19
56	56	56	1	1	7653	198403	198403	184234	3289.9	3542.911	18
57	57	57	1	1	7787	201933	201933	187535	3290.1	3542.684	19
58	58	58	1	1	7921	205463	205463	190836	3290.3	3542.466	19
59	59	59	1	1	8055	208993	208993	194137	3290.5	3542.254	19
60	60	60	1	1	8189	212523	212523	197438	3290.6	3542.050	19
61	61	61	1	1	8323	216053	216053	200739	3290.8	3541.852	20
62	62	62	1	1	8457	219583	219583	204040	3291.0	3541.661	20

# measured points: 61
#
# structural decomposition (the mechanism, not just the exponent):
#   operations	graph_bytes	mean_record_bytes	coverage_step
