requested	operations	coverage_records	stages	alternatives	graph_bytes	program_bytes	widest_alternative_bytes	coverage_bytes	mean_record_bytes	bytes_per_op	compile_ms
2	2	2	1	1	419	7786	7786	5980	2990.0	3893.000	3
3	3	3	1	1	554	11317	11317	9281	3093.7	3772.333	2
4	4	4	1	1	689	14848	14848	12582	3145.5	3712.000	2
5	5	5	1	1	824	18379	18379	15883	3176.6	3675.800	2
6	6	6	1	1	959	21910	21910	19184	3197.3	3651.667	4
7	7	7	1	1	1094	25441	25441	22485	3212.1	3634.429	5
8	8	8	1	1	1229	28972	28972	25786	3223.2	3621.500	8
9	9	9	1	1	1364	32503	32503	29087	3231.9	3611.444	15
10	10	10	1	1	1499	36034	36034	32388	3238.8	3603.400	47
11	11	11	1	1	1634	39565	39565	35689	3244.5	3596.818	118
12	12	12	1	1	1769	43096	43096	38990	3249.2	3591.333	8
13	13	13	1	1	1904	46627	46627	42291	3253.2	3586.692	8
14	14	14	1	1	2039	50158	50158	45592	3256.6	3582.714	16
15	15	15	1	1	2174	53689	53689	48893	3259.5	3579.267	9
16	16	16	1	1	2309	57220	57220	52194	3262.1	3576.250	12
17	17	17	1	1	2444	60751	60751	55495	3264.4	3573.588	11
18	18	18	1	1	2579	64282	64282	58796	3266.4	3571.222	10
19	19	19	1	1	2714	67813	67813	62097	3268.3	3569.105	10
20	20	20	1	1	2849	71344	71344	65398	3269.9	3567.200	16
21	21	21	1	1	2984	74875	74875	68699	3271.4	3565.476	16
22	22	22	1	1	3119	78406	78406	72000	3272.7	3563.909	12
23	23	23	1	1	3254	81937	81937	75301	3274.0	3562.478	16
24	24	24	1	1	3389	85468	85468	78602	3275.1	3561.167	17
25	25	25	1	1	3524	88999	88999	81903	3276.1	3559.960	20
26	26	26	1	1	3659	92530	92530	85204	3277.1	3558.846	17
27	27	27	1	1	3794	96061	96061	88505	3278.0	3557.815	21
28	28	28	1	1	3929	99592	99592	91806	3278.8	3556.857	26
29	29	29	1	1	4064	103123	103123	95107	3279.6	3555.966	20
30	30	30	1	1	4199	106654	106654	98408	3280.3	3555.133	17
31	31	31	1	1	4334	110185	110185	101709	3280.9	3554.355	22
