sample_index	series_key	observation_index	duration_ns
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	0	3208583
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	1	3221916
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	2	3210375
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	3	3206750
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	4	3212667
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	5	3211375
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	6	3209250
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	7	3210709
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	8	3206958
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	9	3207250
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	10	3209875
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	11	3212750
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	12	3217333
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	13	3209334
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	14	3212500
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	15	3204250
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	16	3209666
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	17	3211708
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	18	3203417
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	19	3210334
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	20	3205625
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	21	3203292
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	22	3202583
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	23	3210666
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	24	3209792
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	25	3202416
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	26	3203167
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	27	3208375
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	28	3199042
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	29	3203166
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	30	3204292
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	31	3199250
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	32	3218000
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	33	3208208
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	34	3203167
0	0:governed-only:targets=1:providers=0:kind=empty:program=five-op	35	3207250
