position	variant	bit_identical_logits	max_abs_deviation	max_ulp_deviation	max_rel_deviation	top32_max_abs_deviation	top32_max_ulp_deviation	greedy_token_agrees
0	f64_promoted	507	0.00020074844360351562	35617132	0.9479876260490698	5.340576171875e-05	55	true
1	f64_promoted	826	5.6743621826171875e-05	1851650045	1.4581505159225818	3.0517578125e-05	16	true
2	f64_promoted	1205	5.91278076171875e-05	2657876	0.23326540304919224	1.811981201171875e-05	19	true
3	f64_promoted	907	7.009506225585938e-05	7595365	0.46099748011751257	4.482269287109375e-05	47	true
4	f64_promoted	780	7.05718994140625e-05	2805763	0.2029059384882192	4.1961669921875e-05	44	true
5	f64_promoted	514	0.00010311603546142578	15427612	0.7259588842561228	6.580352783203125e-05	69	true
6	f64_promoted	767	9.179115295410156e-05	14641837	0.709796720853202	7.43865966796875e-05	78	true
7	f64_promoted	1208	7.05718994140625e-05	3302786	0.2498486622485646	3.814697265625e-05	32	true
8	f64_promoted	1299	3.62396240234375e-05	1843711758	1.9928897476204759	3.62396240234375e-05	38	true
9	f64_promoted	1369	4.076957702636719e-05	6056619	0.40974825604710824	2.288818359375e-05	24	true
10	f64_promoted	3723	2.1696090698242188e-05	2098682	0.1539411156062436	1.52587890625e-05	8	true
11	f64_promoted	2185	2.1457672119140625e-05	3087291	0.23308452439724037	1.239776611328125e-05	13	true
12	f64_promoted	1927	2.6226043701171875e-05	808549	0.0524425231051866	1.33514404296875e-05	12	true
13	f64_promoted	2089	2.5928020477294922e-05	1385437	0.11109713673190236	1.33514404296875e-05	7	true
14	f64_promoted	2167	2.8878450393676758e-05	2325194	0.14415247990534855	9.5367431640625e-06	5	true
15	f64_promoted	1875	3.421306610107422e-05	11007503	0.5863590453193976	1.52587890625e-05	14	true
16	f64_promoted	3364	2.4318695068359375e-05	944743	0.08964136466513961	7.62939453125e-06	4	true
17	f64_promoted	3132	2.47955322265625e-05	987162	0.09393516916318488	1.1444091796875e-05	7	true
0	f64_unmodified	549	0.0002048015594482422	36465742	0.952244003848831	7.82012939453125e-05	58	true
1	f64_unmodified	954	5.6743621826171875e-05	1851522593	1.4542517299386826	2.86102294921875e-05	15	true
2	f64_unmodified	1296	5.5789947509765625e-05	2215134	0.2003064377759076	1.9073486328125e-05	20	true
3	f64_unmodified	994	6.914138793945312e-05	4960271	0.3482344782329076	4.38690185546875e-05	46	true
4	f64_unmodified	772	7.2479248046875e-05	3103055	0.21740758503172658	4.38690185546875e-05	46	true
5	f64_unmodified	483	0.000102996826171875	17774025	0.7713952174393831	6.580352783203125e-05	69	true
6	f64_unmodified	671	9.775161743164062e-05	13319074	0.6776894771557479	7.43865966796875e-05	78	true
7	f64_unmodified	1236	6.961822509765625e-05	3387288	0.273454497752537	3.4332275390625e-05	31	true
8	f64_unmodified	1297	3.62396240234375e-05	1837251397	1.5990404898791728	3.528594970703125e-05	37	true
9	f64_unmodified	1353	4.1961669921875e-05	4792114	0.34570829385049245	2.384185791015625e-05	25	true
10	f64_unmodified	3863	2.1457672119140625e-05	993249	0.07928495396359314	1.71661376953125e-05	9	true
11	f64_unmodified	2895	2.0503997802734375e-05	2643713	0.20651115043025614	1.430511474609375e-05	15	true
12	f64_unmodified	2338	2.47955322265625e-05	567482	0.05559607149127207	1.33514404296875e-05	11	true
13	f64_unmodified	2522	2.396106719970703e-05	1222742	0.09781159767160878	1.1444091796875e-05	6	true
14	f64_unmodified	2237	3.1948089599609375e-05	2840467	0.17439264150766226	9.5367431640625e-06	9	true
15	f64_unmodified	1972	3.361701965332031e-05	10805470	0.5806289729575685	1.430511474609375e-05	15	true
16	f64_unmodified	3535	2.193450927734375e-05	821489	0.07370969762352748	9.5367431640625e-06	5	true
17	f64_unmodified	3278	2.384185791015625e-05	977769	0.09300036587376444	1.1444091796875e-05	9	true
