layer	tensor	position	stage	sha256	l2_norm	max_abs_head	max_abs_lane	max_abs_hex	max_abs
0	k_rope	0	prefill	e2e3e9764b50b86572b975647c7ca21e16e4d21c750fd2245915ccb04891b86a	531.1377777778104	4	50	0x436540ec	229.25360107421875
0	k_rope	1	prefill	d56a91376e4446fac89936b2084773dff6c7d3cd525ba51fce817dd57561f67a	718.9689795870187	6	50	0x43ac309a	344.37969970703125
0	k_rope	2	prefill	04a2aa69c5db53b615ddb7fdf3900249bed2cbe1b0b452cc2aad993a16c9dd62	744.6096866150837	2	50	0xc3b1f022	-355.87603759765625
0	k_rope	3	prefill	c57b3d7cf1421f242d3ae4dffe3aba7381738fd97697afc109a821669d3b5c62	663.3872446108469	2	50	0xc3b2b461	-357.4092102050781
0	k_rope	4	prefill	909b9d9ee06ca6eefa86899816d9d39c059bde291895dbe3e58fbce52aa72170	684.7117495427078	6	50	0x43aac183	341.5118103027344
0	k_rope	5	prefill	b34fd49fc06c1226831ea440e594b4111d0f7ac2b4065edb87005e05f6d87df3	760.4010834740219	6	50	0x43b3350d	358.4144592285156
0	k_rope	6	prefill	6ce725b6878e81c163667c903aa5a2f30eca92909515e8c2808c7ecb222af37f	676.6522540308817	3	50	0xc3ac25bd	-344.2948303222656
0	k_rope	7	prefill	dcdee149abda92ce079fe9ecaafc5bac8afe2fd71c74c06b19741b884ee51431	809.0289002413267	0	50	0xc3b82c47	-368.3459167480469
0	k_rope	8	prefill	9ca772e3edd33350503eae64f7bf172f973b7386221fe0f9d51c439f5e3c2bfd	764.7763056210126	2	50	0xc3c6db94	-397.7154541015625
0	k_rope	9	prefill	418044159c5c863e2bdb34865ff144bdfd42f51ad3b5e143a8b4adcb511ce067	554.7620359300099	3	50	0xc383d788	-263.683837890625
0	k_rope	10	decode	40b5e0330231d298f45d5d524c897e39a2e00819b01a4e36488146e6b0881b3f	548.4319640618355	4	50	0x4370b3cf	240.70237731933594
0	k_rope	11	decode	e17ae164c1898a7cd0fcdc744e7b2b1b33d72cb1f59e37c88db98211c9bdc937	718.9687706131909	6	50	0x43ac3095	344.3795471191406
0	k_rope	12	decode	892ab277dbd98e8c08c86d233b33b94f360f80499f61188cc07fc3c73d38c82c	744.6093548681026	2	50	0xc3b1f017	-355.8757019042969
0	k_rope	13	decode	861b0dcebf370857e6bcda3bc02839c7cffab6105113e9bc441a52d4fc6ada8f	663.3872851140221	2	50	0xc3b2b46d	-357.4095764160156
0	k_rope	14	decode	59db4cee7da769110bc85041dfba11061f4336e82b99c347684cdcbbcbcf7983	684.7117782229146	6	50	0x43aac189	341.5119934082031
0	k_rope	15	decode	23e22ed089590e08511934e00596daab47c7b3c11550376ed54615c1a91d7c3f	760.4009995081241	6	50	0x43b33504	358.4141845703125
0	k_rope	16	decode	eea32bf25fbf9a4866c6b0284c5dddc4dc28191a28fbe1bc12460407c09c51af	676.6522388536004	3	50	0xc3ac25b0	-344.29443359375
