layer	tensor	position	rank	head	lane	value_hex	value
0	k_rope	0	0	4	50	0x436540ec	229.25360107421875
0	k_rope	0	1	2	50	0xc35168d6	-209.40951538085938
0	k_rope	0	2	5	50	0x4349941b	201.5785369873047
0	k_rope	0	3	6	50	0x4348e1ac	200.88153076171875
0	k_rope	1	0	6	50	0x43ac309a	344.37969970703125
0	k_rope	1	1	7	50	0x43a5995c	331.1981201171875
0	k_rope	1	2	2	50	0xc39add8c	-309.7308349609375
0	k_rope	1	3	0	50	0xc384d6d3	-265.6783142089844
0	k_rope	2	0	2	50	0xc3b1f022	-355.87603759765625
0	k_rope	2	1	6	50	0x439fe864	319.8155517578125
0	k_rope	2	2	7	50	0x438d1ccd	282.2250061035156
0	k_rope	2	3	3	50	0xc38459b1	-264.7007141113281
0	k_rope	3	0	2	50	0xc3b2b461	-357.4092102050781
0	k_rope	3	1	6	50	0x438763b0	270.77880859375
0	k_rope	3	2	0	50	0xc3600302	-224.01174926757812
0	k_rope	3	3	3	50	0xc35ff9f9	-223.97645568847656
0	k_rope	4	0	6	50	0x43aac183	341.5118103027344
0	k_rope	4	1	2	50	0xc3a34db2	-326.60699462890625
0	k_rope	4	2	0	50	0xc384eee2	-265.86627197265625
0	k_rope	4	3	3	50	0xc34b7333	-203.4499969482422
0	k_rope	5	0	6	50	0x43b3350d	358.4144592285156
0	k_rope	5	1	2	50	0xc3af0657	-350.0495300292969
0	k_rope	5	2	7	50	0x439776cf	302.9281921386719
0	k_rope	5	3	4	50	0x4387eaa7	271.8332214355469
0	k_rope	6	0	3	50	0xc3ac25bd	-344.2948303222656
0	k_rope	6	1	6	50	0x438acd3f	277.6034851074219
0	k_rope	6	2	4	50	0x437380a4	243.50250244140625
0	k_rope	6	3	2	50	0xc36ed104	-238.81646728515625
0	k_rope	7	0	0	50	0xc3b82c47	-368.3459167480469
0	k_rope	7	1	2	50	0xc3b0a883	-353.3164978027344
0	k_rope	7	2	7	50	0x43ae998f	349.1996765136719
0	k_rope	7	3	6	50	0x43a355f0	326.67138671875
0	k_rope	8	0	2	50	0xc3c6db94	-397.7154541015625
0	k_rope	8	1	6	50	0x439c0b09	312.0862121582031
0	k_rope	8	2	3	50	0xc397d87c	-303.6912841796875
0	k_rope	8	3	0	50	0xc37238b0	-242.221435546875
0	k_rope	9	0	3	50	0xc383d788	-263.683837890625
0	k_rope	9	1	2	50	0xc37ce8b7	-252.90904235839844
0	k_rope	9	2	6	50	0x435bdccc	219.86248779296875
0	k_rope	9	3	5	50	0x43468856	198.53256225585938
0	k_rope	10	0	4	50	0x4370b3cf	240.70237731933594
0	k_rope	10	1	6	50	0x436bc06e	235.75167846679688
0	k_rope	10	2	2	50	0xc35ae60c	-218.89862060546875
0	k_rope	10	3	5	50	0x434d2001	205.12501525878906
0	k_rope	11	0	6	50	0x43ac3095	344.3795471191406
0	k_rope	11	1	7	50	0x43a59968	331.198486328125
0	k_rope	11	2	2	50	0xc39add91	-309.7309875488281
0	k_rope	11	3	0	50	0xc384d6d1	-265.6782531738281
0	k_rope	12	0	2	50	0xc3b1f017	-355.8757019042969
0	k_rope	12	1	6	50	0x439fe861	319.8154602050781
0	k_rope	12	2	7	50	0x438d1cd6	282.22528076171875
0	k_rope	12	3	3	50	0xc38459ad	-264.7005920410156
0	k_rope	13	0	2	50	0xc3b2b46d	-357.4095764160156
0	k_rope	13	1	6	50	0x438763ba	270.77911376953125
0	k_rope	13	2	0	50	0xc360031b	-224.0121307373047
0	k_rope	13	3	3	50	0xc35ff9da	-223.97598266601562
0	k_rope	14	0	6	50	0x43aac189	341.5119934082031
0	k_rope	14	1	2	50	0xc3a34db4	-326.6070556640625
0	k_rope	14	2	0	50	0xc384eeed	-265.8666076660156
0	k_rope	14	3	3	50	0xc34b7317	-203.44956970214844
0	k_rope	15	0	6	50	0x43b33504	358.4141845703125
0	k_rope	15	1	2	50	0xc3af0659	-350.0495910644531
0	k_rope	15	2	7	50	0x439776d0	302.92822265625
0	k_rope	15	3	4	50	0x4387eaad	271.8334045410156
0	k_rope	16	0	3	50	0xc3ac25b0	-344.29443359375
0	k_rope	16	1	6	50	0x438acd24	277.6026611328125
0	k_rope	16	2	4	50	0x437380a8	243.5025634765625
0	k_rope	16	3	2	50	0xc36ed0cd	-238.8156280517578
0	k_rope	17	0	0	50	0xc3b82c47	-368.3459167480469
0	k_rope	17	1	2	50	0xc3b0a878	-353.316162109375
0	k_rope	17	2	7	50	0x43ae999f	349.2001647949219
0	k_rope	17	3	6	50	0x43a355ec	326.6712646484375
0	v_heads	0	0	3	16	0xbf8b688e	-1.0891282558441162
0	v_heads	0	1	1	75	0xbf6ce886	-0.9254230260848999
0	v_heads	0	2	6	30	0xbf5e5fdb	-0.8686501383781433
0	v_heads	0	3	6	22	0xbf48d1cf	-0.784451425075531
0	v_heads	1	0	2	126	0x3f21beb8	0.6318163871765137
0	v_heads	1	1	7	109	0x3f1cb162	0.6120816469192505
0	v_heads	1	2	6	93	0xbf0c3391	-0.5476618409156799
0	v_heads	1	3	0	23	0x3f0435b4	0.5164444446563721
0	v_heads	2	0	6	93	0xbf3d0312	-0.7383280992507935
0	v_heads	2	1	2	126	0x3f3cd266	0.7375854253768921
0	v_heads	2	2	0	97	0x3f12d9a7	0.57363361120224
0	v_heads	2	3	4	40	0x3f0fdf4e	0.56200110912323
0	v_heads	3	0	6	93	0xbf2bc5f1	-0.6709890961647034
0	v_heads	3	1	0	76	0x3f1579f3	0.5838920474052429
0	v_heads	3	2	1	73	0xbf13dcf0	-0.5775899887084961
0	v_heads	3	3	6	54	0xbf117fe0	-0.5683574676513672
0	v_heads	4	0	1	105	0xbf1c875a	-0.6114403009414673
0	v_heads	4	1	3	42	0xbf153ac0	-0.5829277038574219
0	v_heads	4	2	6	93	0xbf0856e1	-0.5325756669044495
0	v_heads	4	3	0	42	0x3f03e1f5	0.5151665806770325
0	v_heads	5	0	1	98	0x3f22c39c	0.6357972621917725
0	v_heads	5	1	2	63	0x3f113af2	0.5673056840896606
0	v_heads	5	2	2	49	0x3f04a59a	0.5181518793106079
0	v_heads	5	3	6	93	0xbf01d3ed	-0.5071399807929993
