layer	position	rank	lane	value_hex	value
0	0	0	35	0x40e6f758	7.217693328857422
0	0	1	277	0x40487c44	3.132584571838379
0	0	2	7	0xc042b54b	-3.0423152446746826
0	0	3	285	0xbfbb5190	-1.4634265899658203
0	1	0	277	0x4030da22	2.7633137702941895
0	1	1	157	0xbfc2f96b	-1.523236632347107
0	1	2	181	0x3fbd4684	1.4787144660949707
0	1	3	305	0x3fbba22f	1.4658869504928589
0	2	0	265	0x401466c4	2.318772315979004
0	2	1	277	0x4008db16	2.1383719444274902
0	2	2	186	0xbfe2c04e	-1.771493673324585
0	2	3	193	0xbfd53e95	-1.665972352027893
0	3	0	277	0x40086e74	2.131741523742676
0	3	1	164	0xbfcd57b0	-1.604238510131836
0	3	2	132	0xbfccaa50	-1.598947525024414
0	3	3	127	0xbfc6378c	-1.548570156097412
0	4	0	277	0x401ed158	2.481527328491211
0	4	1	35	0x400ac748	2.1684131622314453
0	4	2	122	0xbff596b5	-1.9186617136001587
0	4	3	236	0xbff1f95c	-1.8904223442077637
0	5	0	277	0x40227922	2.5386433601379395
0	5	1	35	0x401b195f	2.4234235286712646
0	5	2	0	0xbfbdd3b8	-1.4830236434936523
0	5	3	207	0xbf99ca5a	-1.2014877796173096
0	6	0	35	0x40a479ce	5.13986873626709
0	6	1	277	0x40507df3	3.2576873302459717
0	6	2	7	0xc01c7c7d	-2.4450981616973877
0	6	3	9	0xbfe83c52	-1.8143408298492432
0	7	0	277	0x40171501	2.360656976699829
0	7	1	161	0x400500f6	2.078183650970459
0	7	2	153	0x3fbe59f8	1.4871206283569336
0	7	3	241	0x3fac1af2	1.3445723056793213
0	8	0	277	0x401b9fdf	2.4316327571868896
0	8	1	35	0x3ff9a410	1.9503192901611328
0	8	2	148	0x3fe9e4a5	1.8272901773452759
0	8	3	146	0x3fe295e1	1.770198941230774
0	9	0	35	0x40a69a24	5.206315994262695
0	9	1	16	0xc0079d8c	-2.118990898132324
0	9	2	277	0x3febb654	1.8415017127990723
0	9	3	96	0x3fdb0029	1.7109423875808716
0	10	0	35	0x409cc79c	4.89936637878418
0	10	1	277	0x403d95c2	2.9622654914855957
0	10	2	7	0xc024fb4d	-2.577838182449341
0	10	3	96	0x3fab00ca	1.3359615802764893
0	11	0	277	0x40305cf0	2.7556724548339844
0	11	1	157	0xbfc2cce4	-1.5218777656555176
0	11	2	181	0x3fbe11b4	1.4849152565002441
0	11	3	305	0x3fbb1932	1.4617063999176025
0	12	0	265	0x401604b4	2.3440370559692383
0	12	1	277	0x400622b4	2.0958681106567383
0	12	2	186	0xbfe1415c	-1.7598071098327637
0	12	3	193	0xbfd86a63	-1.6907466650009155
0	13	0	277	0x400c26a6	2.189858913421631
0	13	1	132	0xbfd153a6	-1.6353652477264404
0	13	2	127	0xbfc8483c	-1.564704418182373
0	13	3	164	0xbfc6efc7	-1.5541924238204956
0	14	0	277	0x4022c79e	2.543433666229248
0	14	1	35	0x400945a0	2.1448745727539062
0	14	2	122	0xbff2be91	-1.8964406251907349
0	14	3	236	0xbfedfb64	-1.85923433303833
0	15	0	277	0x40226267	2.5372560024261475
0	15	1	35	0x40150d44	2.328934669494629
0	15	2	0	0xbfc2564e	-1.518258810043335
0	15	3	207	0xbf963b92	-1.1736929416656494
0	16	0	35	0x40911c2e	4.534689903259277
0	16	1	277	0x4048fca2	3.1404194831848145
0	16	2	7	0xc0153e38	-2.3319225311279297
0	16	3	9	0xbfe22f0b	-1.76706063747406
0	17	0	277	0x4018999c	2.38437557220459
