position	variant	bit_identical_logits	max_abs_deviation	max_ulp_deviation	max_rel_deviation	top32_max_abs_deviation	top32_max_ulp_deviation	greedy_token	greedy_token_agrees	runner_up_gap	deviation_over_gap
0	joint_promoted_alternating	520	0.00020432472229003906	36672911	0.953179382080351	9.72747802734375e-05	71	2701	true	3.211550712585449	6.362182651805241e-05
1	joint_promoted_alternating	903	5.5789947509765625e-05	1849752155	1.4000936244576965	3.0517578125e-05	16	323	true	0.38796043395996094	0.00014380318874352885
2	joint_promoted_alternating	946	6.246566772460938e-05	2806756	0.2437464111151082	2.193450927734375e-05	23	38835	true	5.278984069824219	1.183289566673941e-05
3	joint_promoted_alternating	953	7.343292236328125e-05	9730873	0.5545430733285585	4.1961669921875e-05	44	34208	true	1.9957695007324219	3.6794290290703565e-05
4	joint_promoted_alternating	870	7.05718994140625e-05	2614930	0.22139784202089458	4.100799560546875e-05	43	916	true	5.430543899536133	1.2995364869454535e-05
5	joint_promoted_alternating	397	0.00010859966278076172	19769616	0.8074645204595079	6.67572021484375e-05	70	279	true	4.211824417114258	2.5784470582268254e-05
6	joint_promoted_alternating	689	0.00010144710540771484	15312817	0.7237555697765752	7.343292236328125e-05	77	15678	true	7.8504180908203125	1.2922509888529306e-05
7	joint_promoted_alternating	1018	7.05718994140625e-05	3956951	0.2891869760365245	4.76837158203125e-05	25	5562	true	5.706926345825195	1.2366008449660152e-05
8	joint_promoted_alternating	1225	3.8623809814453125e-05	1821970196	1.173387078433632	3.4332275390625e-05	36	13	true	1.3519573211669922	2.85688085043347e-05
9	joint_promoted_alternating	1331	4.2438507080078125e-05	7019306	0.4506808219308338	2.193450927734375e-05	23	576	true	0.3050212860107422	0.00013913293604887473
10	joint_promoted_alternating	2918	2.7000904083251953e-05	4072228	0.2609304648992565	1.9073486328125e-05	10	3974	true	0.2660789489746094	0.00010147703975570242
11	joint_promoted_alternating	2213	2.6702880859375e-05	3126753	0.2688983914586146	1.71661376953125e-05	18	13876	true	3.142240524291992	8.498038470620157e-06
12	joint_promoted_alternating	1945	3.266334533691406e-05	679862	0.06660591235704254	1.71661376953125e-05	14	38835	true	4.567880630493164	7.150656503339409e-06
13	joint_promoted_alternating	2364	2.6702880859375e-05	1492461	0.13630256006920022	9.5367431640625e-06	5	34208	true	2.2036914825439453	1.2117340866857255e-05
14	joint_promoted_alternating	2124	2.8192996978759766e-05	1429949	0.09636805014118341	9.5367431640625e-06	10	916	true	5.165983200073242	5.457431022687037e-06
15	joint_promoted_alternating	1740	3.528594970703125e-05	6845406	0.41246322007870584	1.621246337890625e-05	17	279	true	3.8442554473876953	9.178877467939669e-06
16	joint_promoted_alternating	3160	2.288818359375e-05	906977	0.0812943347392638	9.5367431640625e-06	5	15678	true	3.4881458282470703	6.561704905913354e-06
17	joint_promoted_alternating	2709	2.6702880859375e-05	1831570	0.15111063515853262	1.9073486328125e-05	12	5562	true	3.9037609100341797	6.840296184824803e-06
0	joint_promoted_outward	505	0.00019931793212890625	35603405	0.9479125307058116	5.7220458984375e-05	52	2701	true	3.211550712585449	6.206283193592978e-05
1	joint_promoted_outward	986	5.817413330078125e-05	1845224169	1.261581491638344	2.86102294921875e-05	15	323	true	0.38796043395996094	0.000149948624159919
2	joint_promoted_outward	1177	5.7697296142578125e-05	1680622	0.11266006052700836	2.6702880859375e-05	26	38835	true	5.278984069824219	1.0929621188362355e-05
3	joint_promoted_outward	881	7.104873657226562e-05	12037649	0.6248695796551859	4.863739013671875e-05	51	34208	true	1.9957695007324219	3.559967047607033e-05
4	joint_promoted_outward	687	7.62939453125e-05	3379718	0.22351193452733295	3.910064697265625e-05	41	916	true	5.430543899536133	1.4049043102113012e-05
5	joint_promoted_outward	470	0.00011730194091796875	18115467	0.7787238288714005	7.43865966796875e-05	78	279	true	4.211824417114258	2.785062464648953e-05
6	joint_promoted_outward	747	9.822845458984375e-05	15499060	0.7273951496407011	8.296966552734375e-05	87	15678	true	7.8504180908203125	1.2512512512512513e-05
7	joint_promoted_outward	1229	6.67572021484375e-05	3597109	0.23342288618360732	3.814697265625e-05	29	5562	true	5.706926345825195	1.1697575560489333e-05
8	joint_promoted_outward	1038	4.2438507080078125e-05	1842561470	1.9344939737968314	3.337860107421875e-05	35	13	true	1.3519573211669922	3.13904192208122e-05
