group_index	size	lowest_id	row_l2_norm	member_ids
0	505	123806	0.34965460737250526	123806,124027,124031,124055,124060,124076,124083,124084,124105,124121,124129,124132,124139,124294,124604,124608...
1	365	77150	0.3496551735091422	77150,83971,119346,119347,119348,119349,123848,123870,123876,123952,124658,124731,124737,124742,124963,124986...
2	291	151555	0.34965731912511044	151555,151556,151618,151638,151644,151645,151646,151647,151648,151649,151650,151651,151652,151653,151654,151655...
3	214	177	0.349655140333494	177,178,182,185,186,187,124033,124767,124891,124918,124926,124939,125279,125292,125294,125297...
4	198	123821	0.3496551731049934	123821,123828,123939,124254,124258,124311,124403,124418,124439,124440,124769,124779,124783,125073,125079,125082...
5	162	124	0.34965517337811086	124,125,179,180,181,183,123948,124361,124845,124859,124942,124946,125087,125104,125112,125125...
6	126	124030	0.3496544765250181	124030,124171,124175,124178,124212,124238,124559,124568,124573,124602,124652,124673,124707,125690,125710,125734...
7	108	124630	0.3496557688111255	124630,125454,125459,125460,125499,125869,125891,125892,125914,125918,126243,126248,126250,126261,126268,126275...
8	81	124458	0.3496551404645254	124458,124479,124482,124484,124496,124497,124500,124501,124502,124512,124524,124530,125219,125226,125392,125393...
9	36	124884	0.3496544765255807	124884,124903,126125,126140,127655,127665,127679,127686,127695,129351,129593,129603,129604,129605,129621,129683...
10	31	80091	0.34965514048990154	80091,124316,124377,124380,124383,125687,125707,125736,126874,127740,127741,127747,131365,131369,131379,131388...
11	25	124350	0.3496551403588702	124350,125740,125893,125919,127886,127928,127932,127933,127939,129397,129734,129774,129775,130416,133900,133925...
12	14	126233	0.34965504252973684	126233,126240,128964,133117,135319,135366,135367,135947,135948,136258,141017,141037,141044,141065
13	9	133585	0.349655173403487	133585,133586,133587,136678,136685,141877,141882,141887,141889
14	9	134698	0.3496551811996755	134698,134702,135449,137165,137166,137167,137272,137285,137672
15	8	124540	0.3496546075035369	124540,131041,131058,132434,132463,135097,146444,146465
16	7	130080	0.3496544766566123	130080,130082,130091,134643,143028,143029,143045
17	7	139332	0.3496544766560497	139332,139334,139345,139357,143871,143893,143903
18	6	151554	0.3496573191245529	151554,151738,151739,151740,151741,151742
19	5	139553	0.34965507182875055	139553,139556,139557,139561,139569
20	4	126152	0.3496557686800943	126152,126156,126171,133790
21	3	131557	0.34965517353451836	131557,131576,131612
22	2	184	0.3496545743278349	184,128477
23	2	129214	0.34965518160382436	129214,129243
24	2	131430	0.34965468728009863	131430,131436
25	2	132379	0.34965577650164564	132379,132383
26	2	137222	0.34965576840697726	137222,142753
27	2	147711	0.34965412140473795	147711,147712
