key	value
host.os_product	macOS
host.os_version	27.0
host.os_build	26A5388g
host.cpu	Apple M4 Max
host.machine	arm64
host.memory_bytes	38654705664
workload.repo_id	Qwen/Qwen3-0.6B-Base
workload.revision	da87bfb608c14b7cf20ba1ce41287e8de496c0cd
checkpoint.sha256.config.json	504a6b58c4271583724e66584b6b7698aea18450209df6b2f7582df0e89cee59
checkpoint.sha256.model.safetensors	cd2a512003e2f9f3cd3c32a9c3573f820bb28c940f73c57b1ddaa983d9223eba
checkpoint.sha256.tokenizer.json	c0382117ea329cdf097041132f6d735924b697924d6f6fc3945713e96ce87539
checkpoint.sha256.vocab.json	ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910
widening.patterns_examined	65536
widening.subnormal_to_subnormal	254
widening.subnormal_to_normal	0
widening.class_preserved	65536
checkpoint.tensors_examined	310
checkpoint.elements_examined	596049920
checkpoint.stored_normal	596049699
checkpoint.stored_zero	221
checkpoint.stored_subnormal	0
checkpoint.stored_infinite	0
checkpoint.stored_nan	0
checkpoint.tensors_with_an_exceptional_value	0
embedding.rows_examined	151936
embedding.distinct_bit_patterns	149738
embedding.duplicate_groups	28
embedding.rows_in_a_duplicate_group	2226
embedding.largest_duplicate_group	505
reference.sha256.models/qwen3/modeling_qwen3.py	704c914530530a1acb0b443add1f520404e3ac2c28c0ab7e16f80f86cfe8ccb2
reference.sha256.models/qwen3/configuration_qwen3.py	87f0d17326c44f2dfe1bfc329faf9201ab4b19a89ad555da085b4cc81461b201
reference.sha256.modeling_rope_utils.py	c28b3e88edca8fdb5497e5c36091bf753db49bd94ace33a84e9f9c61cbf66032
python.version	3.11.12
torch.version	2.6.0
transformers.version	4.51.0
numpy.version	2.2.5
torch.num_threads	1
probe.tie_detector_positive_control	passed
probe.prompts_evaluated	19
probe.positions_evaluated	330
probe.control_positions	10
probe.tie_positions	0
probe.best_duplicate_rank_min	86718
probe.best_duplicate_rank_max	138057
probe.best_duplicate_gap_min	17.452436685562134
probe.best_duplicate_gap_max	27.277602195739746
