prompt	fed_token	partner_token	prompt_length	position	greedy	attaining_count	top1	top2	top1_bits	top2_bits	top_two_bit_identical	gap	greedy_in_duplicate_group	greedy_group_all_bit_identical	best_duplicate_member	best_duplicate_logit	best_duplicate_rank	best_duplicate_gap
c1-control			10	0	2701	1	2701	220	0x4187c758	0x415c2c2d	false	3.211550712585449	false		126233	-2.825345277786255	90034	19.797681093215942
c1-control			10	1	323	1	323	6019	0x4195842f	0x419269a4	false	0.38796043395996094	false		151554	1.2371060848236084	91651	17.452436685562134
c1-control			10	2	38835	1	38835	3745	0x41b882e3	0x418e4787	false	5.278984069824219	false		147711	-2.0125906467437744	88654	25.076500177383423
c1-control			10	3	34208	1	34208	26005	0x41b695e6	0x41a69e90	false	1.9957695007324219	false		147711	-1.8101063966751099	97898	24.633298993110657
c1-control			10	4	916	1	916	198	0x41b29ab0	0x418728ef	false	5.430543899536133	false		124884	-1.859102725982666	90526	24.18463373184204
c1-control			10	5	279	1	279	264	0x41ad6055	0x418bae84	false	4.211824417114258	false		130080	-3.136064052581787	105304	24.808101177215576
c1-control			10	6	15678	1	15678	44263	0x41c8aacc	0x4189dd24	false	7.8504180908203125	false		151555	-2.1942052841186523	86718	27.277602195739746
c1-control			10	7	5562	1	5562	12590	0x41c0771a	0x4192cf51	false	5.706926345825195	false		151554	-2.944188117980957	89105	27.00234317779541
c1-control			10	8	13	1	13	624	0x41979b77	0x418ccaa8	false	1.3519573211669922	false		130080	-1.7208346128463745	112808	20.67174518108368
c1-control			10	9	576	1	576	220	0x418c5593	0x4189e4e4	false	0.3050212860107422	false		151554	-1.1539303064346313	105074	18.695714592933655
dup-184-x8	184	128477	8	0	53264	1	53264	94254	0x41449320	0x4131ca11	false	1.174086570739746	false		132379	-5.977882385253906	138056	18.26380157470703
dup-184-x8	184	128477	8	1	53264	1	53264	94254	0x4144931b	0x4131ca10	false	1.1740827560424805	false		132379	-5.977871417999268	138056	18.26378583908081
dup-184-x8	184	128477	8	2	53264	1	53264	94254	0x41449326	0x4131ca0c	false	1.1740970611572266	false		132379	-5.977869987487793	138056	18.263794898986816
dup-184-x8	184	128477	8	3	53264	1	53264	94254	0x41449319	0x4131ca0c	false	1.1740846633911133	false		132379	-5.977872848510742	138056	18.263785362243652
dup-184-x8	184	128477	8	4	53264	1	53264	94254	0x41449328	0x4131ca0d	false	1.174098014831543	false		132379	-5.977878570556641	138056	18.263805389404297
dup-184-x8	184	128477	8	5	53264	1	53264	94254	0x41449327	0x4131ca0c	false	1.174098014831543	false		132379	-5.977867603302002	138056	18.263793468475342
dup-184-x8	184	128477	8	6	53264	1	53264	94254	0x41449322	0x4131ca05	false	1.1740999221801758	false		132379	-5.9778642654418945	138056	18.263785362243652
dup-184-x8	184	128477	8	7	53264	1	53264	94254	0x41449312	0x4131ca0a	false	1.1740798950195312	false		132379	-5.977867126464844	138056	18.26377296447754
dup-184-x16	184	128477	16	0	53264	1	53264	94254	0x41449320	0x4131ca11	false	1.174086570739746	false		132379	-5.977882385253906	138056	18.26380157470703
dup-184-x16	184	128477	16	1	53264	1	53264	94254	0x41449323	0x4131ca0d	false	1.174093246459961	false		132379	-5.977870941162109	138056	18.263792991638184
dup-184-x16	184	128477	16	2	53264	1	53264	94254	0x41449319	0x4131ca0a	false	1.174086570739746	false		132379	-5.977879047393799	138056	18.26379156112671
