# fitted on 34 of 60 fit-set cells, the ones whose measured serial-or-parallel verdict is separated from the noise
## Fitted parameters
encoder_seconds	1.166147237e-6	1.1661 us per dispatch
parallel_threads	1.056001e3	fold steps retired at once when saturated
step_seconds	2.908885244e-8	29.0889 ns per critical-path fold step

## Decision accuracy: the three-way choice
set	cells	exact	median_regret	p90_regret	worst_regret
fit	60	45	1.0000	1.0899	4.2724
held-out	32	29	1.0000	1.0000	1.8144

## The same, on the cells whose winner is separated from its runner-up
set	cells	exact	median_regret	p90_regret	worst_regret
fit	16	15	1.0000	1.0000	1.0361
held-out	9	9	1.0000	1.0000	1.0000

## Decision accuracy: the serial fold against a parallel strategy
set	cells	agreed	worst_regret_when_wrong
fit	60	46	4.2724
held-out	32	30	1.8144

## The same, on the cells whose serial-or-parallel verdict is separated
set	cells	agreed	worst_regret_when_wrong
fit	34	32	1.0361
held-out	26	24	1.8144

## Magnitude accuracy, |predicted/measured - 1| against the median sample
set	rows	median	p90	max
fit	180	0.1726	0.7560	10.5164
held-out	96	0.1594	0.5802	1.5833

## Every cell
set	rows	contributors	measured	predicted	measured_us	margin	regret	parallel_speedup	separated	parallel_separated	min_sample_winner
fit	1	4	single-workgroup-tree	serial-fold	4.239	1.009	1.009	1.009	no	no	single-workgroup-tree
fit	1	16	serial-fold	single-workgroup-tree	1.736	1.054	1.054	0.948	no	no	serial-fold
fit	1	64	single-workgroup-tree	single-workgroup-tree	1.847	1.469	1.000	1.469	no	no	single-workgroup-tree
fit	1	256	single-workgroup-tree	single-workgroup-tree	2.492	1.448	1.000	2.006	no	no	single-workgroup-tree
fit	1	1024	single-workgroup-tree	single-workgroup-tree	6.597	1.323	1.000	2.733	no	yes	single-workgroup-tree
fit	1	4096	single-workgroup-tree	single-workgroup-tree	5.006	1.302	1.000	8.361	no	yes	single-workgroup-tree
fit	1	16384	single-workgroup-tree	single-workgroup-tree	23.030	1.043	1.000	19.538	no	yes	single-workgroup-tree
fit	4	4	serial-fold	serial-fold	3.900	1.137	1.000	0.879	no	no	single-workgroup-tree
fit	4	16	serial-fold	single-workgroup-tree	1.689	1.035	1.035	0.967	no	no	single-workgroup-tree
fit	4	64	serial-fold	single-workgroup-tree	0.367	4.272	4.272	0.234	no	no	serial-fold
fit	4	256	single-workgroup-tree	single-workgroup-tree	2.933	1.317	1.000	1.898	no	yes	single-workgroup-tree
fit	4	1024	single-workgroup-tree	single-workgroup-tree	5.986	1.281	1.000	2.864	no	yes	single-workgroup-tree
fit	4	4096	single-workgroup-tree	single-workgroup-tree	3.300	1.487	1.000	13.650	no	yes	multi-pass-split
fit	4	16384	single-workgroup-tree	single-workgroup-tree	22.564	1.172	1.000	21.496	no	yes	single-workgroup-tree
fit	16	4	single-workgroup-tree	serial-fold	1.992	1.038	1.038	1.038	no	no	single-workgroup-tree
fit	16	16	serial-fold	single-workgroup-tree	1.714	1.298	1.298	0.770	no	no	serial-fold
fit	16	64	single-workgroup-tree	single-workgroup-tree	2.814	1.033	1.000	1.033	no	no	single-workgroup-tree
fit	16	256	single-workgroup-tree	single-workgroup-tree	2.772	1.375	1.000	2.032	no	yes	single-workgroup-tree
fit	16	1024	single-workgroup-tree	single-workgroup-tree	7.711	1.307	1.000	2.763	no	yes	single-workgroup-tree
fit	16	4096	single-workgroup-tree	single-workgroup-tree	9.069	1.018	1.000	6.020	no	yes	single-workgroup-tree
fit	16	16384	single-workgroup-tree	single-workgroup-tree	34.389	1.175	1.000	14.974	yes	yes	single-workgroup-tree
fit	64	4	single-workgroup-tree	serial-fold	3.186	1.119	1.119	1.119	no	no	single-workgroup-tree
fit	64	16	serial-fold	single-workgroup-tree	3.078	1.099	1.099	0.910	no	no	serial-fold
fit	64	64	serial-fold	single-workgroup-tree	2.836	1.093	1.093	0.915	no	no	single-workgroup-tree
fit	64	256	single-workgroup-tree	single-workgroup-tree	2.019	2.221	1.000	2.887	no	yes	single-workgroup-tree
fit	64	1024	single-workgroup-tree	single-workgroup-tree	11.106	1.183	1.000	2.163	no	yes	single-workgroup-tree
fit	64	4096	single-workgroup-tree	single-workgroup-tree	19.117	1.103	1.000	3.423	no	yes	multi-pass-split
fit	64	16384	single-workgroup-tree	single-workgroup-tree	66.078	1.084	1.000	9.168	yes	yes	single-workgroup-tree
fit	256	4	single-workgroup-tree	serial-fold	3.042	1.010	1.010	1.010	no	no	serial-fold
fit	256	16	serial-fold	single-workgroup-tree	3.278	1.408	1.408	0.710	no	no	single-workgroup-tree
fit	256	64	single-workgroup-tree	single-workgroup-tree	2.892	1.111	1.000	1.111	no	no	single-workgroup-tree
fit	256	256	single-workgroup-tree	single-workgroup-tree	5.614	1.331	1.000	1.525	no	no	single-workgroup-tree
fit	256	1024	single-workgroup-tree	single-workgroup-tree	22.356	1.094	1.000	1.613	no	yes	single-workgroup-tree
fit	256	4096	single-workgroup-tree	single-workgroup-tree	52.572	1.016	1.000	1.885	no	yes	single-workgroup-tree
fit	256	16384	single-workgroup-tree	single-workgroup-tree	213.542	1.030	1.000	3.983	yes	yes	single-workgroup-tree
fit	1024	4	serial-fold	serial-fold	2.442	1.595	1.000	0.627	no	no	serial-fold
fit	1024	16	serial-fold	serial-fold	3.053	1.456	1.000	0.687	no	no	serial-fold
fit	1024	64	serial-fold	serial-fold	7.236	1.051	1.000	0.951	no	no	serial-fold
fit	1024	256	single-workgroup-tree	serial-fold	18.511	1.053	1.090	1.090	no	no	single-workgroup-tree
fit	1024	1024	single-workgroup-tree	single-workgroup-tree	58.300	1.032	1.000	1.171	no	yes	multi-pass-split
fit	1024	4096	single-workgroup-tree	single-workgroup-tree	203.228	1.022	1.000	1.232	yes	yes	single-workgroup-tree
fit	1024	16384	multi-pass-split	single-workgroup-tree	891.014	1.001	1.001	1.676	no	yes	single-workgroup-tree
fit	4096	4	serial-fold	serial-fold	1.522	1.589	1.000	0.629	no	no	serial-fold
fit	4096	16	serial-fold	serial-fold	5.080	1.424	1.000	0.702	no	no	serial-fold
