# spike	reduction-dispatch-crossover
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.93 3.09 4.46
rows	contributors	elements	partitions	per_partition	strategy	encoders	widest_workgroup	threadgroup_bytes	stages	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	oracle
1	4	4	2	2	serial-fold	2	1	0	4:4:1|1:4:4	30	16	156.334	187.292	206.541	23.328	222.583	251.458	277.791	20.298	4.4166	4.2777	2.9083	reference-checked
1	4	4	2	2	single-workgroup-tree	2	2	16	4:4:1|2:6:4	30	16	163.042	187.959	204.625	14.645	223.625	251.541	278.542	40.511	4.0389	4.2388	3.6770	reference-checked
1	4	4	2	2	multi-pass-split	3	1	0	4:4:1|2:4:2|1:2:2	30	16	161.292	185.125	216.209	41.223	245.916	285.041	302.583	15.917	5.6416	6.6611	3.8093	reference-checked
1	16	16	4	4	serial-fold	2	1	0	16:16:1|1:16:16	30	16	154.542	187.000	207.959	15.193	176.167	213.042	228.250	19.074	1.4417	1.7361	2.2844	reference-checked
1	16	16	4	4	single-workgroup-tree	2	4	16	16:16:1|4:20:8	30	16	152.833	187.542	208.208	32.672	175.958	215.000	229.958	23.461	1.5417	1.8305	3.7422	reference-checked
1	16	16	4	4	multi-pass-split	3	1	0	16:16:1|4:16:4|1:4:4	30	16	162.084	190.500	211.542	28.463	200.000	225.250	253.416	18.695	2.5277	2.3167	3.1439	reference-checked
1	32	32	8	4	serial-fold	2	1	0	32:32:1|1:32:32	30	16	166.625	188.542	217.709	54.914	224.083	253.750	267.125	14.791	3.8305	4.3472	4.6470	reference-checked
1	32	32	8	4	single-workgroup-tree	2	8	32	32:32:1|8:40:12	30	16	147.917	190.250	203.750	17.714	188.500	223.667	231.583	22.478	2.7055	2.2278	2.6794	reference-checked
1	32	32	8	4	multi-pass-split	3	1	0	32:32:1|8:32:4|1:8:8	30	16	153.625	191.125	203.666	16.446	202.666	242.125	253.500	21.793	3.2694	3.4000	2.5493	reference-checked
1	64	64	8	8	serial-fold	2	1	0	64:64:1|1:64:64	30	16	157.125	186.292	206.166	12.576	199.375	227.000	234.125	16.170	2.8167	2.7139	1.9164	reference-checked
1	64	64	8	8	single-workgroup-tree	2	8	32	64:64:1|8:72:16	30	16	160.500	186.666	203.791	38.114	190.083	214.375	223.208	25.017	1.9722	1.8473	4.2088	reference-checked
1	64	64	8	8	multi-pass-split	3	1	0	64:64:1|8:64:8|1:8:8	30	16	161.291	187.667	205.375	28.227	205.667	231.125	239.292	10.396	2.9584	2.8972	2.5748	reference-checked
1	128	128	16	8	serial-fold	2	1	0	128:128:1|1:128:128	30	16	161.125	188.166	203.000	11.760	323.875	346.875	362.250	20.038	10.8500	10.5806	2.1199	reference-checked
1	128	128	16	8	single-workgroup-tree	2	16	64	128:128:1|16:144:24	30	16	173.875	191.042	199.417	23.309	186.417	219.709	230.000	30.178	0.8361	1.9111	3.5658	reference-checked
1	128	128	16	8	multi-pass-split	3	1	0	128:128:1|16:128:8|1:16:16	30	16	162.542	186.334	201.333	20.917	208.417	234.041	241.375	10.367	3.0583	3.1805	2.0856	reference-checked
1	256	256	16	16	serial-fold	2	1	0	256:256:1|1:256:256	30	16	168.750	192.917	210.542	90.068	239.292	267.875	275.541	26.341	4.7028	4.9972	7.7606	reference-checked
