# spike	reduction-dispatch-crossover
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# offline.metal	Apple metal version 32023.883 (metalfe-32023.883)
# offline.linker	AIR-LLD 32023.883 (metalfe-32023.883) (compatible with legacy metallib linker)
# offline.sdk	26.5 (25F70)
# selection.compile_flags	-target air64-apple-macos26.0 -std=metal4.0 -O2 -fmetal-math-mode=safe -fmetal-math-fp32-functions=precise -ffp-contract=off
# selection.link_flag_count	0
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	3.16 5.99 6.32
rows	contributors	elements	partitions	per_partition	strategy	encoders	widest_workgroup	threadgroup_bytes	stages	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	oracle
1	4	4	2	2	serial-fold	2	1	0	4:4:1|1:4:4	30	16	117.334	142.166	153.208	31.677	253.959	283.334	313.875	52.058	9.1083	9.4112	5.5823	reference-checked
1	4	4	2	2	single-workgroup-tree	2	2	16	4:4:1|2:6:4	30	16	120.875	139.333	155.375	12.075	263.500	280.667	289.584	8.840	9.5083	9.4223	1.3943	reference-checked
1	4	4	2	2	multi-pass-split	3	1	0	4:4:1|2:4:2|1:2:2	30	16	132.709	151.459	159.083	8.261	328.792	341.875	353.833	10.728	13.0722	12.6944	1.2659	reference-checked
1	16	16	4	4	serial-fold	2	1	0	16:16:1|1:16:16	30	16	165.792	189.625	201.375	12.690	216.042	236.250	262.959	41.930	3.3500	3.1083	3.6413	reference-checked
1	16	16	4	4	single-workgroup-tree	2	8	32	16:16:1|8:24:10	30	16	173.083	190.250	206.042	38.763	217.000	235.084	251.958	33.329	2.9278	2.9889	4.8061	reference-checked
1	16	16	4	4	multi-pass-split	3	1	0	16:16:1|4:16:4|1:4:4	30	16	168.375	192.209	207.417	37.134	231.042	260.458	272.167	16.289	4.1778	4.5499	3.5616	reference-checked
1	32	32	8	4	serial-fold	2	1	0	32:32:1|1:32:32	30	16	165.458	198.375	215.708	13.633	209.917	246.083	260.583	17.943	2.9639	3.1805	2.1050	reference-checked
1	32	32	8	4	single-workgroup-tree	2	16	64	32:32:1|16:48:18	30	16	159.416	194.250	210.458	72.374	152.333	216.625	232.250	19.705	-0.4722	1.4917	6.1386	reference-checked
1	32	32	8	4	multi-pass-split	3	1	0	32:32:1|8:32:4|1:8:8	30	16	172.042	194.042	204.375	10.828	200.291	237.792	258.792	53.173	1.8833	2.9167	4.2668	reference-checked
1	64	64	8	8	serial-fold	2	1	0	64:64:1|1:64:64	30	16	166.750	189.916	205.541	22.255	209.791	235.666	242.458	9.853	2.8694	3.0500	2.1405	reference-checked
1	64	64	8	8	single-workgroup-tree	2	32	128	64:64:1|32:96:34	30	16	169.000	188.500	203.792	10.045	222.708	252.667	260.750	9.102	3.5805	4.2778	1.2765	reference-checked
1	64	64	8	8	multi-pass-split	3	1	0	64:64:1|8:64:8|1:8:8	30	16	169.833	189.792	207.792	48.163	224.292	242.625	252.291	41.599	3.6306	3.5222	5.9841	reference-checked
1	128	128	16	8	serial-fold	2	1	0	128:128:1|1:128:128	30	16	168.167	194.791	240.292	33.971	334.166	357.375	376.250	54.711	11.0666	10.8389	5.9122	reference-checked
1	128	128	16	8	single-workgroup-tree	2	64	256	128:128:1|64:192:66	30	16	162.958	186.542	206.625	12.880	223.958	237.750	245.708	6.419	4.0667	3.4139	1.2866	reference-checked
