# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	16
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	4.34 3.37 3.95
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
4	8192	32768	multi-pass-split	2	4096	-	1	0	3	30	16	161.541	201.041	238.542	38.055	924.834	1000.500	1058.500	41.559	50.8862	53.2973	5.3076	measured
4	8192	32768	multi-pass-split	4	2048	-	1	0	3	30	16	143.667	177.792	214.625	25.317	580.667	676.833	753.750	57.645	29.1333	33.2694	5.5308	measured
4	8192	32768	multi-pass-split	8	1024	-	1	0	3	30	16	141.375	183.750	207.167	24.271	467.333	583.917	621.042	58.158	21.7305	26.6778	5.4953	measured
4	8192	32768	multi-pass-split	16	512	-	1	0	3	30	16	129.334	183.916	206.459	27.417	358.375	479.792	519.042	51.900	15.2694	19.7251	5.2878	measured
4	8192	32768	multi-pass-split	32	256	-	1	0	3	30	16	119.333	162.458	181.625	21.111	293.417	346.875	365.083	22.060	11.6056	12.2945	2.8781	measured
4	8192	32768	multi-pass-split	64	128	-	1	0	3	30	16	134.375	166.208	202.916	25.280	376.208	454.542	481.917	37.733	16.1222	19.2223	4.2008	measured
4	8192	32768	multi-pass-split	128	64	governed	1	0	3	30	16	135.167	174.416	196.500	31.287	354.958	420.000	443.375	34.273	14.6527	16.3723	4.3707	measured
4	8192	32768	multi-pass-split	256	32	-	1	0	3	30	16	122.666	158.584	191.167	24.542	287.208	344.459	361.500	20.650	10.9695	12.3917	3.0128	measured
4	8192	32768	multi-pass-split	512	16	-	1	0	3	30	16	130.125	185.041	206.000	30.778	351.291	423.666	499.709	48.443	14.7444	15.9083	5.2814	measured
4	8192	32768	multi-pass-split	1024	8	-	1	0	3	30	16	134.334	183.000	205.750	26.436	433.708	532.167	551.375	31.855	19.9583	23.2778	3.8861	measured
4	8192	32768	multi-pass-split	2048	4	-	1	0	3	30	16	138.125	182.458	210.916	26.620	517.666	612.500	707.750	55.605	25.3027	28.6695	5.4817	measured
4	8192	32768	multi-pass-split	4096	2	-	1	0	3	30	16	167.083	216.459	238.125	36.003	873.792	1017.208	1060.833	49.899	47.1139	53.3833	5.7268	measured
4	8192	32768	single-workgroup-tree	2	4096	-	2	16	2	30	16	165.125	199.208	233.500	25.437	885.000	996.291	1065.875	59.705	47.9917	53.1389	5.6762	measured
4	8192	32768	single-workgroup-tree	4	2048	-	4	16	2	30	16	140.291	179.083	212.291	26.404	534.625	631.667	681.334	51.805	26.2889	30.1723	5.2139	measured
4	8192	32768	single-workgroup-tree	8	1024	-	8	32	2	30	16	131.000	190.583	207.583	28.155	451.542	517.834	562.208	39.175	21.3695	21.8167	4.4887	measured
4	8192	32768	single-workgroup-tree	16	512	-	16	64	2	30	16	129.500	183.042	199.791	25.592	372.958	428.750	460.958	25.512	16.2305	16.3805	3.4069	measured
4	8192	32768	single-workgroup-tree	32	256	-	32	128	2	30	16	121.292	173.042	196.625	34.187	271.458	321.834	329.125	32.269	10.0111	9.9195	4.4304	measured
4	8192	32768	single-workgroup-tree	64	128	-	64	256	2	30	16	130.584	184.208	205.500	50.071	380.042	456.833	482.792	53.357	16.6305	18.1750	6.8952	measured
4	8192	32768	single-workgroup-tree	128	64	governed	128	512	2	30	16	120.000	178.000	202.542	55.451	302.958	348.667	364.042	20.438	12.1972	11.3778	5.0593	measured
4	8192	32768	single-workgroup-tree	256	32	-	256	1024	2	30	16	119.834	172.541	193.167	35.240	265.208	316.375	332.625	36.771	9.6916	9.5889	4.8007	measured
4	8192	32768	single-workgroup-tree	512	16	-	512	2048	2	30	16	120.584	159.917	203.541	40.363	293.000	335.917	352.375	19.272	11.4944	11.7333	3.9757	measured
4	8192	32768	single-workgroup-tree	1024	8	-	1024	4096	2	30	16	130.750	168.417	199.334	32.268	372.166	429.542	463.875	31.373	16.0944	17.4083	4.2427	measured
4	8192	32768	single-workgroup-tree	2048	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
4	8192	32768	single-workgroup-tree	4096	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
64	8192	524288	multi-pass-split	2	4096	-	1	0	3	30	16	215.000	236.041	266.708	32.674	1345.667	1445.208	1473.250	37.743	75.3778	80.6111	4.6945	measured
64	8192	524288	multi-pass-split	4	2048	-	1	0	3	30	16	188.625	204.291	228.417	11.844	938.542	1065.083	1130.917	55.084	49.9945	57.3861	4.4619	measured
64	8192	524288	multi-pass-split	8	1024	-	1	0	3	30	16	180.375	198.834	221.042	12.827	866.542	964.125	1031.417	52.794	45.7445	51.0194	4.3747	measured
64	8192	524288	multi-pass-split	16	512	-	1	0	3	30	16	176.708	193.875	216.500	14.317	721.125	844.000	968.292	78.457	36.2945	43.3417	6.1849	measured
64	8192	524288	multi-pass-split	32	256	-	1	0	3	30	16	167.791	190.292	212.958	14.344	648.417	758.542	822.500	60.017	32.0417	37.8833	4.9574	measured
