# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.89 3.15 3.76
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
4	8192	32768	multi-pass-split	2	4096	-	1	0	3	30	64	205.333	230.917	311.917	42.425	3233.833	3441.042	3465.958	68.023	48.0714	50.9544	1.7531	measured
4	8192	32768	multi-pass-split	4	2048	-	1	0	3	30	64	187.833	208.792	302.250	41.231	1851.041	2022.333	2071.958	63.616	26.4001	28.7864	1.6642	measured
4	8192	32768	multi-pass-split	8	1024	-	1	0	3	30	64	171.375	203.375	218.125	37.221	1566.250	1747.042	1802.500	69.510	22.1409	24.5027	1.6941	measured
4	8192	32768	multi-pass-split	16	512	-	1	0	3	30	64	164.708	200.708	211.416	29.404	1158.791	1475.792	1506.250	101.775	15.7791	20.2394	2.0822	measured
4	8192	32768	multi-pass-split	32	256	-	1	0	3	30	64	153.417	178.959	200.542	29.615	826.333	931.542	991.250	50.048	10.6812	11.9458	1.2645	measured
4	8192	32768	multi-pass-split	64	128	-	1	0	3	30	64	162.500	190.125	204.500	21.060	1151.375	1366.167	1443.958	80.690	15.6964	18.6673	1.6151	measured
4	8192	32768	multi-pass-split	128	64	governed	1	0	3	30	64	161.625	193.125	202.959	20.743	1096.833	1248.333	1285.625	60.833	14.8446	16.7493	1.2948	measured
4	8192	32768	multi-pass-split	256	32	-	1	0	3	30	64	150.500	181.875	189.583	11.828	786.083	897.375	974.583	48.753	10.0886	11.3571	0.9616	measured
4	8192	32768	multi-pass-split	512	16	-	1	0	3	30	64	160.833	193.125	202.125	14.163	1062.333	1231.542	1273.334	66.657	14.3095	16.4828	1.2829	measured
4	8192	32768	multi-pass-split	1024	8	-	1	0	3	30	64	174.667	196.958	207.166	10.841	1391.583	1616.834	1685.875	91.312	19.3161	22.5377	1.6215	measured
4	8192	32768	multi-pass-split	2048	4	-	1	0	3	30	64	166.916	202.959	212.875	9.905	1751.625	1981.250	2025.042	86.378	25.1541	28.2268	1.5283	measured
4	8192	32768	multi-pass-split	4096	2	-	1	0	3	30	64	195.458	223.875	236.542	10.842	3233.833	3421.000	3449.125	52.908	48.2282	50.7480	1.0119	measured
4	8192	32768	single-workgroup-tree	2	4096	-	2	16	2	30	64	196.791	220.084	236.250	22.706	3109.958	3284.083	3319.292	52.152	46.2407	48.6349	1.1882	measured
4	8192	32768	single-workgroup-tree	4	2048	-	4	16	2	30	64	182.625	201.250	212.833	15.255	1717.042	1895.583	1930.916	62.740	24.3558	26.8942	1.2380	measured
4	8192	32768	single-workgroup-tree	8	1024	-	8	32	2	30	64	173.250	196.291	207.541	13.019	1395.875	1584.542	1645.500	61.845	19.4067	22.0357	1.1883	measured
4	8192	32768	single-workgroup-tree	16	512	-	16	64	2	30	64	158.583	191.916	202.042	12.054	1030.625	1278.125	1366.000	106.925	13.8419	17.2414	1.8886	measured
4	8192	32768	single-workgroup-tree	32	256	-	32	128	2	30	64	142.667	181.250	198.500	16.068	689.291	808.875	858.167	50.355	8.6766	9.9623	1.0543	measured
4	8192	32768	single-workgroup-tree	64	128	-	64	256	2	30	64	161.208	192.125	202.458	13.035	1070.083	1312.500	1370.583	84.678	14.4266	17.7837	1.5510	measured
4	8192	32768	single-workgroup-tree	128	64	governed	128	512	2	30	64	153.666	186.542	201.417	14.517	854.834	906.542	981.792	43.459	11.1297	11.4286	0.9203	measured
4	8192	32768	single-workgroup-tree	256	32	-	256	1024	2	30	64	151.833	183.584	190.666	11.465	698.375	778.334	837.833	47.261	8.6753	9.4405	0.9322	measured
4	8192	32768	single-workgroup-tree	512	16	-	512	2048	2	30	64	154.792	188.125	195.042	11.060	816.792	873.375	947.125	44.020	10.5079	10.8770	0.8743	measured
4	8192	32768	single-workgroup-tree	1024	8	-	1024	4096	2	30	64	167.375	190.584	199.875	8.260	1008.875	1244.292	1383.500	100.754	13.3571	16.7255	1.7304	measured
4	8192	32768	single-workgroup-tree	2048	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
4	8192	32768	single-workgroup-tree	4096	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
64	8192	524288	multi-pass-split	2	4096	-	1	0	3	30	64	223.375	262.959	269.375	13.354	4884.125	5115.709	5173.959	113.853	73.9802	77.0278	2.0192	measured
64	8192	524288	multi-pass-split	4	2048	-	1	0	3	30	64	199.875	235.667	246.500	15.608	3269.250	3474.792	3550.834	98.869	48.7202	51.4147	1.8171	measured
64	8192	524288	multi-pass-split	8	1024	-	1	0	3	30	64	190.125	234.625	242.000	26.648	2856.625	3082.042	3161.458	108.516	42.3254	45.1971	2.1455	measured
