# spike	reduction-partition-calibration
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.88 3.13 3.40
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	governed	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
4	8192	32768	multi-pass-split	2	4096	-	1	0	3	30	64	191.250	222.666	236.583	14.872	3198.917	3405.625	3453.166	79.932	47.7407	50.5232	1.5048	measured
4	8192	32768	multi-pass-split	4	2048	-	1	0	3	30	64	160.000	201.833	209.417	13.457	1810.917	2010.000	2050.875	81.304	26.2050	28.7011	1.5041	measured
4	8192	32768	multi-pass-split	8	1024	-	1	0	3	30	64	167.209	197.375	207.250	13.649	1534.084	1739.750	1786.500	89.695	21.6964	24.4821	1.6404	measured
4	8192	32768	multi-pass-split	16	512	-	1	0	3	30	64	148.167	192.500	206.084	16.285	1132.666	1394.916	1492.834	119.908	15.6270	19.0860	2.1618	measured
4	8192	32768	multi-pass-split	32	256	-	1	0	3	30	64	134.500	178.917	189.417	16.706	787.250	906.084	986.125	64.571	10.3611	11.5423	1.2901	measured
4	8192	32768	multi-pass-split	64	128	-	1	0	3	30	64	137.958	191.000	202.000	16.793	1127.458	1297.375	1396.000	98.684	15.7063	17.5615	1.8330	measured
4	8192	32768	multi-pass-split	128	64	governed	1	0	3	30	64	150.708	186.958	199.833	13.626	1073.375	1209.792	1281.958	71.200	14.6455	16.2355	1.3464	measured
4	8192	32768	multi-pass-split	256	32	-	1	0	3	30	64	138.791	178.625	190.125	26.173	807.000	902.292	977.500	55.963	10.6065	11.4868	1.3037	measured
4	8192	32768	multi-pass-split	512	16	-	1	0	3	30	64	154.666	189.791	205.875	35.936	1059.209	1185.792	1287.083	78.947	14.3578	15.8095	1.8235	measured
4	8192	32768	multi-pass-split	1024	8	-	1	0	3	30	64	166.375	194.750	203.125	30.748	1393.792	1610.792	1683.333	105.428	19.4828	22.4769	2.1615	measured
4	8192	32768	multi-pass-split	2048	4	-	1	0	3	30	64	175.167	197.166	216.542	35.460	1733.000	1970.083	2019.250	106.812	24.7275	28.1415	2.2583	measured
4	8192	32768	multi-pass-split	4096	2	-	1	0	3	30	64	193.167	220.792	230.125	11.258	3195.792	3389.833	3463.750	83.956	47.6607	50.3022	1.5113	measured
4	8192	32768	single-workgroup-tree	2	4096	-	2	16	2	30	64	188.333	219.041	228.541	26.530	3094.291	3252.750	3302.541	60.011	46.1263	48.1541	1.3737	measured
4	8192	32768	single-workgroup-tree	4	2048	-	4	16	2	30	64	160.541	197.417	207.833	11.683	1700.792	1880.292	1928.208	74.537	24.4484	26.7123	1.3686	measured
4	8192	32768	single-workgroup-tree	8	1024	-	8	32	2	30	64	152.833	191.708	200.917	23.130	1375.000	1560.375	1599.583	75.530	19.3995	21.7249	1.5660	measured
4	8192	32768	single-workgroup-tree	16	512	-	16	64	2	30	64	148.167	188.750	197.542	36.626	1045.500	1270.084	1320.375	100.904	14.2434	17.1640	2.1830	measured
4	8192	32768	single-workgroup-tree	32	256	-	32	128	2	30	64	138.667	176.834	187.125	29.433	724.709	799.958	859.334	49.173	9.3023	9.8909	1.2477	measured
4	8192	32768	single-workgroup-tree	64	128	-	64	256	2	30	64	158.916	190.416	199.250	25.456	1056.291	1325.500	1399.792	116.787	14.2440	18.0172	2.2578	measured
4	8192	32768	single-workgroup-tree	128	64	governed	128	512	2	30	64	156.542	180.292	193.209	11.752	840.917	910.958	989.792	56.581	10.8631	11.5979	1.0847	measured
4	8192	32768	single-workgroup-tree	256	32	-	256	1024	2	30	64	148.250	174.834	189.959	13.327	683.500	775.500	814.000	42.841	8.4960	9.5344	0.8916	measured
4	8192	32768	single-workgroup-tree	512	16	-	512	2048	2	30	64	149.167	180.167	188.834	21.872	785.958	858.791	931.584	40.408	10.1078	10.7718	0.9886	measured
4	8192	32768	single-workgroup-tree	1024	8	-	1024	4096	2	30	64	135.292	186.625	199.250	14.910	1004.125	1237.542	1320.500	120.248	13.7910	16.6812	2.1454	measured
4	8192	32768	single-workgroup-tree	2048	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
4	8192	32768	single-workgroup-tree	4096	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
64	8192	524288	multi-pass-split	2	4096	-	1	0	3	30	64	218.125	224.666	234.292	14.143	4914.917	5139.416	5179.125	86.929	74.5523	78.0119	1.6043	measured
64	8192	524288	multi-pass-split	4	2048	-	1	0	3	30	64	179.875	200.541	204.583	5.761	3258.083	3502.334	3565.000	93.586	48.8604	52.4094	1.5769	measured
64	8192	524288	multi-pass-split	8	1024	-	1	0	3	30	64	184.417	195.125	199.459	4.927	2865.166	3108.750	3181.334	118.663	42.5516	46.2480	1.9617	measured
64	8192	524288	multi-pass-split	16	512	-	1	0	3	30	64	177.791	189.208	193.042	4.836	2461.000	2705.541	2825.709	132.977	36.2414	39.9418	2.1875	measured
64	8192	524288	multi-pass-split	32	256	-	1	0	3	30	64	175.584	183.834	188.458	4.984	2144.791	2326.416	2372.375	79.835	31.2573	34.0092	1.3463	measured
64	8192	524288	multi-pass-split	64	128	-	1	0	3	30	64	177.167	190.000	193.750	5.313	2464.375	2733.084	2821.083	134.875	36.3049	40.3664	2.2252	measured
64	8192	524288	multi-pass-split	128	64	governed	1	0	3	30	64	179.875	188.458	193.041	4.902	2449.958	2726.000	2785.750	113.164	36.0331	40.2784	1.8741	measured
64	8192	524288	multi-pass-split	256	32	-	1	0	3	30	64	175.083	183.875	189.084	4.794	2188.667	2364.125	2404.500	65.626	31.9617	34.6071	1.1178	measured
64	8192	524288	multi-pass-split	512	16	-	1	0	3	30	64	181.458	187.042	193.417	4.503	2543.416	2828.333	2896.583	114.643	37.4914	41.9253	1.8912	measured
64	8192	524288	multi-pass-split	1024	8	-	1	0	3	30	64	189.208	196.292	199.250	4.070	3067.792	3296.625	3341.917	106.482	45.6918	49.2116	1.7548	measured
64	8192	524288	multi-pass-split	2048	4	-	1	0	3	30	64	198.125	203.417	207.583	3.049	3563.667	3769.083	3823.625	74.465	53.4213	56.5979	1.2304	measured
64	8192	524288	multi-pass-split	4096	2	-	1	0	3	30	64	228.875	236.000	238.125	3.350	5528.916	5743.417	5790.959	76.663	84.1276	87.4193	1.2701	measured
64	8192	524288	single-workgroup-tree	2	4096	-	2	16	2	30	64	210.541	218.250	222.750	3.599	4432.500	4627.542	4684.709	93.521	67.0152	69.9888	1.5416	measured
64	8192	524288	single-workgroup-tree	4	2048	-	4	16	2	30	64	190.333	200.459	343.958	64.518	3071.625	3259.000	3296.750	64.403	45.7348	48.5483	2.0464	measured
64	8192	524288	single-workgroup-tree	8	1024	-	8	32	2	30	64	182.250	192.292	203.041	37.164	2696.334	2942.500	2974.500	94.177	39.9061	43.6541	2.0848	measured
64	8192	524288	single-workgroup-tree	16	512	-	16	64	2	30	64	176.209	188.375	304.667	46.008	2348.083	2570.042	2609.375	91.978	34.4742	37.8042	2.1902	measured
64	8192	524288	single-workgroup-tree	32	256	-	32	128	2	30	64	173.875	183.042	187.875	5.008	2027.000	2238.416	2268.125	75.632	29.4147	32.6250	1.2800	measured
64	8192	524288	single-workgroup-tree	64	128	-	64	256	2	30	64	176.166	188.666	195.417	5.642	2429.541	2683.333	2719.875	87.433	35.7679	39.5979	1.4774	measured
64	8192	524288	single-workgroup-tree	128	64	governed	128	512	2	30	64	175.459	184.375	188.958	5.335	2171.250	2368.917	2398.375	71.480	31.6792	34.6753	1.2193	measured
64	8192	524288	single-workgroup-tree	256	32	-	256	1024	2	30	64	171.417	182.167	185.958	5.567	2015.500	2206.541	2247.125	75.940	29.2712	32.1329	1.2938	measured
64	8192	524288	single-workgroup-tree	512	16	-	512	2048	2	30	64	176.042	183.042	187.292	3.709	2120.209	2331.166	2363.709	73.750	30.8598	34.0972	1.2295	measured
64	8192	524288	single-workgroup-tree	1024	8	-	1024	4096	2	30	64	176.959	189.084	194.709	5.890	2343.042	2630.792	2673.917	107.242	34.3823	38.7573	1.7957	measured
64	8192	524288	single-workgroup-tree	2048	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 2048 threads per workgroup and the prepared entry admits 1024
64	8192	524288	single-workgroup-tree	4096	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	declined: the plan declares 4096 threads per workgroup and the prepared entry admits 1024
256	16384	4194304	multi-pass-split	2	8192	-	1	0	3	30	64	1040.333	1091.875	1137.792	31.676	56636.208	56778.125	56895.667	86.210	882.4742	883.9087	1.8712	measured
256	16384	4194304	multi-pass-split	4	4096	-	1	0	3	30	64	409.125	461.833	484.292	26.229	16221.291	16460.500	16523.250	80.165	250.9868	253.9471	1.6888	measured
256	16384	4194304	multi-pass-split	8	2048	-	1	0	3	30	64	361.541	396.584	431.875	39.303	13863.042	14099.708	14199.416	98.112	214.3095	217.5099	2.1812	measured
256	16384	4194304	multi-pass-split	16	1024	-	1	0	3	30	64	371.125	390.917	398.833	12.189	13319.084	13552.416	13626.250	97.816	205.5232	208.9127	1.7461	measured
256	16384	4194304	multi-pass-split	32	512	-	1	0	3	30	64	352.708	388.000	400.292	40.248	13192.667	13423.917	13463.250	66.256	203.8089	206.9193	1.6905	measured
256	16384	4194304	multi-pass-split	64	256	-	1	0	3	30	64	355.833	379.417	394.792	12.534	13114.250	13335.916	13376.750	72.415	202.5146	205.6587	1.3484	measured
256	16384	4194304	multi-pass-split	128	128	governed	1	0	3	30	64	361.542	398.791	408.833	33.894	13889.125	14084.708	14147.792	84.644	214.7235	217.2368	1.8816	measured
256	16384	4194304	multi-pass-split	256	64	-	1	0	3	30	64	357.834	384.000	398.084	41.704	13171.875	13372.583	13422.125	82.892	203.3975	206.1680	1.9777	measured
