# spike	reduction-tree-width-excursion
# mode	TreeWidthExcursion
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.95 4.12 4.56
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
4	514	2056	single-workgroup-tree	2	257	-	2	16	2	30	64	171.833	184.792	195.166	31.949	648.333	833.750	1114.250	226.261	7.5635	10.3009	4.0986	measured
4	514	2056	single-workgroup-tree	257	2	production	257	1040	2	30	64	160.584	173.500	193.542	12.351	516.250	744.625	944.625	129.162	5.6455	9.0655	2.2462	measured
16384	514	8421376	single-workgroup-tree	2	257	-	2	16	2	30	64	606.625	720.291	759.250	44.043	29235.375	29333.208	29454.333	78.679	454.4246	454.1733	1.9480	measured
16384	514	8421376	single-workgroup-tree	257	2	production	257	1040	2	30	64	609.417	668.333	725.084	48.967	28580.292	28683.625	28802.583	78.731	443.9821	444.6872	2.0269	measured
4	780	3120	single-workgroup-tree	2	390	-	2	16	2	30	64	140.041	166.167	182.542	32.201	2141.584	2291.167	2372.542	86.131	31.7705	33.7302	1.8783	measured
4	780	3120	single-workgroup-tree	3	260	-	3	16	2	30	64	114.583	138.958	165.834	29.180	656.209	733.042	837.083	60.277	8.5972	9.4299	1.4200	measured
4	780	3120	single-workgroup-tree	4	195	-	4	16	2	30	64	125.583	156.459	168.208	17.556	919.291	1092.500	1263.333	122.999	12.5985	14.8578	2.2310	measured
4	780	3120	single-workgroup-tree	5	156	-	5	32	2	30	64	117.792	145.833	161.666	16.006	593.542	655.000	769.417	57.140	7.5516	8.0820	1.1610	measured
4	780	3120	single-workgroup-tree	6	130	-	6	32	2	30	64	110.000	146.083	155.166	17.106	621.834	685.208	779.500	66.886	8.1243	8.5575	1.3332	measured
4	780	3120	single-workgroup-tree	10	78	-	10	48	2	30	64	115.792	141.709	151.958	18.715	377.000	423.209	473.750	40.321	4.1462	4.4683	0.9371	measured
4	780	3120	single-workgroup-tree	12	65	-	12	48	2	30	64	115.917	147.834	155.041	15.925	338.458	377.208	436.375	46.054	3.5324	3.6409	0.9838	measured
4	780	3120	single-workgroup-tree	13	60	-	13	64	2	30	64	116.167	145.750	155.458	29.592	590.750	640.625	754.959	59.597	7.5331	7.8552	1.4157	measured
4	780	3120	single-workgroup-tree	15	52	-	15	64	2	30	64	112.292	146.333	157.209	31.139	329.625	382.958	457.208	51.270	3.4497	3.7560	1.3081	measured
4	780	3120	single-workgroup-tree	20	39	-	20	80	2	30	64	109.625	144.417	156.250	16.101	325.334	347.625	403.916	34.071	3.4240	3.2255	0.7964	measured
4	780	3120	single-workgroup-tree	26	30	-	26	112	2	30	64	112.041	144.125	166.375	31.514	473.917	518.583	573.042	51.556	5.7441	5.9438	1.3186	measured
4	780	3120	single-workgroup-tree	30	26	-	30	128	2	30	64	114.125	146.500	176.916	31.761	423.000	453.666	512.083	34.497	4.9028	4.8757	1.0517	measured
4	780	3120	single-workgroup-tree	39	20	-	39	160	2	30	64	111.291	151.292	183.208	42.984	313.875	345.833	396.250	36.518	3.2156	3.0880	1.2619	measured
4	780	3120	single-workgroup-tree	52	15	-	52	208	2	30	64	113.042	143.625	158.334	17.645	316.750	347.792	405.584	33.516	3.2335	3.2407	0.8121	measured
4	780	3120	single-workgroup-tree	60	13	-	60	240	2	30	64	113.708	143.959	152.292	15.885	476.416	519.250	623.958	58.226	5.7573	5.9570	1.1764	measured
4	780	3120	single-workgroup-tree	65	12	-	65	272	2	30	64	111.875	139.500	152.000	17.366	323.125	358.500	389.625	25.867	3.3532	3.4762	0.6862	measured
4	780	3120	single-workgroup-tree	78	10	-	78	320	2	30	64	116.958	143.833	153.125	15.516	326.917	361.250	405.708	25.464	3.3327	3.4511	0.6505	measured
4	780	3120	single-workgroup-tree	130	6	-	130	528	2	30	64	107.917	147.167	154.625	16.287	448.250	487.625	566.333	45.330	5.4021	5.4041	0.9780	measured
4	780	3120	single-workgroup-tree	156	5	-	156	624	2	30	64	110.125	147.542	163.333	40.906	421.833	464.625	518.750	38.871	4.9477	5.0331	1.2663	measured
4	780	3120	single-workgroup-tree	195	4	-	195	784	2	30	64	115.083	147.291	156.583	20.564	630.375	682.417	729.792	43.817	8.1792	8.4941	1.0219	measured
4	780	3120	single-workgroup-tree	260	3	production	260	1040	2	30	64	107.792	147.834	153.750	18.091	473.000	545.667	602.709	43.823	5.7970	6.3148	0.9828	measured
4	780	3120	single-workgroup-tree	390	2	-	390	1568	2	30	64	139.125	155.333	179.000	31.260	1499.292	1655.166	1758.333	91.288	21.5900	23.8069	1.9452	measured
16384	780	12779520	single-workgroup-tree	2	390	-	2	16	2	30	64	1321.792	1388.209	1432.791	34.288	75362.709	75473.042	75652.417	154.354	1175.2527	1175.9497	2.9943	measured
16384	780	12779520	single-workgroup-tree	3	260	-	3	16	2	30	64	840.625	885.041	943.333	32.241	43804.875	43882.708	44070.458	123.715	681.9722	682.5027	2.4755	measured
16384	780	12779520	single-workgroup-tree	4	195	-	4	16	2	30	64	875.375	933.542	1002.834	44.033	45858.709	45928.500	46103.375	97.731	714.0212	714.2057	2.2502	measured
16384	780	12779520	single-workgroup-tree	5	156	-	5	32	2	30	64	820.458	864.959	936.125	46.273	42432.958	42557.375	42693.625	119.639	660.5159	661.7844	2.6335	measured
16384	780	12779520	single-workgroup-tree	6	130	-	6	32	2	30	64	815.208	877.292	921.958	37.333	42273.000	42389.167	42547.958	139.654	658.0602	658.9187	2.8093	measured
16384	780	12779520	single-workgroup-tree	10	78	-	10	48	2	30	64	814.666	848.292	901.750	38.984	41779.500	41922.833	42167.042	148.862	650.2355	651.9768	2.9817	measured
16384	780	12779520	single-workgroup-tree	12	65	-	12	48	2	30	64	806.167	850.750	891.917	34.151	41671.166	41833.792	42111.375	155.711	648.6508	650.5245	3.0137	measured
16384	780	12779520	single-workgroup-tree	13	60	-	13	64	2	30	64	830.041	870.875	946.709	47.791	42705.416	42813.541	42987.709	114.853	664.6885	665.7566	2.5817	measured
16384	780	12779520	single-workgroup-tree	15	52	-	15	64	2	30	64	801.084	858.292	933.916	43.916	41579.667	41740.209	42028.583	180.915	647.2791	648.9193	3.5688	measured
16384	780	12779520	single-workgroup-tree	20	39	-	20	80	2	30	64	810.166	854.875	903.166	40.182	41574.250	41681.917	41924.167	146.825	647.0490	648.0483	2.9684	measured
16384	780	12779520	single-workgroup-tree	26	30	-	26	112	2	30	64	817.250	893.542	942.375	43.731	42468.750	42638.666	42895.333	143.835	661.1349	662.6210	2.9772	measured
16384	780	12779520	single-workgroup-tree	30	26	-	30	128	2	30	64	800.000	875.125	937.958	54.505	41745.417	41909.584	42108.750	127.976	649.9273	651.3406	2.8965	measured
