# spike	reduction-tree-width-excursion
# mode	TreeWidthExcursion
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# load_before	2.97 4.33 4.66
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
4	514	2056	single-workgroup-tree	2	257	-	2	16	2	30	64	166.792	181.250	210.625	16.014	639.916	924.667	1156.167	259.033	7.5099	11.8003	4.3658	measured
4	514	2056	single-workgroup-tree	257	2	production	257	1040	2	30	64	167.125	177.583	207.375	30.710	574.875	799.500	979.834	196.387	6.4722	9.8717	3.6047	measured
16384	514	8421376	single-workgroup-tree	2	257	-	2	16	2	30	64	625.166	665.250	732.375	41.364	29209.000	29280.542	29362.875	79.050	453.7117	454.2110	1.9113	measured
16384	514	8421376	single-workgroup-tree	257	2	production	257	1040	2	30	64	597.625	637.125	721.625	47.071	28525.917	28632.084	28736.000	71.449	443.3062	444.3644	1.8813	measured
4	780	3120	single-workgroup-tree	2	390	-	2	16	2	30	64	142.167	166.750	197.583	19.864	2144.708	2275.459	2412.583	104.745	31.7864	33.4716	1.9779	measured
4	780	3120	single-workgroup-tree	3	260	-	3	16	2	30	64	114.875	136.084	159.750	18.343	654.875	728.959	783.625	54.881	8.5714	9.4107	1.1623	measured
4	780	3120	single-workgroup-tree	4	195	-	4	16	2	30	64	118.458	150.000	171.250	19.218	908.709	1126.834	1270.000	139.457	12.5437	15.5053	2.5187	measured
4	780	3120	single-workgroup-tree	5	156	-	5	32	2	30	64	110.833	136.250	153.542	18.162	582.083	660.083	769.208	70.310	7.4802	8.3148	1.4043	measured
4	780	3120	single-workgroup-tree	6	130	-	6	32	2	30	64	115.625	140.792	172.500	21.189	624.917	702.042	802.667	63.538	8.0840	8.9087	1.3449	measured
4	780	3120	single-workgroup-tree	10	78	-	10	48	2	30	64	112.542	144.916	167.833	31.052	372.041	435.375	489.000	38.575	4.1190	4.6105	1.1052	measured
