# spike	reduction-tree-width-interactions
# mode	TreeWidthInteractions
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	f9bac263c0a140f5843667550a0b5373cc7a21c784dbefb79f837bf4fc6c7b29
# load_before	3.14 3.58 3.68
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
8	780	6240	single-workgroup-tree	2	390	-	2	16	2	30	64	142.875	174.167	214.334	35.749	2159.375	2301.917	2402.875	87.766	32.0079	33.7738	1.9606	measured
8	780	6240	single-workgroup-tree	3	260	-	3	16	2	30	64	114.208	140.458	186.541	40.012	656.792	720.042	801.666	49.139	8.6124	9.1997	1.4151	measured
8	780	6240	single-workgroup-tree	4	195	-	4	16	2	30	64	123.500	149.333	181.209	22.727	924.708	1095.833	1215.041	116.019	12.7176	15.0238	2.2023	measured
8	780	6240	single-workgroup-tree	5	156	-	5	32	2	30	64	117.458	141.333	175.375	21.932	591.250	649.708	719.959	47.835	7.5205	8.0694	1.1074	measured
8	780	6240	single-workgroup-tree	6	130	-	6	32	2	30	64	114.750	140.333	183.750	37.083	639.625	703.584	812.500	56.371	8.3313	8.9405	1.4834	measured
8	780	6240	single-workgroup-tree	10	78	-	10	48	2	30	64	112.375	144.750	185.542	24.207	388.625	432.708	503.083	41.347	4.3849	4.5708	1.0405	measured
8	780	6240	single-workgroup-tree	12	65	-	12	48	2	30	64	116.583	149.542	189.875	32.390	348.958	395.042	444.208	45.464	3.6885	3.8968	1.2358	measured
8	780	6240	single-workgroup-tree	13	60	-	13	64	2	30	64	114.209	151.666	172.500	21.893	602.875	660.917	770.959	67.294	7.7566	8.0833	1.4157	measured
8	780	6240	single-workgroup-tree	15	52	-	15	64	2	30	64	113.834	147.834	191.833	39.942	341.875	389.542	465.458	41.384	3.6197	3.8366	1.2909	measured
8	780	6240	single-workgroup-tree	20	39	-	20	80	2	30	64	113.291	148.958	188.167	36.358	329.334	374.667	437.625	41.652	3.4293	3.5827	1.2383	measured
8	780	6240	single-workgroup-tree	26	30	-	26	112	2	30	64	116.291	145.708	183.000	25.452	479.750	523.667	576.000	37.769	5.7692	5.9993	1.0035	measured
8	780	6240	single-workgroup-tree	30	26	-	30	128	2	30	64	116.083	150.375	188.542	28.971	426.250	463.000	528.916	42.786	4.9233	4.9623	1.1390	measured
8	780	6240	single-workgroup-tree	39	20	-	39	160	2	30	64	115.208	151.791	183.334	41.168	324.125	371.542	408.375	32.862	3.3161	3.4881	1.1751	measured
8	780	6240	single-workgroup-tree	52	15	-	52	208	2	30	64	116.542	150.958	184.583	34.464	327.084	369.125	419.750	45.854	3.3419	3.4630	1.2749	measured
8	780	6240	single-workgroup-tree	60	13	-	60	240	2	30	64	111.542	146.750	177.375	22.981	485.542	527.833	611.667	45.024	5.9365	6.0489	1.0794	measured
8	780	6240	single-workgroup-tree	65	12	-	65	272	2	30	64	111.916	145.833	174.208	24.835	325.875	373.583	428.792	44.728	3.3962	3.6151	1.1042	measured
8	780	6240	single-workgroup-tree	78	10	-	78	320	2	30	64	114.958	141.625	171.292	18.437	338.458	392.209	430.917	43.376	3.5476	3.9775	0.9812	measured
8	780	6240	single-workgroup-tree	130	6	-	130	528	2	30	64	114.084	142.709	178.083	34.517	458.125	495.750	544.292	30.854	5.4610	5.6038	1.0376	measured
8	780	6240	single-workgroup-tree	156	5	-	156	624	2	30	64	110.834	138.167	176.084	22.612	428.833	476.917	547.500	42.151	5.0476	5.3770	1.0280	measured
8	780	6240	single-workgroup-tree	195	4	-	195	784	2	30	64	114.541	142.250	181.250	24.368	638.042	681.875	789.125	60.107	8.3095	8.5655	1.3409	measured
