# spike	reduction-tree-width-interactions
# mode	TreeWidthInteractions
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	f9bac263c0a140f5843667550a0b5373cc7a21c784dbefb79f837bf4fc6c7b29
# load_before	4.33 3.79 3.75
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
8	780	6240	single-workgroup-tree	2	390	-	2	16	2	30	64	148.416	167.166	202.750	31.880	2139.542	2288.916	2428.834	101.259	31.6052	33.6786	2.1133	measured
8	780	6240	single-workgroup-tree	3	260	-	3	16	2	30	64	116.167	140.583	178.667	22.657	662.292	719.209	811.042	54.445	8.6687	9.1845	1.2238	measured
8	780	6240	single-workgroup-tree	4	195	-	4	16	2	30	64	122.667	148.208	191.333	22.688	925.792	984.834	1313.333	145.857	12.7480	13.2798	2.6753	measured
8	780	6240	single-workgroup-tree	5	156	-	5	32	2	30	64	117.167	137.292	178.792	22.520	590.750	630.958	746.000	58.629	7.5172	7.8360	1.2881	measured
8	780	6240	single-workgroup-tree	6	130	-	6	32	2	30	64	110.417	139.041	187.542	46.606	635.208	689.666	783.459	54.552	8.3300	8.7401	1.6057	measured
8	780	6240	single-workgroup-tree	10	78	-	10	48	2	30	64	115.917	139.125	184.666	40.974	378.042	427.666	498.333	42.922	4.1607	4.5800	1.3317	measured
8	780	6240	single-workgroup-tree	12	65	-	12	48	2	30	64	115.625	139.792	175.125	25.289	346.458	405.625	440.000	40.358	3.6640	4.2196	1.0420	measured
8	780	6240	single-workgroup-tree	13	60	-	13	64	2	30	64	117.833	135.708	170.250	20.981	601.125	649.000	757.208	59.680	7.6713	8.1475	1.2803	measured
8	780	6240	single-workgroup-tree	15	52	-	15	64	2	30	64	110.458	142.167	175.125	43.700	337.250	396.500	461.709	49.239	3.5999	4.0370	1.4752	measured
8	780	6240	single-workgroup-tree	20	39	-	20	80	2	30	64	117.333	148.333	182.000	31.919	330.666	381.250	452.333	48.831	3.3862	3.6971	1.2818	measured
8	780	6240	single-workgroup-tree	26	30	-	26	112	2	30	64	114.917	135.458	177.375	22.010	478.750	523.375	570.625	33.994	5.7751	6.1574	0.8890	measured
8	780	6240	single-workgroup-tree	30	26	-	30	128	2	30	64	110.375	146.458	176.334	22.195	416.916	455.375	507.167	31.431	4.8657	4.9034	0.8512	measured
8	780	6240	single-workgroup-tree	39	20	-	39	160	2	30	64	110.500	145.209	173.083	21.321	315.459	351.000	434.750	49.847	3.2533	3.2665	1.1297	measured
8	780	6240	single-workgroup-tree	52	15	-	52	208	2	30	64	113.958	147.959	173.500	21.762	318.666	363.958	424.916	46.185	3.2493	3.4286	1.0785	measured
8	780	6240	single-workgroup-tree	60	13	-	60	240	2	30	64	115.875	148.958	171.166	20.318	480.833	513.541	579.334	51.215	5.7930	5.7870	1.1354	measured
8	780	6240	single-workgroup-tree	65	12	-	65	272	2	30	64	114.291	147.125	181.667	39.519	331.125	359.667	424.833	34.658	3.4418	3.3737	1.1774	measured
8	780	6240	single-workgroup-tree	78	10	-	78	320	2	30	64	109.208	148.917	173.875	21.736	337.000	369.250	435.125	39.716	3.6157	3.4973	0.9754	measured
8	780	6240	single-workgroup-tree	130	6	-	130	528	2	30	64	113.750	134.292	181.583	22.886	458.125	493.375	549.458	38.818	5.4663	5.6997	0.9794	measured
8	780	6240	single-workgroup-tree	156	5	-	156	624	2	30	64	115.750	144.041	174.458	22.200	427.625	479.833	524.083	44.916	4.9504	5.3300	1.0653	measured
8	780	6240	single-workgroup-tree	195	4	-	195	784	2	30	64	118.958	149.708	184.542	26.554	636.709	685.667	780.334	63.221	8.2183	8.5073	1.4250	measured
8	780	6240	single-workgroup-tree	260	3	production	260	1040	2	30	64	111.208	147.667	177.334	30.823	477.916	537.625	594.208	50.998	5.8208	6.1898	1.2987	measured
8	780	6240	single-workgroup-tree	390	2	-	390	1568	2	30	64	133.583	164.917	210.292	40.070	1502.958	1654.917	1773.542	103.763	21.7361	23.6508	2.2831	measured
8	1042	8336	single-workgroup-tree	2	521	production	2	16	2	30	64	153.292	183.083	201.917	31.002	686.417	759.125	854.792	68.617	8.4623	9.1435	1.5813	measured
8	1042	8336	single-workgroup-tree	521	2	-	521	2096	2	30	64	145.708	175.750	194.583	18.194	558.625	609.000	683.208	49.459	6.5542	6.8770	1.0739	measured
8	774	6192	single-workgroup-tree	2	387	-	2	16	2	30	64	136.708	170.000	192.875	18.766	1398.416	1524.209	1636.375	85.663	20.0271	21.4954	1.6576	measured
8	774	6192	single-workgroup-tree	3	258	-	3	16	2	30	64	138.583	175.084	197.209	16.847	1594.000	1796.833	1874.833	93.938	23.1019	25.7420	1.7585	measured
8	774	6192	single-workgroup-tree	6	129	-	6	32	2	30	64	117.000	156.084	187.792	36.013	401.125	496.208	534.125	44.169	4.5099	5.3988	1.2727	measured
8	774	6192	single-workgroup-tree	9	86	-	9	48	2	30	64	118.042	155.084	179.458	26.948	363.833	426.459	486.792	49.062	3.9014	4.3075	1.2065	measured
8	774	6192	single-workgroup-tree	18	43	-	18	80	2	30	64	115.042	156.041	181.792	18.563	330.083	403.292	441.791	39.151	3.4133	3.9246	0.9161	measured
8	774	6192	single-workgroup-tree	43	18	-	43	176	2	30	64	129.417	158.250	190.125	46.256	319.250	387.250	410.000	33.795	3.0132	3.6349	1.2707	measured
