# spike	reduction-tree-width-table
# mode	TreeWidthTable
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	5d7d2d13daffbf05d002c2cf7438522bf303fd688f9c69b1017eebf5a427938e
# load_before	2.94 2.77 3.19
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16	1080	17280	single-workgroup-tree	2	540	-	2	16	2	30	64	118.042	127.584	173.250	20.727	895.500	974.958	1054.125	55.353	12.3406	13.4504	1.2076	measured
16	1080	17280	single-workgroup-tree	3	360	-	3	16	2	30	64	142.500	153.167	198.500	34.176	2053.750	2226.875	2292.042	79.137	30.3373	32.9160	1.7986	measured
16	1080	17280	single-workgroup-tree	4	270	-	4	16	2	30	64	142.042	148.917	189.625	30.270	1779.209	1946.083	2044.167	92.884	25.9868	28.5264	1.9548	measured
16	1080	17280	single-workgroup-tree	5	216	-	5	32	2	30	64	119.458	125.833	167.375	17.344	692.000	776.542	877.625	67.966	9.0880	10.3287	1.3541	measured
16	1080	17280	single-workgroup-tree	6	180	-	6	32	2	30	64	131.458	138.416	163.541	14.658	1257.625	1483.708	1577.750	102.413	17.8757	21.3538	1.8583	measured
16	1080	17280	single-workgroup-tree	8	135	-	8	32	2	30	64	112.916	126.000	162.459	18.660	856.959	950.459	1092.958	77.475	11.8102	13.0867	1.5260	measured
16	1080	17280	single-workgroup-tree	9	120	-	9	48	2	30	64	115.417	122.917	168.667	30.915	422.833	485.833	528.042	48.858	4.8796	5.7606	1.2662	measured
16	1080	17280	single-workgroup-tree	10	108	-	10	48	2	30	64	127.542	133.917	178.959	24.194	895.750	994.667	1085.166	62.290	12.1938	13.6627	1.3728	measured
16	1080	17280	single-workgroup-tree	12	90	-	12	48	2	30	64	119.500	132.125	171.291	37.813	898.125	972.916	1059.750	72.287	12.3591	13.3459	1.7476	measured
16	1080	17280	single-workgroup-tree	15	72	-	15	64	2	30	64	113.542	124.333	156.792	18.005	691.333	751.875	846.333	50.475	9.1713	9.9610	1.0870	measured
16	1080	17280	single-workgroup-tree	18	60	-	18	80	2	30	64	109.834	123.833	164.167	18.265	651.917	722.792	798.541	57.207	8.6045	9.5073	1.1980	measured
16	1080	17280	single-workgroup-tree	20	54	-	20	80	2	30	64	111.625	124.042	167.167	18.449	658.583	740.250	803.917	54.185	8.6819	9.7811	1.1529	measured
16	1080	17280	single-workgroup-tree	24	45	-	24	96	2	30	64	115.625	122.417	168.625	31.072	365.166	429.541	458.041	37.397	3.9610	4.8750	1.0868	measured
16	1080	17280	single-workgroup-tree	27	40	-	27	112	2	30	64	116.000	125.250	173.291	39.274	380.458	419.916	477.750	44.834	4.1977	4.6772	1.3350	measured
16	1080	17280	single-workgroup-tree	30	36	-	30	128	2	30	64	115.417	125.917	166.292	19.510	461.583	508.750	548.459	24.317	5.4947	6.0767	0.6957	measured
