# spike	reduction-tree-width-table
# mode	TreeWidthTable
# metric	wall-clock microseconds, commit to completed
# warmup	8
# repetitions	30
# batch	64
# contract	FLUSH_AND_REASSOCIATE_F32
# declaration	BoundMetalCompileDeclaration::first_macos_apple9
# device	Apple M4 Max
# device_apple9	true
# device_max_threads_per_threadgroup	1024
# device_max_threadgroup_memory	32768
# concurrent_build_processes_before	0
# executable_sha256_before	5d7d2d13daffbf05d002c2cf7438522bf303fd688f9c69b1017eebf5a427938e
# load_before	3.73 4.07 4.37
# oracle_tie	4x16	reference-checked
rows	contributors	elements	strategy	partitions	per_partition	production	widest_workgroup	threadgroup_bytes	encoders	reps	batch	submit_min_us	submit_p50_us	submit_p90_us	submit_stddev_us	batch_min_us	batch_p50_us	batch_p90_us	batch_stddev_us	amortized_min_us	amortized_p50_us	amortized_stddev_us	status
16	1080	17280	single-workgroup-tree	2	540	-	2	16	2	30	64	117.917	133.583	164.417	15.817	886.083	912.667	979.167	65.502	12.1931	12.3664	1.2908	measured
16	1080	17280	single-workgroup-tree	3	360	-	3	16	2	30	64	143.459	157.375	184.959	31.493	2037.292	2063.584	2157.375	237.066	30.0608	30.2573	4.2628	measured
16	1080	17280	single-workgroup-tree	4	270	-	4	16	2	30	64	141.750	156.959	190.042	18.905	1760.208	1776.833	1912.375	242.566	25.6898	25.7123	4.1503	measured
16	1080	17280	single-workgroup-tree	5	216	-	5	32	2	30	64	112.625	131.833	163.334	44.586	695.500	722.375	850.458	67.364	9.2520	9.3737	1.7770	measured
16	1080	17280	single-workgroup-tree	6	180	-	6	32	2	30	64	131.250	147.833	180.834	21.182	1283.833	1303.166	1423.500	109.927	18.2950	18.3386	2.0811	measured
16	1080	17280	single-workgroup-tree	8	135	-	8	32	2	30	64	121.542	135.000	167.708	22.672	860.791	898.417	971.833	54.482	11.7341	12.1177	1.2247	measured
16	1080	17280	single-workgroup-tree	9	120	-	9	48	2	30	64	112.667	123.250	161.958	44.988	423.000	466.708	483.417	44.707	4.9259	5.4517	1.4237	measured
16	1080	17280	single-workgroup-tree	10	108	-	10	48	2	30	64	125.292	132.875	166.792	17.163	896.625	937.334	1071.875	73.240	12.2434	12.7692	1.4350	measured
16	1080	17280	single-workgroup-tree	12	90	-	12	48	2	30	64	125.125	134.166	180.541	55.538	888.833	914.875	981.041	60.744	12.1223	12.3922	1.8457	measured
16	1080	17280	single-workgroup-tree	15	72	-	15	64	2	30	64	115.250	124.667	159.291	18.225	680.459	721.292	755.625	49.184	8.9716	9.4702	1.0700	measured
