# analysis	reduction-tree-width-label-stability
# validation	passed
# cells	188
# widths_per_run	2506
# measured_rows	5012
# percentile_indices	upper_median=N/2; lower_median=(N-1)/2; p90=ceil(0.9*N)-1
# stability_bar	exact>=ceil(0.80*N); movement_p90<=1.0; jaccard_lower_median>=0.50; containment_lower_median>=0.75; reciprocal_plateau>=ceil(0.90*N); regret_upper_median<=1.02; regret_p90<=1.10; regret_max<=1.25
# input_manifest_sha256	24d9c60f8a116a2ed4245d3709b1303127d78c8800c1b6a7e7df5609511ada12
# input	shape-aware	environment=dcd9f787ba6e7eda770cff9af30ec315a04b3b774ca33b50e2d860bf8ca0a2db	primary=e919d79b7ea176dd0b83cbd051302e53fa2cc77ca28e9856545edecc60fd9a7d	repeat=cd6f7d5109669224fb14727fe95291ed36ef0cd951519305df26627bd84ecd3a
# noise_rule	shape-aware	multiplier=2.0	shape-aware frozen ticket + hash.analysis=806e2f41cdfdbc7c02fe936a958b663413f8d6271bdf447ca89f00213e6e6d72
# input	interactions	environment=26af3a8547ad4183d65fcb2497383f109e53e725c406924c6a14945408af1fad	primary=8b9598b0295c394626eda8c645c4605030a77e825650c63594fefbeb4fddcec2	repeat=0434185aed33c21404b06b561f5742fae36469a264c46d251e5417c8237e4b87
# noise_rule	interactions	multiplier=2.0	interaction frozen ticket + hash.analysis_shared=c4f2f807fb90c8b31743d04b362dc4945002350e893ee7b2e0b1fb4c961d8741
# input	table	environment=4776a37581caddb54ef3f1a0a3a5a7837b8bfc282df96f17959979d4b8cf2022	primary=7b63e4779bfd9f247c3ccb49b58260e57a1e69a12ef3772f4de6235fd1ef380a	repeat=3a1975b4ff940345ba3b2fbccbe1c9a750bea4013ebe58cb532938f6e0511521
# noise_rule	table	multiplier=2.0	table environment analysis.noise_band=2 * (SE_a + SE_b)

## Per-cell stability

study	role	shape	primary_best	repeat_best	exact	log2_movement	primary_plateau	repeat_plateau	jaccard	primary_containment	repeat_containment	symmetric_containment	primary_in_repeat_regret	repeat_in_primary_regret	reciprocal_regret	primary_in_repeat_plateau	repeat_in_primary_plateau	reciprocal_plateau
shape-aware	anchor	4x780	39	39	true	0.000000000	12,15,20,39,52,65,78	15,20,39,52,65,78	0.857142857	0.857142857	1.000000000	0.857142857	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	anchor	4x1042	521	521	true	0.000000000	521	521	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	4x756	28	36	false	0.362570079	21,27,28,36	21,27,28,36	1.000000000	1.000000000	1.000000000	1.000000000	1.016706569	1.007775534	1.016706569	true	true	true
shape-aware	fit	4x779	41	19	false	1.109624491	19,41	19,41	1.000000000	1.000000000	1.000000000	1.000000000	1.005685285	1.018764853	1.018764853	true	true	true
shape-aware	fit	4x840	21	35	false	0.736965594	12,15,21,24,35,40,56,70,105,120	12,15,21,24,35,40,56,70	0.800000000	0.800000000	1.000000000	0.800000000	1.159887165	1.038575330	1.159887165	true	true	true
shape-aware	fit	4x1018	509	509	true	0.000000000	509	509	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	4x1020	51	85	false	0.736965594	12,20,51,85	20,51,85	0.750000000	0.750000000	1.000000000	0.750000000	1.035078815	1.081871345	1.081871345	true	true	true
shape-aware	held	4x768	64	64	true	0.000000000	12,64,96	12,64,96	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	4x781	71	71	true	0.000000000	11,71	11,71	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	4x960	64	64	true	0.000000000	10,15,24,40,64,96,120	24,40,64,96,120	0.714285714	0.714285714	1.000000000	0.714285714	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	4x1022	73	73	true	0.000000000	73	14,73	0.500000000	1.000000000	0.500000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	4x1046	523	523	true	0.000000000	523	523	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	anchor	1024x780	15	15	true	0.000000000	10,12,15,20,39,52,65,78	12,15,20,65	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	anchor	1024x1042	521	2	false	8.025139562	2,521	2,521	1.000000000	1.000000000	1.000000000	1.000000000	1.004407125	1.013901637	1.013901637	true	true	true
shape-aware	fit	1024x756	28	28	true	0.000000000	21,27,28	27,28	0.666666667	0.666666667	1.000000000	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	1024x779	41	19	false	1.109624491	19,41	19,41	1.000000000	1.000000000	1.000000000	1.000000000	1.006638036	1.001141055	1.006638036	true	true	true
shape-aware	fit	1024x840	24	21	false	0.192645078	12,15,21,24,40,56	12,15,21,24,56,70	0.714285714	0.833333333	0.833333333	0.833333333	1.010852353	1.004921151	1.010852353	true	true	true
shape-aware	fit	1024x1018	509	509	true	0.000000000	509	509	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	1024x1020	20	12	false	0.736965594	12,20,51,85	12,20,51	0.750000000	0.750000000	1.000000000	0.750000000	1.001621282	1.011246190	1.011246190	true	true	true
shape-aware	held	1024x768	64	64	true	0.000000000	12,64	12,64,96	0.666666667	1.000000000	0.666666667	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	1024x781	11	11	true	0.000000000	11,71	11,71	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	1024x960	24	24	true	0.000000000	15,24	15,24	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	1024x1022	14	14	true	0.000000000	14,73	14,73	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	1024x1046	523	523	true	0.000000000	2,523	2,523	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	anchor	2048x780	15	15	true	0.000000000	12,15,20,52,65	15,20,65	0.600000000	0.600000000	1.000000000	0.600000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	anchor	2048x1042	521	521	true	0.000000000	521	521	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	2048x756	27	28	false	0.052467420	21,27,28	21,27,28	1.000000000	1.000000000	1.000000000	1.000000000	1.010625683	1.000827236	1.010625683	true	true	true
shape-aware	fit	2048x779	41	41	true	0.000000000	19,41	19,41	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	2048x840	24	24	true	0.000000000	15,21,24	15,21,24	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	2048x1018	509	509	true	0.000000000	509	509	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	2048x1020	20	20	true	0.000000000	12,20	12,20,51	0.666666667	1.000000000	0.666666667	0.666666667	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	2048x768	64	12	false	2.415037499	12,64	12,64,96	0.666666667	1.000000000	0.666666667	0.666666667	1.000714893	1.010331447	1.010331447	true	true	true
shape-aware	held	2048x781	11	11	true	0.000000000	11,71	11,71	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	2048x960	15	15	true	0.000000000	15,24	15,24	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	2048x1022	14	14	true	0.000000000	14	14	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	2048x1046	523	523	true	0.000000000	523	523	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	anchor	16384x780	78	65	false	0.263034406	39,52,65,78	39,52,65,78	1.000000000	1.000000000	1.000000000	1.000000000	1.000015669	1.000830585	1.000830585	true	true	true
shape-aware	anchor	16384x1042	521	521	true	0.000000000	521	521	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	16384x756	36	36	true	0.000000000	36	36	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	16384x779	41	41	true	0.000000000	41	41	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	16384x840	70	40	false	0.807354922	40,56,70,105,120	40,56,70,105,120	1.000000000	1.000000000	1.000000000	1.000000000	1.000690640	1.000328757	1.000690640	true	true	true
shape-aware	fit	16384x1018	509	509	true	0.000000000	509	509	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	fit	16384x1020	85	85	true	0.000000000	51,85,170	51,85,170	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	16384x768	64	64	true	0.000000000	64,96	64,96	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	16384x781	71	71	true	0.000000000	11,71	71	0.500000000	0.500000000	1.000000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	16384x960	96	64	false	0.584962501	40,64,96,120	64,96,120	0.750000000	0.750000000	1.000000000	0.750000000	1.000055521	1.002214996	1.002214996	true	true	true
shape-aware	held	16384x1022	73	73	true	0.000000000	73	73	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
shape-aware	held	16384x1046	523	523	true	0.000000000	523	523	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	anchor	8x780	39	52	false	0.415037499	15,20,39,52,65,78	12,15,20,39,52,65,78	0.857142857	1.000000000	0.857142857	0.857142857	1.007248051	1.049624981	1.049624981	true	true	true
interactions	anchor	8x1042	521	521	true	0.000000000	521	521	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8x774	43	43	true	0.000000000	9,18,43,86,129	18,43	0.400000000	0.400000000	1.000000000	0.400000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8x783	29	29	true	0.000000000	27,29	27,29	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8x900	45	45	true	0.000000000	20,25,36,45,50	20,25,36,45,50	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8x1006	503	503	true	0.000000000	503	503	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8x1082	541	541	true	0.000000000	541	2,541	0.500000000	1.000000000	0.500000000	0.500000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	fit	8x1280	64	64	true	0.000000000	20,64	20,64	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	8x775	31	31	true	0.000000000	25,31,155	25,31,155	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
interactions	held	8x785	157	157	true	0.000000000	157	157	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	1.000000000	true	true	true
