kind	cell	layout	live	capacity	round	warmups	reps	bytes_or_gpu_median_ns	p95_ns	wall_median_ns
access	C1-first	exact-head	5	18	0	3	7	10500	10542	172583
access	C1-first	capacity-head	5	18	0	3	7	9958	10000	171708
access	C1-first	sequence-major	5	18	0	3	7	10125	10292	162292
access	C1-first	capacity-head	5	18	1	3	7	10125	10125	170208
access	C1-first	sequence-major	5	18	1	3	7	10167	10333	166333
access	C1-first	exact-head	5	18	1	3	7	10500	10542	171333
access	C1-first	sequence-major	5	18	2	3	7	10208	10250	161042
access	C1-first	exact-head	5	18	2	3	7	10542	15250	178208
access	C1-first	capacity-head	5	18	2	3	7	9917	10042	171042
access	C1-first	exact-head	5	18	3	3	7	10375	10542	169833
access	C1-first	capacity-head	5	18	3	3	7	2833	2875	160250
access	C1-first	sequence-major	5	18	3	3	7	3042	3083	152083
access	C1-first	capacity-head	5	18	4	3	7	2917	3000	165500
access	C1-first	sequence-major	5	18	4	3	7	3083	3125	165500
access	C1-first	exact-head	5	18	4	3	7	3000	3125	164292
allocation	C1-first	exact-head	5	18	-1	20	101	40960	3708	3833
allocation	C1-first	capacity-head	5	18	-1	20	101	147456	3667	3792
allocation	C1-first	sequence-major	5	18	-1	20	101	147456	3625	3750
access	C1-last	exact-head	15	18	0	3	7	3125	3250	163500
access	C1-last	capacity-head	15	18	0	3	7	3000	3250	147792
access	C1-last	sequence-major	15	18	0	3	7	3042	3167	152375
access	C1-last	capacity-head	15	18	1	3	7	2958	2958	146292
access	C1-last	sequence-major	15	18	1	3	7	3000	3042	148542
access	C1-last	exact-head	15	18	1	3	7	3125	3125	152958
access	C1-last	sequence-major	15	18	2	3	7	3208	3250	154833
access	C1-last	exact-head	15	18	2	3	7	3042	3083	161333
access	C1-last	capacity-head	15	18	2	3	7	2792	2875	163042
access	C1-last	exact-head	15	18	3	3	7	3125	3208	161292
access	C1-last	capacity-head	15	18	3	3	7	2958	3000	155583
access	C1-last	sequence-major	15	18	3	3	7	3042	3167	158208
access	C1-last	capacity-head	15	18	4	3	7	2875	2958	163875
access	C1-last	sequence-major	15	18	4	3	7	3000	3125	159583
access	C1-last	exact-head	15	18	4	3	7	3125	3125	164583
allocation	C1-last	exact-head	15	18	-1	20	101	122880	3750	3958
allocation	C1-last	capacity-head	15	18	-1	20	101	147456	3708	4333
allocation	C1-last	sequence-major	15	18	-1	20	101	147456	3750	3833
access	B1-first	exact-head	8192	8320	0	3	7	749292	752750	953417
access	B1-first	capacity-head	8192	8320	0	3	7	752125	753875	1273000
access	B1-first	sequence-major	8192	8320	0	3	7	781458	782500	1263042
access	B1-first	capacity-head	8192	8320	1	3	7	749750	750833	1239125
access	B1-first	sequence-major	8192	8320	1	3	7	779750	780042	1280125
access	B1-first	exact-head	8192	8320	1	3	7	750708	750875	1245958
access	B1-first	sequence-major	8192	8320	2	3	7	779708	779792	1272708
access	B1-first	exact-head	8192	8320	2	3	7	750875	754833	1226875
access	B1-first	capacity-head	8192	8320	2	3	7	750125	750833	1255042
access	B1-first	exact-head	8192	8320	3	3	7	750667	751000	1239542
access	B1-first	capacity-head	8192	8320	3	3	7	748500	748875	955375
access	B1-first	sequence-major	8192	8320	3	3	7	777375	777750	976000
access	B1-first	capacity-head	8192	8320	4	3	7	749167	749250	948083
access	B1-first	sequence-major	8192	8320	4	3	7	778042	778875	992750
access	B1-first	exact-head	8192	8320	4	3	7	750292	750625	1225042
allocation	B1-first	exact-head	8192	8320	-1	20	101	67108864	4708	4875
allocation	B1-first	capacity-head	8192	8320	-1	20	101	68157440	4583	4708
allocation	B1-first	sequence-major	8192	8320	-1	20	101	68157440	4583	4708
access	B1-last	exact-head	8320	8320	0	3	7	761667	762083	1272083
access	B1-last	capacity-head	8320	8320	0	3	7	761875	762250	1265958
access	B1-last	sequence-major	8320	8320	0	3	7	791125	791667	1283250
access	B1-last	capacity-head	8320	8320	1	3	7	761500	761542	1240375
access	B1-last	sequence-major	8320	8320	1	3	7	790875	792000	1273792
access	B1-last	exact-head	8320	8320	1	3	7	762125	762375	1243583
access	B1-last	sequence-major	8320	8320	2	3	7	792000	1007667	1202875
access	B1-last	exact-head	8320	8320	2	3	7	761875	761958	1224792
access	B1-last	capacity-head	8320	8320	2	3	7	759750	759875	962625
access	B1-last	exact-head	8320	8320	3	3	7	764708	765792	1244542
access	B1-last	capacity-head	8320	8320	3	3	7	760708	763208	960167
access	B1-last	sequence-major	8320	8320	3	3	7	791250	792000	1268375
access	B1-last	capacity-head	8320	8320	4	3	7	764125	765333	1238292
