cell	realization	m	n	k	weight_class	verdict	bit_identical	median_ulp_gap_vs_strict_fold	p99_9_ulp_gap_vs_strict_fold	max_ulp_gap_vs_strict_fold	max_abs_deviation_vs_binary64	rms_result_magnitude	result_sha256	workload_role
w_decode_kv	direct	1	1024	1024	[1024, 1024]	bit-identical-to-strict-fold	1024/1024	0	0	0	6.942127e-06	2.647129e+00	79810ce471cbd6cd05e5c0c30ea6023e74b997bd5b349212b71cd4a23fe8701f	decode k_proj / v_proj, T=1
w_decode_kv	tiled	1	1024	1024	[1024, 1024]	bit-identical-to-strict-fold	1024/1024	0	0	0	6.942127e-06	2.647129e+00	79810ce471cbd6cd05e5c0c30ea6023e74b997bd5b349212b71cd4a23fe8701f	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_contiguous	1	1024	1024	[1024, 1024]	differs-from-strict-fold	59/1024	6	1066	1632	1.535091e-06	2.647129e+00	287cf045993dafcc7c18c37f7f8f1abd7d16cef7efab779d279c0248f33af48e	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_strided	1	1024	1024	[1024, 1024]	differs-from-strict-fold	60/1024	6	886	10848	1.539135e-06	2.647129e+00	c5c25d878cd2cd2a12116bc4ec6ef9b0bcb8060f91b98778f600f12418f76f9a	decode k_proj / v_proj, T=1
w_decode_kv	simdgroup	1	1024	1024	[1024, 1024]	refused:simdgroup-requires-extents-multiple-of-8								decode k_proj / v_proj, T=1
w_decode_kv	opaque_mps	1	1024	1024	[1024, 1024]	differs-from-strict-fold	63/1024	6	1162	13920	8.990105e-07	2.647129e+00	db32defc776e4f50b7b1dec5b4abb85328c3ce0b0a06612dedec8b97f540e62d	decode k_proj / v_proj, T=1
w_prefill_q	direct	10	2048	1024	[2048, 1024]	bit-identical-to-strict-fold	20480/20480	0	0	0	1.287862e-05	2.659510e+00	1c54f5cd7265ee288ec79bcd9254243b78a95d57c3c489e5ea90bcc4298073c0	C1 prefill q_proj, T=10
w_prefill_q	tiled	10	2048	1024	[2048, 1024]	bit-identical-to-strict-fold	20480/20480	0	0	0	1.287862e-05	2.659510e+00	1c54f5cd7265ee288ec79bcd9254243b78a95d57c3c489e5ea90bcc4298073c0	C1 prefill q_proj, T=10
w_prefill_q	ksplit_contiguous	10	2048	1024	[2048, 1024]	differs-from-strict-fold	1026/20480	6	2246	13120	2.644191e-06	2.659510e+00	5954984f446968429ae329d9f425987e5272471a25d8fa798bc2f6a072fce7e2	C1 prefill q_proj, T=10
w_prefill_q	ksplit_strided	10	2048	1024	[2048, 1024]	differs-from-strict-fold	1020/20480	6	2304	11648	2.938950e-06	2.659510e+00	2200ff923ad0b32bdc3a1020b3424663802f2e34b3229b968646cb9dc7d9bee7	C1 prefill q_proj, T=10
w_prefill_q	simdgroup	10	2048	1024	[2048, 1024]	refused:simdgroup-requires-extents-multiple-of-8								C1 prefill q_proj, T=10
w_prefill_q	opaque_mps	10	2048	1024	[2048, 1024]	differs-from-strict-fold	1041/20480	6	2322	13920	1.293667e-06	2.659510e+00	619e7079cd2622e50afe5b0caa3b435cecaf9ae0f1e52ac5a27c30dd4ef0ce97	C1 prefill q_proj, T=10
w_prefill_mlp_in	direct	128	3072	1024	[3072, 1024]	bit-identical-to-strict-fold	393216/393216	0	0	0	1.581259e-05	2.672163e+00	eb382840ac9e533f57e51a0ffed2d61608664ecc5869aaa9f93afa3c312696a0	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	tiled	128	3072	1024	[3072, 1024]	bit-identical-to-strict-fold	393216/393216	0	0	0	1.581259e-05	2.672163e+00	eb382840ac9e533f57e51a0ffed2d61608664ecc5869aaa9f93afa3c312696a0	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	ksplit_contiguous	128	3072	1024	[3072, 1024]	differs-from-strict-fold	19922/393216	6	2697	1114112	3.090710e-06	2.672163e+00	f54bef9af725d8516938205c873b9c36ebd9e3cd779a16c3f4f8071cda1199a6	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	ksplit_strided	128	3072	1024	[3072, 1024]	differs-from-strict-fold	19621/393216	6	2926	638976	2.938950e-06	2.672163e+00	ed2c44d9260f7412b34fb9b6d7f6456408abd3e1f6c7d7bcdf269193e0c021bc	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	simdgroup	128	3072	1024	[3072, 1024]	differs-from-strict-fold	50115/393216	3	1341	856966	1.771994e-05	2.672163e+00	a6079b652ed84f21c795ae4f76c15c703acf6546352f7ab254b0814db6df5e09	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	opaque_mps	128	3072	1024	[3072, 1024]	differs-from-strict-fold	50115/393216	3	1341	856966	1.771994e-05	2.672163e+00	a6079b652ed84f21c795ae4f76c15c703acf6546352f7ab254b0814db6df5e09	B1-a prefill gate_proj / up_proj
w_prefill_mlp_out	direct	128	1024	3072	[1024, 3072]	bit-identical-to-strict-fold	131072/131072	0	0	0	5.173980e-05	4.627262e+00	124571de47ebff2f152b120afc9944b3465bffe94d8ac283a077677f61feb5f5	B1-a prefill down_proj
w_prefill_mlp_out	tiled	128	1024	3072	[1024, 3072]	bit-identical-to-strict-fold	131072/131072	0	0	0	5.173980e-05	4.627262e+00	124571de47ebff2f152b120afc9944b3465bffe94d8ac283a077677f61feb5f5	B1-a prefill down_proj
w_prefill_mlp_out	ksplit_contiguous	128	1024	3072	[1024, 3072]	differs-from-strict-fold	3864/131072	10	3909	562688	5.311973e-06	4.627262e+00	519867928940120ec003b39b556668701f319762d45333521f3af55ae3547fef	B1-a prefill down_proj
w_prefill_mlp_out	ksplit_strided	128	1024	3072	[1024, 3072]	differs-from-strict-fold	3833/131072	10	4038	281088	5.225672e-06	4.627262e+00	df78f160224d72d0a91b6743a519a43b8c3e8b75bf41851f4d7db028636f8c3a	B1-a prefill down_proj
w_prefill_mlp_out	simdgroup	128	1024	3072	[1024, 3072]	differs-from-strict-fold	12624/131072	3	1560	265167	4.792510e-05	4.627262e+00	ebc9c32b0220a328ca13f39e0c3b933d9e13bc548b90cd0d87e268d856916399	B1-a prefill down_proj
w_prefill_mlp_out	opaque_mps	128	1024	3072	[1024, 3072]	differs-from-strict-fold	12624/131072	3	1560	265167	4.792510e-05	4.627262e+00	ebc9c32b0220a328ca13f39e0c3b933d9e13bc548b90cd0d87e268d856916399	B1-a prefill down_proj
w_prefill_o	direct	128	1024	2048	[1024, 2048]	bit-identical-to-strict-fold	131072/131072	0	0	0	2.940972e-05	3.772801e+00	b99eff9042d9e4b25e3844ff0462e5e6303e57b146aa79400622885bffc5f2f6	B1-a prefill o_proj
w_prefill_o	tiled	128	1024	2048	[1024, 2048]	bit-identical-to-strict-fold	131072/131072	0	0	0	2.940972e-05	3.772801e+00	b99eff9042d9e4b25e3844ff0462e5e6303e57b146aa79400622885bffc5f2f6	B1-a prefill o_proj
w_prefill_o	ksplit_contiguous	128	1024	2048	[1024, 2048]	differs-from-strict-fold	4715/131072	8	3328	1155072	4.292878e-06	3.772801e+00	3eaf0be308c74a1b0004b1595b850cf64e1d350afb600f650250d4d4d230757a	B1-a prefill o_proj
