cell	realization	m	n	k	status	settled_min_microseconds	settled_gflop_per_second	round0_min_microseconds	settled_spread_percent	workload_role
w_decode_kv	direct	1	1024	1024	ok	75.250	27.9	288.833	4.32	decode k_proj / v_proj, T=1
w_decode_kv	tiled	1	1024	1024	ok	60.500	34.7	61.000	1.24	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_contiguous	1	1024	1024	ok	28.625	73.3	29.250	1.60	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_strided	1	1024	1024	ok	22.708	92.4	22.625	0.37	decode k_proj / v_proj, T=1
w_decode_kv	simdgroup	1	1024	1024	refused:simdgroup-requires-extents-multiple-of-8					decode k_proj / v_proj, T=1
w_decode_kv	opaque_mps	1	1024	1024	ok	15.542	134.9	15.500	0.80	decode k_proj / v_proj, T=1
w_prefill_q	direct	10	2048	1024	ok	327.375	128.1	1338.667	0.31	C1 prefill q_proj, T=10
w_prefill_q	tiled	10	2048	1024	ok	148.958	281.6	148.708	1.04	C1 prefill q_proj, T=10
w_prefill_q	ksplit_contiguous	10	2048	1024	ok	409.625	102.4	410.917	0.50	C1 prefill q_proj, T=10
w_prefill_q	ksplit_strided	10	2048	1024	ok	196.417	213.5	197.333	0.02	C1 prefill q_proj, T=10
w_prefill_q	simdgroup	10	2048	1024	refused:simdgroup-requires-extents-multiple-of-8					C1 prefill q_proj, T=10
w_prefill_q	opaque_mps	10	2048	1024	ok	58.875	712.4	58.875	1.70	C1 prefill q_proj, T=10
w_prefill_mlp_in	direct	128	3072	1024	ok	4219.375	190.9	4236.875	0.45	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	tiled	128	3072	1024	ok	1601.833	502.7	1602.750	0.16	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	ksplit_contiguous	128	3072	1024	ok	7735.417	104.1	8049.667	5.04	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	ksplit_strided	128	3072	1024	ok	3559.250	226.3	3560.625	0.05	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	simdgroup	128	3072	1024	ok	943.375	853.6	943.958	0.06	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	opaque_mps	128	3072	1024	ok	228.083	3530.8	228.250	0.37	B1-a prefill gate_proj / up_proj
