cell	realization	m	n	k	round	status	min_gpu_microseconds	gflop_per_second	workload_role
w_decode_kv	direct	1	1024	1024	0	ok	288.833	7.26	decode k_proj / v_proj, T=1
w_decode_kv	direct	1	1024	1024	1	ok	75.250	27.87	decode k_proj / v_proj, T=1
w_decode_kv	direct	1	1024	1024	2	ok	77.750	26.97	decode k_proj / v_proj, T=1
w_decode_kv	direct	1	1024	1024	3	ok	78.500	26.72	decode k_proj / v_proj, T=1
w_decode_kv	direct	1	1024	1024	4	ok	78.000	26.89	decode k_proj / v_proj, T=1
w_decode_kv	tiled	1	1024	1024	0	ok	61.000	34.38	decode k_proj / v_proj, T=1
w_decode_kv	tiled	1	1024	1024	1	ok	61.250	34.24	decode k_proj / v_proj, T=1
w_decode_kv	tiled	1	1024	1024	2	ok	60.750	34.52	decode k_proj / v_proj, T=1
w_decode_kv	tiled	1	1024	1024	3	ok	60.500	34.66	decode k_proj / v_proj, T=1
w_decode_kv	tiled	1	1024	1024	4	ok	61.000	34.38	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_contiguous	1	1024	1024	0	ok	29.250	71.70	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_contiguous	1	1024	1024	1	ok	28.833	72.73	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_contiguous	1	1024	1024	2	ok	28.625	73.26	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_contiguous	1	1024	1024	3	ok	29.083	72.11	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_contiguous	1	1024	1024	4	ok	28.917	72.52	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_strided	1	1024	1024	0	ok	22.625	92.69	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_strided	1	1024	1024	1	ok	22.708	92.35	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_strided	1	1024	1024	2	ok	22.750	92.18	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_strided	1	1024	1024	3	ok	22.792	92.01	decode k_proj / v_proj, T=1
w_decode_kv	ksplit_strided	1	1024	1024	4	ok	22.750	92.18	decode k_proj / v_proj, T=1
w_decode_kv	simdgroup	1	1024	1024	0	refused:simdgroup-requires-extents-multiple-of-8			decode k_proj / v_proj, T=1
w_decode_kv	simdgroup	1	1024	1024	1	refused:simdgroup-requires-extents-multiple-of-8			decode k_proj / v_proj, T=1
w_decode_kv	simdgroup	1	1024	1024	2	refused:simdgroup-requires-extents-multiple-of-8			decode k_proj / v_proj, T=1
w_decode_kv	simdgroup	1	1024	1024	3	refused:simdgroup-requires-extents-multiple-of-8			decode k_proj / v_proj, T=1
w_decode_kv	simdgroup	1	1024	1024	4	refused:simdgroup-requires-extents-multiple-of-8			decode k_proj / v_proj, T=1
w_decode_kv	opaque_mps	1	1024	1024	0	ok	15.500	135.30	decode k_proj / v_proj, T=1
w_decode_kv	opaque_mps	1	1024	1024	1	ok	15.542	134.93	decode k_proj / v_proj, T=1
w_decode_kv	opaque_mps	1	1024	1024	2	ok	15.625	134.22	decode k_proj / v_proj, T=1
w_decode_kv	opaque_mps	1	1024	1024	3	ok	15.583	134.58	decode k_proj / v_proj, T=1
w_decode_kv	opaque_mps	1	1024	1024	4	ok	15.666	133.87	decode k_proj / v_proj, T=1
w_prefill_q	direct	10	2048	1024	0	ok	1338.667	31.33	C1 prefill q_proj, T=10
w_prefill_q	direct	10	2048	1024	1	ok	327.375	128.12	C1 prefill q_proj, T=10
w_prefill_q	direct	10	2048	1024	2	ok	328.375	127.73	C1 prefill q_proj, T=10
w_prefill_q	direct	10	2048	1024	3	ok	327.500	128.07	C1 prefill q_proj, T=10
w_prefill_q	direct	10	2048	1024	4	ok	327.917	127.91	C1 prefill q_proj, T=10
w_prefill_q	tiled	10	2048	1024	0	ok	148.708	282.05	C1 prefill q_proj, T=10
w_prefill_q	tiled	10	2048	1024	1	ok	148.958	281.58	C1 prefill q_proj, T=10
w_prefill_q	tiled	10	2048	1024	2	ok	149.542	280.48	C1 prefill q_proj, T=10
w_prefill_q	tiled	10	2048	1024	3	ok	150.500	278.69	C1 prefill q_proj, T=10
w_prefill_q	tiled	10	2048	1024	4	ok	150.125	279.39	C1 prefill q_proj, T=10
w_prefill_q	ksplit_contiguous	10	2048	1024	0	ok	410.917	102.07	C1 prefill q_proj, T=10
w_prefill_q	ksplit_contiguous	10	2048	1024	1	ok	411.625	101.90	C1 prefill q_proj, T=10
w_prefill_q	ksplit_contiguous	10	2048	1024	2	ok	411.667	101.89	C1 prefill q_proj, T=10
w_prefill_q	ksplit_contiguous	10	2048	1024	3	ok	409.625	102.39	C1 prefill q_proj, T=10
w_prefill_q	ksplit_contiguous	10	2048	1024	4	ok	409.875	102.33	C1 prefill q_proj, T=10
w_prefill_q	ksplit_strided	10	2048	1024	0	ok	197.333	212.55	C1 prefill q_proj, T=10
w_prefill_q	ksplit_strided	10	2048	1024	1	ok	196.417	213.54	C1 prefill q_proj, T=10
w_prefill_q	ksplit_strided	10	2048	1024	2	ok	196.417	213.54	C1 prefill q_proj, T=10
w_prefill_q	ksplit_strided	10	2048	1024	3	ok	196.458	213.50	C1 prefill q_proj, T=10
w_prefill_q	ksplit_strided	10	2048	1024	4	ok	196.417	213.54	C1 prefill q_proj, T=10
w_prefill_q	simdgroup	10	2048	1024	0	refused:simdgroup-requires-extents-multiple-of-8			C1 prefill q_proj, T=10
w_prefill_q	simdgroup	10	2048	1024	1	refused:simdgroup-requires-extents-multiple-of-8			C1 prefill q_proj, T=10
w_prefill_q	simdgroup	10	2048	1024	2	refused:simdgroup-requires-extents-multiple-of-8			C1 prefill q_proj, T=10
w_prefill_q	simdgroup	10	2048	1024	3	refused:simdgroup-requires-extents-multiple-of-8			C1 prefill q_proj, T=10
w_prefill_q	simdgroup	10	2048	1024	4	refused:simdgroup-requires-extents-multiple-of-8			C1 prefill q_proj, T=10
w_prefill_q	opaque_mps	10	2048	1024	0	ok	58.875	712.41	C1 prefill q_proj, T=10
w_prefill_q	opaque_mps	10	2048	1024	1	ok	59.125	709.40	C1 prefill q_proj, T=10
w_prefill_q	opaque_mps	10	2048	1024	2	ok	58.875	712.41	C1 prefill q_proj, T=10
w_prefill_q	opaque_mps	10	2048	1024	3	ok	59.875	700.51	C1 prefill q_proj, T=10
w_prefill_q	opaque_mps	10	2048	1024	4	ok	59.083	709.90	C1 prefill q_proj, T=10
w_prefill_mlp_in	direct	128	3072	1024	0	ok	4236.875	190.07	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	direct	128	3072	1024	1	ok	4222.000	190.74	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	direct	128	3072	1024	2	ok	4238.208	190.01	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	direct	128	3072	1024	3	ok	4219.375	190.86	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	direct	128	3072	1024	4	ok	4220.208	190.82	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	tiled	128	3072	1024	0	ok	1602.750	502.45	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	tiled	128	3072	1024	1	ok	1603.500	502.22	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	tiled	128	3072	1024	2	ok	1604.375	501.94	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	tiled	128	3072	1024	3	ok	1603.625	502.18	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	tiled	128	3072	1024	4	ok	1601.833	502.74	B1-a prefill gate_proj / up_proj
w_prefill_mlp_in	ksplit_contiguous	128	3072	1024	0	ok	8049.667	100.04	B1-a prefill gate_proj / up_proj
